article_w_version,model_name,Source_Statement_Match_Rate,Source_Type_Match_Rate,Source_Name_Match_Rate,Source_Type_Name_Match_Rate,Source_Type_Correct_Name_Match_Rate,Source_Title_Match_Rate,Source_Justification_Match_Rate,Source_Title_Justification_Join_Match_Rate,All_Attribute_Accuracy,LLM_Miss_Rate,LLM_Unique_Discover_Rate,Both_Found_Count,Match_Counts,LLM_Unique_Discover_Counts,Total_Unique_Sentences
1-Harris-Trump-Reuters-Poll_avg,chatgpt-4o-latest,0.6699999999999999,0.2290909090909091,0.7442424242424244,0.2290909090909091,1.0,0.2290909090909091,0.2290909090909091,0.2290909090909091,0.15,0.32999999999999996,0.06493506493506493,13.4,3.0,1.4,21.4
10-Nebraska-voting-rights_avg,chatgpt-4o-latest,0.75,1.0,1.0,1.0,1.0,0.8333333333333334,0.5,0.6666666666666666,0.5,0.25,0.1822222222222222,6.0,6.0,1.8,9.8
11-Nebraska-felons-crim-justice_avg,chatgpt-4o-latest,0.76,0.8039285714285714,0.8154761904761905,0.6835714285714285,0.8525641025641025,0.5,0.6576190476190475,0.8671428571428571,0.51,0.24,0.03722943722943723,15.2,10.4,0.8,20.8
12-kids-lead-poisoning_avg,chatgpt-4o-latest,0.1,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.03333333333333333,0.2,0.0,0.1,2.1
13-pilot-curb-evictions_avg,chatgpt-4o-latest,0.5857142857142856,0.6041558441558441,0.585974025974026,0.585974025974026,0.95,0.585974025974026,0.12727272727272726,0.26251082251082253,0.08571428571428572,0.4142857142857143,0.44861538461538464,8.2,4.6,11.4,25.4
14-many-police-calls_avg,chatgpt-4o-latest,0.3826086956521739,0.4339393939393939,0.34606060606060607,0.34606060606060607,0.8,0.4745454545454545,0.3248484848484849,0.7812121212121212,0.1391304347826087,0.6173913043478262,0.008333333333333333,8.8,3.4,0.2,23.2
15-Newsom-declares-emergency_avg,chatgpt-4o-latest,0.6933333333333332,0.7890909090909091,0.750909090909091,0.6927272727272726,0.8777777777777779,0.2890909090909091,0.13454545454545458,0.5381818181818182,0.29333333333333333,0.30666666666666664,0.21400560224089635,10.4,6.2,4.2,19.2
16-America's-Sleeping-Giant_avg,chatgpt-4o-latest,0.6153846153846154,0.975,0.6511904761904762,0.6511904761904762,0.6690476190476191,0.47817460317460314,0.1257936507936508,0.29603174603174603,0.18461538461538463,0.38461538461538464,0.16583333333333333,8.0,5.2,2.6,15.6
17-homelessness-santa-clara_avg,chatgpt-4o-latest,0.48,0.5424242424242424,0.768080808080808,0.5242424242424242,0.9666666666666668,0.4193939393939393,0.12303030303030305,0.41535353535353536,0.2,0.5199999999999999,0.047619047619047616,9.6,5.0,1.0,21.0
18-wyoming-primary-dems_avg,chatgpt-4o-latest,0.6153846153846154,0.875,0.875,0.875,1.0,0.05,0.7,0.8,0.44615384615384623,0.38461538461538464,0.13333333333333333,8.0,7.0,2.0,15.0
19-oakland-sues-SW-airlines_avg,chatgpt-4o-latest,0.6666666666666666,0.875,0.5,0.5,0.5714285714285714,0.25,0.125,0.25,0.16666666666666666,0.3333333333333333,0.2,8.0,4.0,3.0,15.0
2-Best-DDR-player_avg,chatgpt-4o-latest,0.45714285714285713,1.0,1.0,1.0,1.0,0.0,0.6888888888888889,0.6888888888888889,0.3142857142857143,0.5428571428571429,0.0,9.6,9.6,0.0,21.0
20-bill-easier-access_avg,chatgpt-4o-latest,0.875,0.8571428571428571,0.8571428571428571,0.8571428571428571,1.0,0.7142857142857143,0.0,0.42857142857142855,0.375,0.125,0.11111111111111112,7.0,6.0,1.0,9.0
21-trump-kamala-mispronounce_avg,chatgpt-4o-latest,0.9333333333333333,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.9333333333333333,0.06666666666666667,0.6254545454545454,2.8,2.8,5.6,8.6
22-Judge-rules-breona-taylor_avg,chatgpt-4o-latest,0.6625,0.7305555555555555,0.6555555555555557,0.6333333333333334,0.8678571428571429,0.6333333333333333,0.40555555555555556,0.6083333333333333,0.3625,0.3375,0.1560233918128655,10.6,6.0,3.0,19.0
23-black-landowners-11mins_avg,chatgpt-4o-latest,0.7375,0.6606060606060605,0.6257575757575757,0.5424242424242425,0.8214285714285714,0.32121212121212117,0.39090909090909093,0.6454545454545453,0.2875,0.2625,0.26519856954639565,11.8,5.8,5.8,21.8
24-what-happens-to-migrants_avg,chatgpt-4o-latest,0.6363636363636364,1.0,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.0,0.8571428571428571,0.5454545454545454,0.36363636363636365,0.26666666666666666,7.0,6.0,4.0,15.0
25-ballot-access-trans_avg,chatgpt-4o-latest,0.4864864864864865,0.87266885161622,0.7162264635948847,0.6496304864725917,0.7475490196078431,0.4727459674828096,0.15632028789923527,0.5286485444380181,0.24324324324324326,0.5135135135135135,0.11025308591956351,18.0,11.2,4.6,41.6
26-biden-harris-11M_avg,chatgpt-4o-latest,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.8214285714285715,1.0,1.0,4.8,5.8
27-general-assembly-landlords_avg,chatgpt-4o-latest,0.5058823529411764,0.8166666666666667,0.5833333333333334,0.5833333333333334,0.7142857142857143,0.5833333333333334,0.37499999999999994,0.4666666666666666,0.23529411764705882,0.49411764705882355,0.23633033633033632,8.6,5.0,5.4,22.4
28-scranton-ukrainian-weapons_avg,chatgpt-4o-latest,0.8363636363636363,0.8305555555555555,0.6766666666666666,0.6766666666666666,0.8178571428571428,0.45777777777777773,0.4477777777777778,0.6222222222222223,0.43636363636363634,0.16363636363636364,0.39190476190476187,9.2,6.2,7.6,18.6
29-tim-scott-deregulate_avg,chatgpt-4o-latest,0.275,0.16666666666666666,0.18333333333333332,0.13333333333333333,0.8333333333333334,0.0,0.13333333333333333,0.13333333333333333,0.0125,0.725,0.058823529411764705,4.4,0.6,1.0,17.0
3-SF renewed-sweeps_avg,chatgpt-4o-latest,0.5166666666666666,0.6452214452214451,0.453962703962704,0.453962703962704,0.7047619047619047,0.0979020979020979,0.4188811188811189,0.4355477855477856,0.175,0.4833333333333333,0.07692307692307693,12.4,5.6,2.0,26.0
30-la-lower-rent-hikes_avg,chatgpt-4o-latest,0.254054054054054,0.6972727272727273,0.4909090909090909,0.4909090909090909,0.7128571428571429,0.05818181818181818,0.36454545454545456,0.42272727272727273,0.05405405405405406,0.745945945945946,0.06551282051282051,9.4,3.6,2.6,39.6
31-SV-GT-vermont_bill_avg,chatgpt-4o-latest,0.68,1.0,0.96218487394958,0.96218487394958,0.96218487394958,0.2,0.6158694246929541,0.7556022408963585,0.488,0.32,0.09796893667861409,17.0,16.4,2.8,27.8
32-openai_board_avg,chatgpt-4o-latest,0.7058823529411765,0.2187079587079587,0.8103396603396604,0.2187079587079587,1.0,0.02,0.650972360972361,0.7354911754911756,0.09411764705882353,0.29411764705882354,0.189004329004329,12.0,2.6,4.0,21.0
33-human-border_patrol_towers_avg,chatgpt-4o-latest,0.47857142857142854,0.9723809523809525,0.7772161172161173,0.7495970695970697,0.76996336996337,0.15010989010989012,0.4658608058608059,0.5540659340659342,0.2357142857142857,0.5214285714285714,0.0967741935483871,13.4,10.0,3.0,31.0
34-human-ca_guanranteed_income_avg,chatgpt-4o-latest,0.5259259259259259,0.9141636141636141,0.8363858363858364,0.8363858363858364,0.9176470588235294,0.4133089133089133,0.8739926739926739,0.9412698412698413,0.4296296296296296,0.47407407407407404,0.06896551724137931,14.2,11.6,2.0,29.0
4-SFO-Labor-Day_avg,chatgpt-4o-latest,1.0,0.8,0.8,0.8,1.0,0.3,0.04,0.45999999999999996,0.45999999999999996,0.0,0.375,10.0,8.0,6.0,16.0
5-Humboldt-SF-homeless-bus_avg,chatgpt-4o-latest,0.5333333333333334,1.0,0.6285714285714286,0.6285714285714286,0.6285714285714286,0.4714285714285714,0.3142857142857143,0.7857142857142858,0.25,0.4666666666666667,0.09010989010989011,6.4,4.0,1.2,13.2
6-OUSD-basic-job_avg,chatgpt-4o-latest,0.528,0.8722689075630253,0.7160655031243267,0.7160655031243267,0.8195337995337996,0.2696897220426632,0.18097177332471448,0.40099116569704807,0.20800000000000002,0.472,0.038461538461538464,13.2,6.4,1.0,26.0
7-District7-Candidate-Sues_avg,chatgpt-4o-latest,0.2952380952380952,0.6895238095238095,0.5542857142857143,0.5542857142857143,0.8300000000000001,0.2692857142857143,0.05357142857142857,0.4809523809523809,0.14285714285714285,0.7047619047619047,0.14867149758454107,6.2,3.4,3.8,24.8
8-primary-recount-complete_avg,chatgpt-4o-latest,0.8,1.0,1.0,1.0,1.0,0.75,1.0,1.0,0.8,0.2,0.1,4.0,4.0,0.6,5.6
9-steph-curry-gold_avg,chatgpt-4o-latest,0.5555555555555556,0.7200000000000001,0.7200000000000001,0.7200000000000001,1.0,0.0,0.44000000000000006,0.44000000000000006,0.2444444444444444,0.4444444444444445,0.13272727272727275,5.0,3.6,1.4,10.4
