,article_w_version,Source_Statement_Match_Rate,Source_Type_Match_Rate,Source_Name_Match_Rate,Source_Type_Name_Match_Rate,Source_Type_Correct_Name_Match_Rate,Source_Title_Match_Rate,Source_Justification_Match_Rate,Source_Title_Justification_Join_Match_Rate,All_Attribute_Accuracy,LLM_Miss_Rate,LLM_Unique_Discover_Rate,Both_Found_Count,Match_Counts,LLM_Unique_Discover_Counts,Total_Unique_Sentences
0,1-Harris-Trump-Reuters-Poll_avg,0.6699999999999999,0.2290909090909091,0.7442424242424244,0.2290909090909091,1.0,0.2290909090909091,0.2290909090909091,0.2290909090909091,0.15,0.32999999999999996,0.06493506493506493,13.4,3.0,1.4,21.4
1,1-Harris-Trump-Reuters-Poll_vv1,0.75,0.2,0.8,0.2,1.0,0.2,0.2,0.2,0.15,0.25,0.047619047619047616,15.0,3.0,1.0,21.0
2,1-Harris-Trump-Reuters-Poll_vv2,0.75,0.2,0.7333333333333333,0.2,1.0,0.2,0.2,0.2,0.15,0.25,0.09090909090909091,15.0,3.0,2.0,22.0
3,1-Harris-Trump-Reuters-Poll_vv3,0.75,0.2,0.7333333333333333,0.2,1.0,0.2,0.2,0.2,0.15,0.25,0.09090909090909091,15.0,3.0,2.0,22.0
4,1-Harris-Trump-Reuters-Poll_vv4,0.55,0.2727272727272727,0.7272727272727273,0.2727272727272727,1.0,0.2727272727272727,0.2727272727272727,0.2727272727272727,0.15,0.45,0.047619047619047616,11.0,3.0,1.0,21.0
5,1-Harris-Trump-Reuters-Poll_vv5,0.55,0.2727272727272727,0.7272727272727273,0.2727272727272727,1.0,0.2727272727272727,0.2727272727272727,0.2727272727272727,0.15,0.45,0.047619047619047616,11.0,3.0,1.0,21.0
6,10-Nebraska-voting-rights_avg,0.75,1.0,1.0,1.0,1.0,0.8333333333333334,0.5,0.6666666666666666,0.5,0.25,0.1822222222222222,6.0,6.0,1.8,9.8
7,10-Nebraska-voting-rights_vv1,0.75,1.0,1.0,1.0,1.0,0.8333333333333334,0.5,0.6666666666666666,0.5,0.25,0.2,6.0,6.0,2.0,10.0
8,10-Nebraska-voting-rights_vv2,0.75,1.0,1.0,1.0,1.0,0.8333333333333334,0.5,0.6666666666666666,0.5,0.25,0.1111111111111111,6.0,6.0,1.0,9.0
9,10-Nebraska-voting-rights_vv3,0.75,1.0,1.0,1.0,1.0,0.8333333333333334,0.5,0.6666666666666666,0.5,0.25,0.2,6.0,6.0,2.0,10.0
10,10-Nebraska-voting-rights_vv4,0.75,1.0,1.0,1.0,1.0,0.8333333333333334,0.5,0.6666666666666666,0.5,0.25,0.2,6.0,6.0,2.0,10.0
11,10-Nebraska-voting-rights_vv5,0.75,1.0,1.0,1.0,1.0,0.8333333333333334,0.5,0.6666666666666666,0.5,0.25,0.2,6.0,6.0,2.0,10.0
12,11-Nebraska-felons-crim-justice_avg,0.76,0.8039285714285714,0.8154761904761905,0.6835714285714285,0.8525641025641025,0.5,0.6576190476190475,0.8671428571428571,0.51,0.24,0.03722943722943723,15.2,10.4,0.8,20.8
13,11-Nebraska-felons-crim-justice_vv1,0.8,0.8125,0.8125,0.6875,0.8461538461538461,0.5,0.5,0.8125,0.5,0.2,0.047619047619047616,16.0,11.0,1.0,21.0
