,article_w_version,Source_Statement_Match_Rate,Source_Type_Match_Rate,Source_Name_Match_Rate,Source_Type_Name_Match_Rate,Source_Type_Correct_Name_Match_Rate,Source_Title_Match_Rate,Source_Justification_Match_Rate,Source_Title_Justification_Join_Match_Rate,All_Attribute_Accuracy,LLM_Miss_Rate,LLM_Unique_Discover_Rate,Both_Found_Count,Match_Counts,LLM_Unique_Discover_Counts,Total_Unique_Sentences
0,1-Harris-Trump-Reuters-Poll_avg,0.5700000000000001,1.0,1.0,1.0,1.0,0.26685314685314687,0.26685314685314687,0.26685314685314687,0.15,0.43,0.08063241106719368,11.4,11.4,1.8,21.8
6,10-Nebraska-voting-rights_avg,0.825,0.8285714285714286,0.9142857142857143,0.8285714285714286,1.0,0.761904761904762,0.45714285714285713,0.9142857142857143,0.675,0.175,0.48888888888888893,6.6,5.4,8.0,16.0
12,11-Nebraska-felons-crim-justice_avg,0.8875000000000001,1.0,1.0,1.0,1.0,0.7181372549019608,0.7459150326797386,0.9436274509803921,0.8374999999999999,0.11250000000000002,0.32736823361823364,17.75,17.75,10.25,30.25
17,12-kids-lead-poisoning_avg,1.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,2.0,1.0,1.0,3.0
23,13-pilot-curb-evictions_avg,0.9571428571428573,0.8505494505494505,0.7164835164835165,0.7164835164835165,0.8444444444444444,0.6417582417582418,0.4329670329670329,0.6417582417582418,0.6142857142857143,0.04285714285714286,0.6033685268979386,13.4,9.6,21.4,35.4
29,14-many-police-calls_avg,0.8869565217391304,0.8634920634920634,0.8253968253968254,0.8253968253968254,0.9555555555555555,0.7428571428571428,0.01111111111111111,0.8476190476190476,0.7304347826086957,0.11304347826086955,0.17818847818847822,20.4,16.8,5.2,28.2
35,15-Newsom-declares-emergency_avg,0.8933333333333333,0.7615384615384616,0.6857142857142857,0.6714285714285715,0.8814141414141414,0.32747252747252753,0.07472527472527472,0.4021978021978022,0.31999999999999995,0.10666666666666666,0.2606951871657754,13.4,8.2,5.8,20.8
41,16-America's-Sleeping-Giant_avg,0.6461538461538462,0.9355555555555556,0.8784126984126985,0.8139682539682539,0.8706349206349205,0.6787301587301587,0.050793650793650794,0.7295238095238095,0.46153846153846156,0.3538461538461539,0.06607142857142856,8.4,6.8,1.0,14.0
47,17-homelessness-santa-clara_avg,0.72,0.6964884135472371,0.7500178253119429,0.6783065953654189,0.9714285714285715,0.4611586452762924,0.290873440285205,0.6783065953654189,0.5,0.27999999999999997,0.027705627705627706,14.4,10.0,0.6,20.6
53,18-wyoming-primary-dems_avg,1.0,0.9230769230769231,0.9230769230769231,0.9230769230769231,1.0,0.3076923076923077,0.38461538461538464,0.46153846153846156,0.46153846153846156,0.0,0.5177522349936143,13.0,12.0,14.0,27.0
