No,Sourced Statements,Type of Source,Name of Source,Title of Source,Source Justification
1,"More than 930,000 travelers will funnel through SFO from Thursday through Tuesday",Named Person,Doug Yakel,SFO spokesperson,
2,"It’s also close to the number of travelers SFO saw in 2019, just months before the pandemic. This year’s prediction is 97% of what the airport handled five years ago",Named Person,Doug Yakel,SFO spokesperson,said by email
3,"To make it on time, holiday travelers should arrive at the airport two hours before domestic flights and three hours before international ones",Named Person,Doug Yakel,SFO spokesperson,
4,United Airlines advised passengers to leave even more time,Named Organization,United Airlines,,
5,The Standard viewed one Friday-morning boarding pass for a Chicago-bound flight that warned of long security lines and recommended arriving three hours early,Named Organization,The San Fransisco Standard,,
6,A United Airlines spokesperson said the three-hour warning was issued by mistake: somehow the company posted a years-old notice to the Chicago-bound boarding pass. ,Named Organization,United Airlines,"*The spokesperson shared a corrected advisory that suggested passengers “arrive early to avoid delays,” and to get a head start by checking bags from home and leaving luggage in the bag drop shortcut area at the airport.",
7,"SFO has not been advised of staffing woes for Thursday, which was expected to be the busiest day of travel at the airport.",Named Person,Doug Yakel,SFO spokesperson,
8,"“I have TSA Pre, so that should make it a little easier,”",Named Person,Katelin Tharp,Bay Area resident,on Thursday was booted from an overbooked flight to Boston
9,"“We’re sad since we just said goodbye to our one friend, and we don’t know if we’re ever going to see her again,”",Named Person,Ellie Mitchell,,"A quartet of friends was at the airport with time to spare so they could say goodbye to one of the crew who was homeward bound to Australia. They had zigzagged across the country by plane — highlights included stops in Florida, Nashville, and Lake Tahoe — after working together at a New York summer camp."
10,"Parking at airport garages will be in short supply this weekend, so travelers who want to leave cars at SFO should reserve spaces online as soon as possible",Named Person,Doug Yakel,SFO spokesperson,
11,"There are no major projects on the freeways near SFO, so with a bit of luck, drivers headed to the airport shouldn’t face major delays",Named Organization,Caltrans,Caltrans officials,
12,"And company insiders worry that Apple, despite its years of gravity-defying profits, is hamstrung by the political infighting, penny pinching and talent drain that often bedevil large companies, according to more than a dozen former and current employees and advisers.",Unnamed Group of People,,,more than a dozen former and current employees and advisers.
13,"While Vision Pro sales have been disappointing, Apple’s issues with Apple Intelligence exposed dysfunction inside the organization.
",Document,,,
14,"In a nearly two-hour video presentation last summer, Apple demonstrated how the A.I. product would summarize notifications and offer writing tools to improve emails and messages. It also revealed an improved Siri virtual assistant that could combine information on a phone, like a message about someone’s travel itinerary, with information on the web, like a flight arrival time.
",Named Organization,Apple,,
15,"Notification summaries misrepresented news reports, leading Apple to disable that feature. ",Document,,,
16,"Then, last month, the company postponed the spring release of an improved Siri because internal testing found that it was inaccurate on nearly a third of requests, said three people familiar with the project who spoke on the condition of anonymity.
",Anonymous Source,,,three people familiar with the project who spoke on the condition of anonymity.
17,,,,,
18,"“Apple needs to understand what happened because this is bigger than just rearranging the deck chairs,” said Michael Gartenberg, a technology analyst who previously worked as a product marketer at Apple. “If ever there’s been an example of over-promising and under-delivering, it’s Apple Intelligence.”",Named Person,Michael Gartenberg,Technology Analyst,who previously worked as a product marketer at Apple
19,"Some details of Apple’s changes to its Siri team and challenges were previously reported by Bloomberg and The Information.
",Named Organization,Bloomberg and The Information,,
20,"Mr. Giannandrea, who was overseeing the effort, sought approval from the company’s chief executive, Tim Cook, to buy more A.I. chips, known as graphics processing units, or GPUs, five people with knowledge of the request said. ",Unnamed Group of People,,,five people with knowledge of the request said
21,"At the time, Apple’s data centers had about 50,000 GPUs that were more than five years old — far fewer than the hundreds of thousands of chips being bought at the time by A.I. leaders like Microsoft, Amazon, Google and Meta, these people said.",Unnamed Group of People,,,five people with knowledge of the request said
22,"Mr. Cook approved a plan to double the team’s chip budget, but Apple’s finance chief, Luca Maestri, reduced the increase to less than half that, the people said. They said Mr. Maestri had encouraged the team to make the chips they had more efficient.",Unnamed Group of People,,,five people with knowledge of the request said
23,"The lack of GPUs meant the team developing A.I. systems had to negotiate for data center computing power from its providers like Google and Amazon, two of the people said.",Unnamed Group of People,,,two of the people said
24,"After this article was published, Trudy Muller, an Apple spokeswoman, said the company had fulfilled Mr. Giannandrea’s budget request for GPUs over time rather than all at once. She said Mr. Maestri had never asked the team to make its chips more efficient.",Named Person,Trudy Muller,Apple spokeswoman,
25,"At the same time, leaders at two of Apple’s software teams were battling over who would spearhead the rollout of Siri’s new abilities, three people who worked on the effort said.",Unnamed Group of People,,,three people who worked on the effort said.
26,"Mr. Giannandrea, who joined the company in 2019 from Google, had never led the launch of a high-profile product like the improved Siri.",Document,,,
27,"Mr. Cook, 64, who has a background in operations, has been hesitant over the years to provide clear and direct guidance on product development, said three people familiar with the way the company operates.
",Unnamed Group of People,,,three people familiar with the way the company operates.
28,"“It’s clearly a breakdown of leadership and communication and internal processes,” said Benedict Evans, an independent analyst who previously worked as a venture capitalist at Andreessen Horowitz.
",Named Person,Benedict Evans,independent analyst,who previously worked as a venture capitalist at Andreessen Horowitz.
29,"The company plans to release a virtual assistant in the fall capable of doing things like editing and sending a photo to a friend on request, three people with knowledge of its plans said.",Unnamed Group of People,,,three people with knowledge of its plans said.
30,"Some of Apple’s leaders don’t think the delay is a problem because none of Apple’s rivals, like Google and Meta, have figured out A.I. yet, these people said. They believe there’s time to get it right.",Unnamed Group of People,,,three people with knowledge of its plans said.
31,"The incompetency determination comes three months after a finding from December when Jahmed Haynes, 48, was determined to be competent after receiving treatment at the Western State Hospital in Pierce County.
",Document,,,none
32,"I'm mad about having to go round and round,"" said Melanie Roberts, Ruth Dalton's granddaughter. ""We are no better off than in September, the first time they got him to appear in court. I think the system is broken. I think he’s competent. I think he’s always been competent.",Named Person,Melanie Roberts,Victim's granddaughter,none
33,"At a hearing on Thursday, there was a brief discussion about whether Haynes would be ordered to take his medication while in custody. Judge Averil Rothrock said that any order to forcibly give him mediation as part of treatment would have to be resolved at a later hearing.",Named Person,Averil Rothrock,King County Superior Court Judge,"At a hearing on Thursday, there was a brief discussion about whether Haynes would be ordered to take his medication while in custody."
34,"If he chooses not to medicate himself, he is making a choice not to be competent and not to be compliant,” Roberts said. “Somebody in this court system needs to put their foot down and make him take his meds.",Named Person,Melanie Roberts,Victim's granddaughter,none
35,"According to the charges, Haynes carjacked Dalton while she was parked along Martin Luther King Jr. Way East in the Madison Valley neighborhood. Dalton had just picked up several dogs as part of her dog-walking business ""Grandma's Critter Care.""",Document,,,none
36,"Haynes forced Dalton out of the vehicle and then ran her over, killing her, according to police.",Named Organization,Seattle Police Department,,none
37,"Investigators say Haynes took Dalton's dog, Prince, and stabbed him to death before leaving his body in a trash can in south Seattle.",Unnamed Group of People,,Investigators,none
38,"Haynes was arrested the next day after police said they found his fingerprints in Dalton's car, which was abandoned at the park where Prince's body was discarded. According to the charges, Haynes had Dalton's car keys on him at the time of arrest, along with a knife that had blood and animal hair on it.",Document,,,none
39,"He goes to Western, they medicate him, and he’s competent. He goes to jail, he refuses meds, and he’s not competent. I’m tired of the merry-go-round,"" said Roberts. ""The state is broken. They are all about comforting a criminal and to hell with the victim.”",Named Person,Melanie Roberts,Victims granddaughter,none
40,Democrat Kamala Harris leads Republican Donald Trump 45% to 41% in a Reuters/Ipsos poll published on Thursday that showed the vice president sparking new enthusiasm among voters and shaking up the race ahead of the Nov. 5 election,Document,,,
41,The 4 percentage point advantage among registered voters was wider than a 1 point lead Harris held over the former president in a late July Reuters/Ipsos poll,Named Organization,Reuters/Ipsos,,
42,"The new poll, which was conducted in the eight days ended Wednesday and had a 2 percentage point margin of error, showed Harris picking up support among women and Hispanics.",Named Organization,Reuters/Ipsos,,"which was conducted in the eight days ended Wednesday and had a 2 percentage point margin of error,"
43,"Harris led Trump by 49% to 36% - or 13 percentage points - among both women voters and Hispanic voters. Across four Reuters/Ipsos polls conducted in July, Harris had a 9 point lead among women and a 6 point lead among Hispanics.",Named Organization,Reuters/Ipsos,,
44,"Trump led among white voters and men, both by similar margins as in July, though his lead among voters without a college degree narrowed to 7 points in the latest survey, down from 14 points in July.",Named Organization,Reuters/Ipsos,,
45,"The findings illustrate how the U.S. presidential race has been shaken up over the summer. President Joe Biden, 81, folded his flailing campaign on July 21 after a disastrous debate performance against Trump sparked widespread calls from his fellow Democrats to abandon his re-election bid.",Document,,,
46,"In the seven states where the 2020 election was closest - Wisconsin, Pennsylvania, Georgia, Arizona, North Carolina, Michigan and Nevada - Trump had a 45% to 43% lead over Harris among registered voters in the poll.",Named Organization,Reuters/Ipsos,,
47,A separate Bloomberg News/Morning Consult poll published later on Thursday showed that Harris was either leading or tied with Trump in each of those states.,Named Organization,Bloomberg News/Morning Consult,,published later on Thursday
48,That poll showed Harris led Trump by 2 percentage points among registered voters across the seven states and was ahead by 1 point — a statistical tie — among likely voters. The margin of error was 1 percentage point across the seven states.,Named Organization,Bloomberg News/Morning Consult,,
49,"""It's obvious that running against Harris is more challenging for Trump given the shift in these numbers, but it's certainly not insurmountable,"" Matt Wolking, a Republican campaign strategist who worked on Trump's 2020 campaign, said in response to the Reuters/Ipsos poll results.",Named Person,Matt Wolking,Republican campaign strategist ,worked on Trump's 2020 campaign
50,"He said Trump needs to stay as focused as possible in his campaign ""so he's not scaring"" away voters who were leaning his way because they didn't like Biden.",Named Person,Matt Wolking,Republican campaign strategist ,worked on Trump's 2020 campaign
