No,Sourced Statements,Type of source,Name of Source,Title of Source,Source Justification
1,"More than 930,000 travelers will funnel through SFO from Thursday through Tuesday",named person,Doug Yakel,SFO spokesperson,
2,"It’s also close to the number of travelers SFO saw in 2019, just months before the pandemic. This year’s prediction is 97% of what the airport handled five years ago",named person,Doug Yakel,SFO spokesperson,said by email
3,"To make it on time, holiday travelers should arrive at the airport two hours before domestic flights and three hours before international ones",named person ,Doug Yakel,SFO spokesperson,
4,United Airlines advised passengers to leave even more time,named organization,United Airlines,,
5,The Standard viewed one Friday-morning boarding pass for a Chicago-bound flight that warned of long security lines and recommended arriving three hours early,named organization,The San Fransisco Standard,,
6,A United Airlines spokesperson said the three-hour warning was issued by mistake: somehow the company posted a years-old notice to the Chicago-bound boarding pass. ,named organization ,United Airlines,,"*The spokesperson shared a corrected advisory that suggested passengers “arrive early to avoid delays,” and to get a head start by checking bags from home and leaving luggage in the bag drop shortcut area at the airport."
7,"SFO has not been advised of staffing woes for Thursday, which was expected to be the busiest day of travel at the airport.",named person,Doug Yakel,SFO spokesperson,
8,"“I have TSA Pre, so that should make it a little easier,”",named person,Katelin Tharp,Bay Area resident,on Thursday was booted from an overbooked flight to Boston
9,"“We’re sad since we just said goodbye to our one friend, and we don’t know if we’re ever going to see her again,”",named person,Ellie Mitchell,,"A quartet of friends was at the airport with time to spare so they could say goodbye to one of the crew who was homeward bound to Australia. They had zigzagged across the country by plane — highlights included stops in Florida, Nashville, and Lake Tahoe — after working together at a New York summer camp."
10,"Parking at airport garages will be in short supply this weekend, so travelers who want to leave cars at SFO should reserve spaces online as soon as possible",named person,Doug Yakel,SFO spokesperson,
11,"There are no major projects on the freeways near SFO, so with a bit of luck, drivers headed to the airport shouldn’t face major delays",named organization,Caltrans,Caltrans officials,
