SourcedStatement,SourceType,Name,Title,Justification
"An outreach specialist with the Nebraska AIDS Project, King came off probation in August after serving time for drug and theft convictions. In many states, he could have voted in the November general election, but Nebraska requires a two-year wait after the completion of a felony sentence before someone can register.",Named Person,TJ King,"outreach specialist, Nebraska AIDS Project",came off probation in August after serving time for drug and theft convictions
"Voting, King said in an interview, gives ""a little bit of your strength back and a little bit of your voice back. Being able to vote, being able to have a say in what happens in your society, in your state, is extremely important.""",Named Person,TJ King,"outreach specialist, Nebraska AIDS Project",came off probation in August after serving time for drug and theft convictions
"At least 14 states have introduced proposals this year focused on restoration of voting rights, according to the Brennan Center for Justice. An Oregon proposal would allow felons to vote while incarcerated. A Tennessee bill would automatically restore voting rights once a sentence is completed, except for a small group of crimes. Texas legislation would restore voting rights to those on probation or parole.",Named Organization,Brennan Center for Justice,null,null
"""Restoring voting rights really is an issue where we've seen bipartisan momentum,"" said Patrick Berry, counsel for the Democracy program at the Brennan Center.",Named Person,Patrick Berry,"counsel for the Democracy program, Brennan Center",null
"In Nebraska, nearly 18,000 people are unable to vote because of felony convictions, said the Sentencing Project's director of advocacy, Nicole Porter. That includes 7,072 who fall under the two-year wait requirement and are currently unable to cast a ballot. The rest have not completed their full sentences.",Named Person,Nicole Porter,"director of advocacy, Sentencing Project",null
"""You're civically dead and you can't vote for the people who are levying those taxes,"" he said.",Named Person,Steve Smith,null,"of Civic Nebraska, part of a large coalition of groups supporting the measure"
"Nebraska is alone in requiring a general waiting period beyond imprisonment and release from parole or probation, said Margaret Love, co-founder and director of the Collateral Consequences Resource Center, which keeps a 50-state database on restoration of rights.",Named Person,Margaret Love,"co-founder and director, Collateral Consequences Resource Center",keeps a 50-state database on restoration of rights
"The bill's author, Democratic state Sen. Justin Wayne, said he was going door to door in his first election in 2016 and was told by would-be constituents that they could not vote. Much of the reason was confusion over the law's waiting period, he said.",Named Person,Justin Wayne,Democratic state Senator,The bill's author; represents parts of Omaha with strong minority populations
"""When people get out of our system, they've got to feel engaged in their community, and the number one way for a person to feel engaged in their community is to be able to vote for the leadership of that community,"" he said.",Named Person,Justin Wayne,Democratic state Senator,The bill's author; represents parts of Omaha with strong minority populations
"""I do think that hopefully the waiting period reinforces the fact that voting is something very special, and hopefully that will be part of the things that an individual would consider if they're tempted to break the law again,"" she said.",Named Person,Kathy Wilcot,member of the University of Nebraska Board of Regents,was the lone dissenter from among the nearly 20 witnesses who spoke on Wayne's bill
"""I felt so hopeless and helpless not being able to have my voice heard in this last election,"" King said. ""There are a lot of things that were on the ballot here in Nebraska that hit home with a lot of things that I advocate for.""",Named Person,TJ King,"outreach specialist, Nebraska AIDS Project","fought addiction for years and spent five years in prison after being convicted of possessing the party drug Ecstasy and theft by deception, ending probation last August; works in the HIV/AIDS field and volunteers at various organizations"
"""I don't have a say in anything that goes on in my country because I'm a felon.""",Named Person,Demetrius Gatson,"executive director, Q.U.E.E.N.S Butterfly House","Since her 2018 release, she has obtained graduate degrees and served in a variety of volunteer roles; has set up her own nonprofit and is executive director of Q.U.E.E.N.S Butterfly House, a safe house for women trying to reenter society"
"""You can't harm society by voting,"" he said. ""You can only help it.""",Named Person,Steven Scott,null,"was paroled in 2015 after serving more than four years on assault and other charges; is now married with two small children and owns his own business, a physical rehabilitation and athletic coaching center; has regained voting rights and cast ballots for Republican candidates in his first elections, including 2020"
