SourcedStatement,SourceType,Name,Title,Justification
"At one point, Mr. Altman, the chief executive, made a move to push out one of the board's members because he thought a research paper she had co-written was critical of the company.",Named Person,Sam Altman,"chief executive, OpenAI",
"Another member, Ilya Sutskever, thought Mr. Altman was not always being honest when talking with the board. And some board members worried that Mr. Altman was too focused on expansion while they wanted to balance that growth with A.I. safety.",Named Person,Ilya Sutskever,OpenAI board member,had worked closely with Mr. Altman at OpenAI for eight years
"Mr. Altman complained that the research paper seemed to criticize OpenAI's efforts to keep its A.I. technologies safe while praising the approach taken by Anthropic, a company that has become OpenAI's biggest rival, according to an email that Mr. Altman wrote to colleagues and that was viewed by The New York Times. In the email, Mr. Altman said that he had reprimanded Ms. Toner for the paper and that it was dangerous to the company, particularly at a time, he added, when the Federal Trade Commission was investigating OpenAI over the data used to build its technology.",Document,email from Sam Altman,,email that Mr. Altman wrote to colleagues and that was viewed by The New York Times
Ms. Toner defended it as an academic paper that analyzed the challenges that the public faces when trying to understand the intentions of the countries and companies developing A.I.,Named Person,Helen Toner,director of strategy at Georgetown University's Center for Security and Emerging Technology,OpenAI board member
"'I did not feel we're on the same page on the damage of all this,' he wrote in the email. 'Any amount of criticism from a board member carries a lot of weight.'",Document,email from Sam Altman,,email that Mr. Altman wrote to colleagues and that was viewed by The New York Times
"Senior OpenAI leaders, including Mr. Sutskever, who is deeply concerned that A.I. could one day destroy humanity, later discussed whether Ms. Toner should be removed, a person involved in the conversations said.",Anonymous Source,,,person involved in the conversations
"But shortly after those discussions, Mr. Sutskever did the unexpected: He sided with board members to oust Mr. Altman, according to two people familiar with the board's deliberations. The statement he read to Mr. Altman said that Mr. Altman was being fired because he wasn't 'consistently candid in his communications with the board.'",Anonymous Source,,,people familiar with the board's deliberations
"Mr. Sutskever's frustration with Mr. Altman echoed what had happened in 2021 when another senior A.I. scientist left OpenAI to form Anthropic. That scientist and other researchers went to the board to try to push Mr. Altman out. After they failed, they gave up and departed, according to three people familiar with the attempt to push Mr. Altman out.",Anonymous Source,,,people familiar with the attempt to push Mr. Altman out
"'After a series of reasonably amicable negotiations, the co-founders of Anthropic were able to negotiate their exit on mutually agreeable terms,' an Anthropic spokeswoman, Sally Aldous, said. In a second statement, Anthropic added that there was 'no attempt to 'oust' Sam Altman at the time the founders of Anthropic left OpenAI.'",Named Person,Sally Aldous,Anthropic spokeswoman,
"After vetting four candidates for one position, the remaining directors couldn't agree on who should fill it, said the two people familiar with the board's deliberations. The stalemate hardened the divide between Mr. Altman and Mr. Brockman and other board members.",Anonymous Source,,,people familiar with the board's deliberations
"During the call, Jason Kwon, OpenAI's chief strategy officer, said the board was endangering the future of the company by pushing out Mr. Altman. This, he said, violated the members' responsibilities.",Named Person,Jason Kwon,OpenAI's chief strategy officer,
"Ms. Toner disagreed. The board's mission was to ensure that the company creates artificial intelligence that 'benefits all of humanity,' and if the company was destroyed, she said, that could be consistent with its mission. In the board's view, OpenAI would be stronger without Mr. Altman.",Named Person,Helen Toner,director of strategy at Georgetown University's Center for Security and Emerging Technology,OpenAI board member
