SourcedStatement,SourceType,Name,Title,Justification
"About nine months ago, the two men agreed he could withhold rent until repairs were made, he said. In the meantime, he started looking for a new place to live. But, his landlord's unwillingness to cooperate with rental history checks by property management firms made finding a new home for his family of five extremely difficult.",Named Person,Bryant Woods,null,"Tenant whose rental home had major issues including rotted-out flooring, mold, and non-functioning heat; his landlord filed for eviction against him"
"The cash didn't make it to MALS until February 2024, due to problems with how the County Commission resolution was originally drafted, Henderson said. By then, Ettingoff was no longer with MALS, and the interim executive director, Loyce Lambert Ryan, was dealing with the fallout of a major cyber attack. Ultimately, MALS wasn't able to launch the program in earnest until June.",Named Person,Deborah Henderson,"Judge, General Sessions Civil Court","One of the court's judges who secured $240,000 in the county budget to pilot a pre-litigation mediation program for landlord-tenant disputes"
"Recently, MALS worked with a woman who was living in a house that ""should not be lived in by anyone"" and was starting to fall behind on rent, Henderson said. It seemed like a case headed toward an eviction for the tenant, a code violation for the landlord or both. But with MALS' help, the landlord is making repairs, and the tenant is using some leftover rental assistance funds to catch up on rent.",Named Person,Deborah Henderson,"Judge, General Sessions Civil Court","One of the court's judges who secured $240,000 in the county budget to pilot a pre-litigation mediation program for landlord-tenant disputes"
"""There are no income limits or income requirements,"" Henderson told a WLOK-AM audience earlier this summer. ""If you're a tenant who is having trouble with your landlord, you need to give us a call. … If you're a landlord and you have a troublesome tenant … give us a call.""",Named Person,Deborah Henderson,"Judge, General Sessions Civil Court","One of the court's judges who secured $240,000 in the county budget to pilot a pre-litigation mediation program for landlord-tenant disputes; has been spending nights and weekends speaking to churches, on radio shows and at other events to promote the program"
"Nicole Grida, the new MALS CEO, said her team has started creating marketing materials for the program, building partnerships with local nonprofits and screening folks who call in for other services to see if they will fit the program's criteria, which has resulted in many promising leads.",Named Person,Nicole Grida,"CEO, Memphis Area Legal Services",Leader of the organization implementing the landlord-tenant mediation program
"For the program to succeed, Grida said raising greater awareness will be key, as most Memphians it could help don't yet know it exists.",Named Person,Nicole Grida,"CEO, Memphis Area Legal Services",Leader of the organization implementing the landlord-tenant mediation program
"Woods' case, for instance, sounded like a perfect fit for mediation, Henderson said, if only they'd found him before the eviction was filed.",Named Person,Deborah Henderson,"Judge, General Sessions Civil Court","One of the court's judges who secured $240,000 in the county budget to pilot a pre-litigation mediation program for landlord-tenant disputes"
"""We could have drafted a document that ensured the landlord (followed the verbal agreement),"" she said.",Named Person,Deborah Henderson,"Judge, General Sessions Civil Court","One of the court's judges who secured $240,000 in the county budget to pilot a pre-litigation mediation program for landlord-tenant disputes"
"Meanwhile, Grida said MALS is looking for other funders interested in backing the effort.",Named Person,Nicole Grida,"CEO, Memphis Area Legal Services",Leader of the organization implementing the landlord-tenant mediation program
"Henderson believes the program will require a much longer pilot period before it's able to produce the proof necessary to create a housing court. But, despite the rough start, she remains ""very hopeful"" for its future.",Named Person,Deborah Henderson,"Judge, General Sessions Civil Court","One of the court's judges who secured $240,000 in the county budget to pilot a pre-litigation mediation program for landlord-tenant disputes"
