SourcedStatement,SourceType,Name,Title,Justification
"""It just shortens the whole timeline in which a person can lose their home,"" said Brian Rees, a staff attorney at The Works Inc. nonprofit who has represented hundreds of tenants in eviction proceedings in recent years. ""Things (can now) happen very, very quickly.""",Named Person,Brian Rees,staff attorney at The Works Inc. nonprofit,who has represented hundreds of tenants in eviction proceedings in recent years
"In a sparsely populated room at the Hickory Hill Community Center in mid-April, Judge Deborah Henderson was quite candid with the renters gathered to learn about the eviction process. House Bill 2267, which cut tenants' right to a continuance in half, hadn't yet been signed by Gov. Bill Lee. If the governor signed it, Henderson said, it would have ""devastating"" consequences for renters. To Henderson, who judges thousands of eviction cases per year, the only explanation for such action was landlord lobbying. ""Landlords have always had a very strong lobbying group,"" she said.",Named Person,Deborah Henderson,Judge,who judges thousands of eviction cases per year
"The Tennessee Association of Realtors is the sixth largest spender on Tennessee politics, according to the Tennessee Lookout's database, having spent $6.5 million on lobbying, campaign donations and other political expenditures since 2009.",Document,Tennessee Lookout's database,null,null
"In the statement, Swann said the bill will help landlords free up apartments more quickly for the thousands of Tennesseeans seeking a home. He also said it would help the apartment industry develop new apartments, but he didn't make clear how it would.",Named Person,Art Swann,Sen. (R-Maryville),who sponsored the legislation in the Senate
"The Tennessee Association of Realtors has been Swann's top funder since the start of 2009, according to the Tennessee Lookout, giving him $18,750. It has also given Boyd $11,500 since 2009, making it his No. 6 funder.",Named Organization,Tennessee Lookout,null,null
"""It's disheartening to see them make a change that will affect families who are struggling,"" Rees said.",Named Person,Brian Rees,staff attorney at The Works Inc. nonprofit,who has represented hundreds of tenants in eviction proceedings in recent years
"""(TAR) has the connection with a lot of legislators, especially on the commerce committee, where this was going to be,"" Thompson said. ""(And) they were just ironclad.""",Named Person,Dwayne Thompson,Rep. (D-Cordova),who attempted to create a registry of all the city's rental housing
"During the subcommittee hearing, Shelby County Commissioner Erika Sugarmon and City of Memphis Division of Public Works director Robert Knecht endorsed it and two landlord representatives spoke against it.",Named Person,Erika Sugarmon,Shelby County Commissioner,null
"During the subcommittee hearing, Shelby County Commissioner Erika Sugarmon and City of Memphis Division of Public Works director Robert Knecht endorsed it and two landlord representatives spoke against it.",Named Person,Robert Knecht,City of Memphis Division of Public Works director,null
"During the subcommittee hearing, Shelby County Commissioner Erika Sugarmon and City of Memphis Division of Public Works director Robert Knecht endorsed it and two landlord representatives spoke against it.",Unnamed Group of People,landlord representatives,null,null
Thompson told the subcommittee that registration had worked well for Nashville but failed to convince them.,Named Person,Dwayne Thompson,Rep. (D-Cordova),who attempted to create a registry of all the city's rental housing
"""How are you going to find the (bad actors)? It looks to me like the good people will do it but the bad people aren't going to change,"" Marsh said during the subcommittee hearing.",Named Person,Pat Marsh,Rep. (R-Shelbyville),null
"Given TAR's opposition and the legislature itself having recently moved ""much farther to the right,"" in his experience, Thompson said a Shelby County rental registry is ""probably not in the cards, for several years anyway."" Though he's not running for reelection, he's hopeful whoever succeeds him will be able to find other ways to help cities deal with slumlords.",Named Person,Dwayne Thompson,Rep. (D-Cordova),who attempted to create a registry of all the city's rental housing
"While most landlords do this already, Thompson said he's heard from tenants who tell him they have no way of contacting their landlord or property manager about maintenance issues.",Named Person,Dwayne Thompson,Rep. (D-Cordova),who attempted to create a registry of all the city's rental housing
"""I really am happy to see that pass,"" Rees said. ""I think it's important that tenants do have good quality contact information for their property manager or owner.""",Named Person,Brian Rees,staff attorney at The Works Inc. nonprofit,who has represented hundreds of tenants in eviction proceedings in recent years
