SourcedStatement,SourceType,Name,Title,Justification
"At one point, Mr. Altman, the chief executive, made a move to push out one of the board’s members because he thought a research paper she had co-written was critical of the company.",Named Person,Sam Altman,Chief Executive,"Sam Altman, the chief executive, made a move to push out one of the board’s members because he thought a research paper she had co-written was critical of the company."
"Another member, Ilya Sutskever, thought Mr. Altman was not always being honest when talking with the board.",Named Person,Ilya Sutskever,Board Member,"Ilya Sutskever, thought Mr. Altman was not always being honest when talking with the board."
And some board members worried that Mr. Altman was too focused on expansion while they wanted to balance that growth with A.I. safety.,Unnamed Group of People,some board members,null,some board members worried that Mr. Altman was too focused on expansion while they wanted to balance that growth with A.I. safety.
"The news that he was being pushed out came in a videoconference on Friday afternoon, when Mr. Sutskever, who had worked closely with Mr. Altman at OpenAI for eight years, read him a statement.",Named Person,Ilya Sutskever,Board Member,"Mr. Sutskever, who had worked closely with Mr. Altman at OpenAI for eight years, read him a statement."
The decision stunned OpenAI’s employees and exposed board members to tough questions about their qualifications to manage such a high-profile company.,Unnamed Group of People,OpenAI’s employees,null,The decision stunned OpenAI’s employees and exposed board members to tough questions about their qualifications to manage such a high-profile company.
Those tensions seemingly came to an end late Tuesday when Mr. Altman was reinstated as chief executive.,Named Person,Sam Altman,Chief Executive,Mr. Altman was reinstated as chief executive.
"Mr. Sutskever and others critical of Mr. Altman were jettisoned from the board, whose members now include Bret Taylor, an early Facebook officer and former co-chief executive of Salesforce, and Larry Summers, the former Treasury Department secretary. The only holdover is Adam D’Angelo, chief executive of the question-and-answer site, Quora.",Named Person,Bret Taylor,early Facebook officer and former co-chief executive of Salesforce,"Bret Taylor, an early Facebook officer and former co-chief executive of Salesforce, and Larry Summers, the former Treasury Department secretary. The only holdover is Adam D’Angelo, chief executive of the question-and-answer site, Quora."
The OpenAI debacle has illustrated how building A.I. systems is testing whether businesspeople who want to make money from artificial intelligence can work in sync with researchers who worry that what they are building could eventually eliminate jobs or become a threat if technologies like autonomous weapons grow out of control.,Unnamed Group of People,businesspeople and researchers,null,The OpenAI debacle has illustrated how building A.I. systems is testing whether businesspeople who want to make money from artificial intelligence can work in sync with researchers who worry that what they are building could eventually eliminate jobs or become a threat if technologies like autonomous weapons grow out of control.
OpenAI was started in 2015 with an ambitious plan to one day create a superintelligent automated system that can do everything a human brain can do.,Named Organization,OpenAI,null,OpenAI was started in 2015 with an ambitious plan to one day create a superintelligent automated system that can do everything a human brain can do.
"But friction plagued the company’s board, which hadn’t even been able to agree on replacements for members who had stepped down.",Unnamed Group of People,company’s board,null,"friction plagued the company’s board, which hadn’t even been able to agree on replacements for members who had stepped down."
"Before Mr. Altman’s return, the company’s continued existence was in doubt.",Named Person,Sam Altman,Chief Executive,"Before Mr. Altman’s return, the company’s continued existence was in doubt."
"Nearly all of OpenAI’s 800 employees had threatened to follow Mr. Altman to Microsoft, which asked him to lead an A.I. lab with Greg Brockman, who quit his roles as OpenAI’s president and board chairman in solidarity with Mr. Altman.",Unnamed Group of People,OpenAI’s 800 employees,null,"Nearly all of OpenAI’s 800 employees had threatened to follow Mr. Altman to Microsoft, which asked him to lead an A.I. lab with Greg Brockman, who quit his roles as OpenAI’s president and board chairman in solidarity with Mr. Altman."
The board had told Mr. Brockman that he would no longer be OpenAI’s chairman but invited him to stay on at the company — though he was not invited to the meeting where the decision was made to push him off the board and Mr. Altman out of the company.,Named Person,Greg Brockman,OpenAI’s president and board chairman,"Greg Brockman, who quit his roles as OpenAI’s president and board chairman in solidarity with Mr. Altman."
OpenAI’s board troubles can be traced to the start-up’s nonprofit beginnings.,Named Organization,OpenAI,null,OpenAI’s board troubles can be traced to the start-up’s nonprofit beginnings.
"In 2015, Mr. Altman teamed with Elon Musk and others, including Mr. Sutskever, to create a nonprofit to build A.I. that was safe and beneficial to humanity.",Named Person,Sam Altman,Chief Executive,"Mr. Altman teamed with Elon Musk and others, including Mr. Sutskever, to create a nonprofit to build A.I. that was safe and beneficial to humanity."
They planned to raise money from private donors for their mission.,Unnamed Group of People,"Mr. Altman, Elon Musk, and others",null,"Mr. Altman teamed with Elon Musk and others, including Mr. Sutskever, to create a nonprofit to build A.I. that was safe and beneficial to humanity."
"But within a few years, they realized that their computing needs required much more funding than they could raise from individuals.",Unnamed Group of People,"Mr. Altman, Elon Musk, and others",null,"Mr. Altman teamed with Elon Musk and others, including Mr. Sutskever, to create a nonprofit to build A.I. that was safe and beneficial to humanity."
"After Mr. Musk left in 2018, they created a for-profit subsidiary that began raising billions of dollars from investors, including $1 billion from Microsoft.",Unnamed Group of People,Mr. Altman and others,null,"After Mr. Musk left in 2018, they created a for-profit subsidiary that began raising billions of dollars from investors, including $1 billion from Microsoft."
"They said that the subsidiary would be controlled by the nonprofit board and that each director’s fiduciary duty would be to “humanity, not OpenAI investors,” the company said on its website.",Named Organization,OpenAI,null,the company said on its website.
"Among the tensions leading up to Mr. Altman’s ouster and quick return involved his conflict with Helen Toner, a board member and a director of strategy at Georgetown University’s Center for Security and Emerging Technology.",Named Person,Helen Toner,board member and a director of strategy at Georgetown University’s Center for Security and Emerging Technology,"Helen Toner, a board member and a director of strategy at Georgetown University’s Center for Security and Emerging Technology."
"A few weeks before Mr. Altman’s firing, he met with Ms. Toner to discuss a paper she had co-written for the Georgetown center.",Named Person,Sam Altman,Chief Executive,Mr. Altman met with Ms. Toner to discuss a paper she had co-written for the Georgetown center.
"Mr. Altman complained that the research paper seemed to criticize OpenAI’s efforts to keep its A.I. technologies safe while praising the approach taken by Anthropic, a company that has become OpenAI’s biggest rival, according to an email that Mr. Altman wrote to colleagues and that was viewed by The New York Times.",Named Person,Sam Altman,Chief Executive,"Mr. Altman complained that the research paper seemed to criticize OpenAI’s efforts to keep its A.I. technologies safe while praising the approach taken by Anthropic, a company that has become OpenAI’s biggest rival, according to an email that Mr. Altman wrote to colleagues and that was viewed by The New York Times."
"In the email, Mr. Altman said that he had reprimanded Ms. Toner for the paper and that it was dangerous to the company, particularly at a time, he added, when the Federal Trade Commission was investigating OpenAI over the data used to build its technology.",Named Person,Sam Altman,Chief Executive,"Mr. Altman said that he had reprimanded Ms. Toner for the paper and that it was dangerous to the company, particularly at a time, he added, when the Federal Trade Commission was investigating OpenAI over the data used to build its technology."
Ms. Toner defended it as an academic paper that analyzed the challenges that the public faces when trying to understand the intentions of the countries and companies developing A.I.,Named Person,Helen Toner,board member and a director of strategy at Georgetown University’s Center for Security and Emerging Technology,Ms. Toner defended it as an academic paper that analyzed the challenges that the public faces when trying to understand the intentions of the countries and companies developing A.I.
But Mr. Altman disagreed.,Named Person,Sam Altman,Chief Executive,Mr. Altman disagreed.
"“I did not feel we’re on the same page on the damage of all this,” he wrote in the email. “Any amount of criticism from a board member carries a lot of weight.”",Named Person,Sam Altman,Chief Executive,Mr. Altman wrote in the email.
"Senior OpenAI leaders, including Mr. Sutskever, who is deeply concerned that A.I. could one day destroy humanity, later discussed whether Ms. Toner should be removed, a person involved in the conversations said.",Anonymous Source,null,null,a person involved in the conversations said.
"But shortly after those discussions, Mr. Sutskever did the unexpected: He sided with board members to oust Mr. Altman, according to two people familiar with the board’s deliberations.",Anonymous Source,null,null,according to two people familiar with the board’s deliberations.
The statement he read to Mr. Altman said that Mr. Altman was being fired because he wasn’t “consistently candid in his communications with the board.”,Named Person,Ilya Sutskever,Board Member,The statement he read to Mr. Altman said that Mr. Altman was being fired because he wasn’t “consistently candid in his communications with the board.”
Mr. Sutskever’s frustration with Mr. Altman echoed what had happened in 2021 when another senior A.I. scientist left OpenAI to form Anthropic.,Named Person,Ilya Sutskever,Board Member,Mr. Sutskever’s frustration with Mr. Altman echoed what had happened in 2021 when another senior A.I. scientist left OpenAI to form Anthropic.
That scientist and other researchers went to the board to try to push Mr. Altman out.,Unnamed Group of People,That scientist and other researchers,null,That scientist and other researchers went to the board to try to push Mr. Altman out.
"After they failed, they gave up and departed, according to three people familiar with the attempt to push Mr. Altman out.",Anonymous Source,null,null,according to three people familiar with the attempt to push Mr. Altman out.
"“After a series of reasonably amicable negotiations, the co-founders of Anthropic were able to negotiate their exit on mutually agreeable terms,” an Anthropic spokeswoman, Sally Aldous, said.",Named Person,Sally Aldous,Anthropic spokeswoman,"an Anthropic spokeswoman, Sally Aldous, said."
"In a second statement, Anthropic added that there was “no attempt to ‘oust’ Sam Altman at the time the founders of Anthropic left OpenAI.”",Named Organization,Anthropic,null,Anthropic added that there was “no attempt to ‘oust’ Sam Altman at the time the founders of Anthropic left OpenAI.”
Vacancies exacerbated the board’s issues.,Unnamed Group of People,board,null,Vacancies exacerbated the board’s issues.
"This year, it disagreed over how to replace three departing directors: Reid Hoffman, the LinkedIn founder and a Microsoft board member; Shivon Zilis, director of operations at Neuralink, a company started by Mr. Musk to implant computer chips in people’s brains; and Will Hurd, a former Republican congressman from Texas.",Unnamed Group of People,board,null,"it disagreed over how to replace three departing directors: Reid Hoffman, the LinkedIn founder and a Microsoft board member; Shivon Zilis, director of operations at Neuralink, a company started by Mr. Musk to implant computer chips in people’s brains; and Will Hurd, a former Republican congressman from Texas."
"After vetting four candidates for one position, the remaining directors couldn’t agree on who should fill it, said the two people familiar with the board’s deliberations.",Anonymous Source,null,null,said the two people familiar with the board’s deliberations.
The stalemate hardened the divide between Mr. Altman and Mr. Brockman and other board members.,Unnamed Group of People,other board members,null,The stalemate hardened the divide between Mr. Altman and Mr. Brockman and other board members.
"Hours after Mr. Altman was ousted, OpenAI executives confronted the remaining board members during a video call, according to three people who were on the call.",Anonymous Source,null,null,according to three people who were on the call.
"During the call, Jason Kwon, OpenAI’s chief strategy officer, said the board was endangering the future of the company by pushing out Mr. Altman.",Named Person,Jason Kwon,OpenAI’s chief strategy officer,"Jason Kwon, OpenAI’s chief strategy officer, said the board was endangering the future of the company by pushing out Mr. Altman."
"This, he said, violated the members’ responsibilities.",Named Person,Jason Kwon,OpenAI’s chief strategy officer,"Jason Kwon, OpenAI’s chief strategy officer, said the board was endangering the future of the company by pushing out Mr. Altman."
Ms. Toner disagreed.,Named Person,Helen Toner,board member and a director of strategy at Georgetown University’s Center for Security and Emerging Technology,Ms. Toner disagreed.
"The board’s mission was to ensure that the company creates artificial intelligence that “benefits all of humanity,” and if the company was destroyed, she said, that could be consistent with its mission.",Named Person,Helen Toner,board member and a director of strategy at Georgetown University’s Center for Security and Emerging Technology,"The board’s mission was to ensure that the company creates artificial intelligence that “benefits all of humanity,” and if the company was destroyed, she said, that could be consistent with its mission."
"In the board’s view, OpenAI would be stronger without Mr. Altman.",Unnamed Group of People,board,null,"In the board’s view, OpenAI would be stronger without Mr. Altman."
"On Sunday, Mr. Sutskever was urged at OpenAI’s office to reverse course by Mr. Brockman’s wife, Anna, according to two people familiar with the exchange.",Anonymous Source,null,null,according to two people familiar with the exchange.
"Hours later, he signed a letter with other employees that demanded the independent directors resign.",Named Person,Ilya Sutskever,Board Member,he signed a letter with other employees that demanded the independent directors resign.
The confrontation between Mr. Sutskever and Ms. Brockman was reported earlier by The Wall Street Journal.,Named Organization,The Wall Street Journal,null,The confrontation between Mr. Sutskever and Ms. Brockman was reported earlier by The Wall Street Journal.
"At 5:15 a.m. on Monday, he posted on X, formerly Twitter, that “I deeply regret my participation in the board’s actions.”",Named Person,Ilya Sutskever,Board Member,"he posted on X, formerly Twitter, that “I deeply regret my participation in the board’s actions.”"
