SourcedStatement,SourceType,Name,Title,Justification
"For years, Woods’ relationship with his longtime landlord has been deteriorating. About nine months ago, the two men agreed he could withhold rent until repairs were made, he said.",Named Person,Bryant Woods,,"Bryant Woods is a tenant who experienced housing issues and eviction proceedings, making his perspective relevant to the story."
"To reduce such evictions, one of the court’s judges, Deborah Henderson; Shelby County Commissioner Erika Sugarmon; and Cindy Ettingoff, then-CEO of Memphis Area Legal Services, last summer secured $240,000 in the county budget to pilot a pre-litigation mediation program for landlord-tenant disputes.",Named Person,Deborah Henderson,judge,"Deborah Henderson is a judge involved in securing funding for the pilot mediation program, providing authority and expertise on the issue."
"To reduce such evictions, one of the court’s judges, Deborah Henderson; Shelby County Commissioner Erika Sugarmon; and Cindy Ettingoff, then-CEO of Memphis Area Legal Services, last summer secured $240,000 in the county budget to pilot a pre-litigation mediation program for landlord-tenant disputes.",Named Person,Erika Sugarmon,Shelby County Commissioner,"Erika Sugarmon is a Shelby County Commissioner involved in securing funding for the pilot mediation program, providing authority and expertise on the issue."
"To reduce such evictions, one of the court’s judges, Deborah Henderson; Shelby County Commissioner Erika Sugarmon; and Cindy Ettingoff, then-CEO of Memphis Area Legal Services, last summer secured $240,000 in the county budget to pilot a pre-litigation mediation program for landlord-tenant disputes.",Named Person,Cindy Ettingoff,then-CEO of Memphis Area Legal Services,Cindy Ettingoff was the CEO of Memphis Area Legal Services and involved in securing funding for the pilot mediation program.
"The cash didn’t make it to MALS until February 2024, due to problems with how the County Commission resolution was originally drafted, Henderson said.",Named Person,Deborah Henderson,judge,Deborah Henderson is a judge involved in the mediation program and knowledgeable about the funding delays.
"Recently, MALS worked with a woman who was living in a house that “should not be lived in by anyone” and was starting to fall behind on rent, Henderson said. It seemed like a case headed toward an eviction for the tenant, a code violation for the landlord or both. But with MALS’ help, the landlord is making repairs, and the tenant is using some leftover rental assistance funds to catch up on rent.",Named Person,Deborah Henderson,judge,Deborah Henderson is a judge involved in the mediation program and provides examples of its impact.
Though the program has only helped a couple of tenants so far — not 300 — Henderson believes it’s already proving its value.,Named Person,Deborah Henderson,judge,Deborah Henderson is a judge involved in the mediation program and provides assessment of its progress.
"“There are no income limits or income requirements,” Henderson told a WLOK-AM audience earlier this summer. “If you’re a tenant who is having trouble with your landlord, you need to give us a call. … If you’re a landlord and you have a troublesome tenant … give us a call.”",Named Person,Deborah Henderson,judge,Deborah Henderson is a judge promoting the mediation program to the public.
"Nicole Grida, the new MALS CEO, said her team has started creating marketing materials for the program, building partnerships with local nonprofits and screening folks who call in for other services to see if they will fit the program’s criteria, which has resulted in many promising leads.",Named Person,Nicole Grida,new MALS CEO,Nicole Grida is the new CEO of Memphis Area Legal Services and is leading efforts to promote and implement the mediation program.
"For the program to succeed, Grida said raising greater awareness will be key, as most Memphians it could help don’t yet know it exists.",Named Person,Nicole Grida,new MALS CEO,Nicole Grida is the new CEO of Memphis Area Legal Services and provides insight on challenges facing the program.
"Woods’ case, for instance, sounded like a perfect fit for mediation, Henderson said, if only they’d found him before the eviction was filed.",Named Person,Deborah Henderson,judge,Deborah Henderson is a judge involved in the mediation program and comments on specific cases relevant to the program.
"“We could have drafted a document that ensured the landlord (followed the verbal agreement),” she said.",Named Person,Deborah Henderson,judge,Deborah Henderson is a judge involved in the mediation program and explains potential solutions that could have helped tenants.
"Henderson believes the program will require a much longer pilot period before it’s able to produce the proof necessary to create a housing court. But, despite the rough start, she remains “very hopeful” for its future.",Named Person,Deborah Henderson,judge,Deborah Henderson is a judge involved in the mediation program and provides perspective on its future prospects.
