SourcedStatement,SourceType,Name,Title,Justification
Restoring voting rights really is an issue where we’ve seen bipartisan momentum.,Named Person,Patrick Berry,counsel for the Democracy program at the Brennan Center,counsel for the Democracy program at the Brennan Center
"More than 4.6 million people are disenfranchised in the United States because of felony convictions, according to the Sentencing Project, which studies the issue and advocates for restoration of voting rights for former felons.",Named Organization,The Sentencing Project,null,which studies the issue and advocates for restoration of voting rights for former felons
"In Nebraska, nearly 18,000 people are unable to vote because of felony convictions, said the Sentencing Project’s director of advocacy, Nicole Porter.",Named Person,Nicole Porter,"director of advocacy, the Sentencing Project","director of advocacy, the Sentencing Project"
"That includes 7,072 who fall under the two-year wait requirement and are currently unable to cast a ballot.",Named Person,Nicole Porter,"director of advocacy, the Sentencing Project","director of advocacy, the Sentencing Project"
You’re civically dead and you can’t vote for the people who are levying those taxes.,Named Person,Steve Smith,of Civic Nebraska,of Civic Nebraska; part of a large coalition of groups supporting the measure
"Nebraska is alone in requiring a general waiting period beyond imprisonment and release from parole or probation, said Margaret Love, co-founder and director of the Collateral Consequences Resource Center, which keeps a 50-state database on restoration of rights.",Named Person,Margaret Love,co-founder and director of the Collateral Consequences Resource Center,co-founder and director of the Collateral Consequences Resource Center; which keeps a 50-state database on restoration of rights
"When people get out of our system, they’ve got to feel engaged in their community, and the number one way for a person to feel engaged in their community is to be able to vote for the leadership of that community.",Named Person,Justin Wayne,Democratic state Sen.,author of the bill; represents parts of Omaha with strong minority populations
"I do think that hopefully the waiting period reinforces the fact that voting is something very special, and hopefully that will be part of the things that an individual would consider if they’re tempted to break the law again.",Named Person,Kathy Wilcot,member of the University of Nebraska Board of Regents,member of the University of Nebraska Board of Regents; speaking as an individual and not on behalf of the university
I felt so hopeless and helpless not being able to have my voice heard in this last election.,Named Person,TJ King,null,an outreach specialist with the Nebraska AIDS Project; came off probation in August after serving time for drug and theft convictions
There are a lot of things that were on the ballot here in Nebraska that hit home with a lot of things that I advocate for.,Named Person,TJ King,null,an outreach specialist with the Nebraska AIDS Project; came off probation in August after serving time for drug and theft convictions
"For the people she works with, being able to register to vote provides a sense of acceptance, especially when there are so many barriers on where they can live, jobs they can work and who they can associate with.",Named Person,Demetrius Gatson,executive director of Q.U.E.E.N.S Butterfly House,executive director of Q.U.E.E.N.S Butterfly House; a safe house for women trying to reenter society
I don’t have a say in anything that goes on in my country because I’m a felon.,Named Person,Demetrius Gatson,executive director of Q.U.E.E.N.S Butterfly House,executive director of Q.U.E.E.N.S Butterfly House; a safe house for women trying to reenter society
You can’t harm society by voting.,Named Person,Steven Scott,null,"paroled in 2015 after serving more than four years on assault and other charges; owns his own business, a physical rehabilitation and athletic coaching center"
You can only help it.,Named Person,Steven Scott,null,"paroled in 2015 after serving more than four years on assault and other charges; owns his own business, a physical rehabilitation and athletic coaching center"
"At least 14 states have introduced proposals this year focused on restoration of voting rights, according to the Brennan Center for Justice.",Named Organization,Brennan Center for Justice,null,null
