SourcedStatement,SourceType,Name,Title,Justification
"“It just shortens the whole timeline in which a person can lose their home,” “Things (can now) happen very, very quickly.”",Named Person,Brian Rees,staff attorney at The Works Inc. nonprofit,who has represented hundreds of tenants in eviction proceedings in recent years
"“Landlords have always had a very strong lobbying group,”",Named Person,Judge Deborah Henderson,Judge,who judges thousands of eviction cases per year
“devastating” consequences for renters.,Named Person,Judge Deborah Henderson,Judge,who judges thousands of eviction cases per year
"the bill will help landlords free up apartments more quickly for the thousands of Tennesseeans seeking a home. He also said it would help the apartment industry develop new apartments, but he didn’t make clear how it would.",Named Person,Sen. Art Swann,Senator,who sponsored the legislation in the Senate
"“(TAR) has the connection with a lot of legislators, especially on the commerce committee, where this was going to be,” “(And) they were just ironclad.”",Named Person,Rep. Dwayne Thompson,Representative,who thought he had a shot at amending state law to let Memphis join its peer in Middle Tennessee
"“How are you going to find the (bad actors)? It looks to me like the good people will do it but the bad people aren’t going to change,”",Named Person,Rep. Pat Marsh,Representative,who opposed the bill because he doubted bad landlords would comply with it
"“probably not in the cards, for several years anyway.”",Named Person,Rep. Dwayne Thompson,Representative,who thought he had a shot at amending state law to let Memphis join its peer in Middle Tennessee
he’s heard from tenants who tell him they have no way of contacting their landlord or property manager about maintenance issues.,Named Person,Rep. Dwayne Thompson,Representative,who thought he had a shot at amending state law to let Memphis join its peer in Middle Tennessee
"“I really am happy to see that pass,” “I think it’s important that tenants do have good quality contact information for their property manager or owner.”",Named Person,Brian Rees,staff attorney at The Works Inc. nonprofit,who has represented hundreds of tenants in eviction proceedings in recent years
"“It’s disheartening to see them make a change that will affect families who are struggling,”",Named Person,Brian Rees,staff attorney at The Works Inc. nonprofit,who has represented hundreds of tenants in eviction proceedings in recent years
