SourcedStatement,SourceType,Name,Title,Justification
"About nine months ago, the two men agreed he could withhold rent until repairs were made, he said.",Named Person,Bryant Woods,null,tenant in a deteriorating relationship with his landlord
"It’s a common story. And by the time these disputes make it to General Sessions Civil Court, there is little to be done to keep tenants in Woods’ position housed, given state law, tenants’ lack of lawyers and the court’s norms.",Unnamed Group of People,General Sessions Civil Court judges/staff,null,context for understanding the court's limitations in handling eviction disputes
"To reduce such evictions, one of the court’s judges, Deborah Henderson; Shelby County Commissioner Erika Sugarmon; and Cindy Ettingoff, then-CEO of Memphis Area Legal Services, last summer secured $240,000 in the county budget to pilot a pre-litigation mediation program for landlord-tenant disputes.",Named Person,"Deborah Henderson, Erika Sugarmon, Cindy Ettingoff","Judge, Commissioner, then-CEO of Memphis Area Legal Services",initiators of the pre-litigation mediation program
"The cash didn’t make it to MALS until February 2024, due to problems with how the County Commission resolution was originally drafted, Henderson said.",Named Person,Deborah Henderson,Judge,explaining the delay in receiving funds for the mediation program
"Recently, MALS worked with a woman who was living in a house that “should not be lived in by anyone” and was starting to fall behind on rent, Henderson said.",Named Person,Deborah Henderson,Judge,providing an example of the mediation program's success
"“There are no income limits or income requirements,” Henderson told a WLOK-AM audience earlier this summer. “If you’re a tenant who is having trouble with your landlord, you need to give us a call. … If you’re a landlord and you have a troublesome tenant … give us a call.”",Named Person,Deborah Henderson,Judge,promoting the mediation program's eligibility and encouraging participation
"Nicole Grida, the new MALS CEO, said her team has started creating marketing materials for the program, building partnerships with local nonprofits and screening folks who call in for other services to see if they will fit the program’s criteria, which has resulted in many promising leads.",Named Person,Nicole Grida,CEO of Memphis Area Legal Services,updating on the program's development and outreach efforts
"For the program to succeed, Grida said raising greater awareness will be key, as most Memphians it could help don’t yet know it exists.",Named Person,Nicole Grida,CEO of Memphis Area Legal Services,emphasizing the importance of awareness for the program's success
"“We could have drafted a document that ensured the landlord (followed the verbal agreement),” she said.",Named Person,Deborah Henderson,Judge,reflecting on a missed opportunity for mediation in Woods' case
"Henderson believes the program will require a much longer pilot period before it’s able to produce the proof necessary to create a housing court. But, despite the rough start, she remains “very hopeful” for its future.",Named Person,Deborah Henderson,Judge,expressing optimism about the program's potential and future
