SourcedStatement,SourceType,Name,Title,Justification
They’re saying that they’re not voting because people are not speaking to their issues and that they’re just not interested in those candidates.,Named Person,Robert Paul Hartley,Columbia University researcher,Conducted a study of the 2016 electorate with the support of the Poor People’s Campaign
"In 2024, the election is going to be about mobilization. There is no question that the biggest contest between the two parties is going to be who can get their voters out to vote. Democrats have an enthusiasm gap today, and the progressive alliance and Democrats have fissures within their constituency that makes getting out the vote even more important. The biggest bloc of potential voters by far is low-income, low-wage voters. Increased participation even by miniscule percentages could be game changers. It is a massive voter engagement that is being started here today.",Named Person,Celinda Lake,President of Lake Research Partners,"Respected pollster, commenting on the 2024 election"
"For far too long extremists have blamed poor people and low wage people for their plight while moderates too often have ignored poor people, appealing instead to the so-called middle class while the poor and low wage people have become nearly half of this country.",Named Person,Rev. Dr. William Barber,Leader of the Poor People’s Campaign,Commenting on the treatment of poor and low-wage people by extremists and moderates
"Poverty is now the fourth leading crisis of death in America, a moral crisis in America taking the lives of 800 people a day and this is before and after COVID…These are the issues that must be at the center of the narrative of a democracy in our country. If we are serious about saving the democracy it can’t be some philosophical term. Saving the democracy must be a Third Reconstruction where people are paid a living wage—where people have health care—where public education is fully funded and where voting rights are protected and expanded.",Named Person,Rev. Dr. William Barber,Leader of the Poor People’s Campaign,Highlighting the urgency of addressing poverty in America
"We are mobilizing, organizing, registering and educating people for a movement that votes, votes for healthcare and debt cancellation, votes for living wages and string anti-poverty programs and votes for fair taxes and the demilitarizing of our communities and world.",Named Person,Rev. Dr. Liz Theoharis,Leader of the Poor People’s Campaign,Outlining the goals of the Poor People’s Campaign
"I work for MassHealth as a Personal Care Attendant, helping to take care of people with disabilities and who are sick and need help with their daily activities. But I do not have health insurance myself. I am an essential worker living paycheck-to-paycheck and I have to make decisions every day. Do I put gas in my car or do I pay my bills? Or do I put food on my table?",Named Person,Janice Guzman,Organizer with the Massachusetts Poor People's Campaign and SEIU 1199,Sharing personal experience as an essential worker without health insurance
"This is why I am organizing with the Massachusetts Poor People's Campaign. We have got to get our power as people, get back the mic, raise our voices and register voters. Forward together!",Named Person,Janice Guzman,Organizer with the Massachusetts Poor People's Campaign and SEIU 1199,Explaining motivation for organizing with the Poor People’s Campaign
"Only 46 percent of voters with household income less than twice the federal poverty rate cast a ballot in 2016, as compared to a 68 percent turnout rate for voters who had a household income more than twice the poverty line.",Named Person,Robert Paul Hartley,Columbia University researcher,Presenting findings from a study of the 2016 electorate
"In 2016, in key rust belt states where unions were part of the historic Democratic base like Michigan, Trump won thanks to depressed African American voter turnout and the lack of engagement of the multi-racial cohort of economically struggling voters that polls show overwhelming support for reproductive rights, a living wage and universal healthcare.",Named Organization,Salon,null,null
"In 2016, Trump carried Michigan by just 10,000 votes. 980,000 low-wage voters did not turn out. If. 1.1 percent of those voters had bothered the results would have been different.",Named Organization,Salon,null,null
"In the House of Representatives in 2022, now held by Speaker Mike Johnson, R-LA., an unapologetic insurrectionist, the GOP won control by just 3,500 votes in five tight House races.",Named Organization,Salon,null,null
"In 2020, in Arizona, Georgia, Florida, Michigan, North Carolina, Nevada, Pennsylvania, and Wisconsin the Biden-Trump faceoff was really tight, close to just 3 percent. In Texas, a Republican bastion for decades, the margin was just over 5 percent.",Named Organization,Salon,null,null
