SourcedStatement,SourceType,Name,Title,Justification
Sam Altman called an OpenAI board member’s research paper a danger to the company weeks before he was ousted as its chief executive.,Named Person,Sam Altman,"Chief Executive, OpenAI",Context of conflict with board member over research paper
"Another member, Ilya Sutskever, thought Mr. Altman was not always being honest when talking with the board.",Named Person,Ilya Sutskever,null,Context of tension within OpenAI's board
Some board members worried that Mr. Altman was too focused on expansion while they wanted to balance that growth with A.I. safety.,Unnamed Group of People,OpenAI Board Members,null,Context of tension within OpenAI's board regarding growth and safety
The decision stunned OpenAI’s employees and exposed board members to tough questions about their qualifications to manage such a high-profile company.,Unnamed Group of People,OpenAI Employees,null,Reaction to Sam Altman's ousting
The OpenAI debacle has illustrated how building A.I. systems is testing whether businesspeople who want to make money from artificial intelligence can work in sync with researchers who worry that what they are building could eventually eliminate jobs or become a threat if technologies like autonomous weapons grow out of control.,Unnamed Group of People,Researchers,null,Context of challenges in building A.I. systems
"Helen Toner, an OpenAI board member, defended the research paper she co-wrote.",Named Person,Helen Toner,"Director of Strategy, Georgetown University’s Center for Security and Emerging Technology; OpenAI Board Member",Context of conflict with Sam Altman over research paper
"Mr. Altman complained that the research paper seemed to criticize OpenAI’s efforts to keep its A.I. technologies safe while praising the approach taken by Anthropic, a company that has become OpenAI’s biggest rival...",Named Person,Sam Altman,"Chief Executive, OpenAI",Email to colleagues regarding research paper
"“I did not feel we’re on the same page on the damage of all this,” he wrote in the email. “Any amount of criticism from a board member carries a lot of weight.”",Named Person,Sam Altman,"Chief Executive, OpenAI",Email to colleagues regarding research paper
"Senior OpenAI leaders, including Mr. Sutskever, who is deeply concerned that A.I. could one day destroy humanity, later discussed whether Ms. Toner should be removed...",Named Person,Ilya Sutskever,null,Context of concerns about A.I. and discussion about removing Helen Toner
"“After a series of reasonably amicable negotiations, the co-founders of Anthropic were able to negotiate their exit on mutually agreeable terms,”",Named Organization,Anthropic,null,Statement regarding co-founders' exit from OpenAI
“no attempt to ‘oust’ Sam Altman at the time the founders of Anthropic left OpenAI.”,Named Organization,Anthropic,null,Statement regarding co-founders' exit from OpenAI
"Jason Kwon, OpenAI’s chief strategy officer, said the board was endangering the future of the company by pushing out Mr. Altman.",Named Person,Jason Kwon,"Chief Strategy Officer, OpenAI",Video call with board members after Sam Altman's ousting
"Ms. Toner disagreed. The board’s mission was to ensure that the company creates artificial intelligence that “benefits all of humanity,” and if the company was destroyed, she said, that could be consistent with its mission.",Named Person,Helen Toner,"Director of Strategy, Georgetown University’s Center for Security and Emerging Technology; OpenAI Board Member",Video call with board members after Sam Altman's ousting
“I deeply regret my participation in the board’s actions.”,Named Person,Ilya Sutskever,null,Post on X (formerly Twitter) regarding Sam Altman's ousting
