SourcedStatement,SourceType,Name,Title,Justification
"“It just shortens the whole timeline in which a person can lose their home,”",Named Person,Brian Rees,staff attorney at The Works Inc. nonprofit,who has represented hundreds of tenants in eviction proceedings in recent years
"“Things (can now) happen very, very quickly.”",Named Person,Brian Rees,staff attorney at The Works Inc. nonprofit,who has represented hundreds of tenants in eviction proceedings in recent years
"“Landlords have always had a very strong lobbying group,”",Named Person,Deborah Henderson,Judge,who judges thousands of eviction cases per year
"In the statement, Swann said the bill will help landlords free up apartments more quickly for the thousands of Tennesseeans seeking a home.",Named Person,Art Swann,Senator (R-Maryville),who sponsored the legislation in the Senate
"He also said it would help the apartment industry develop new apartments, but he didn’t make clear how it would.",Named Person,Art Swann,Senator (R-Maryville),who sponsored the legislation in the Senate
"“(TAR) has the connection with a lot of legislators, especially on the commerce committee, where this was going to be,”",Named Person,Dwayne Thompson,Representative (D-Cordova),who proposed the rental registry bill
“(And) they were just ironclad.”,Named Person,Dwayne Thompson,Representative (D-Cordova),who proposed the rental registry bill
"“How are you going to find the (bad actors)? It looks to me like the good people will do it but the bad people aren’t going to change,”",Named Person,Pat Marsh,Representative (R-Shelbyville),who opposed the bill during the subcommittee hearing
Thompson told the subcommittee that registration had worked well for Nashville but failed to convince them.,Named Person,Dwayne Thompson,Representative (D-Cordova),who proposed the rental registry bill
"“I really am happy to see that pass,” Rees said.",Named Person,Brian Rees,staff attorney at The Works Inc. nonprofit,who has represented hundreds of tenants in eviction proceedings in recent years
“I think it’s important that tenants do have good quality contact information for their property manager or owner.”,Named Person,Brian Rees,staff attorney at The Works Inc. nonprofit,who has represented hundreds of tenants in eviction proceedings in recent years
"The Tennessee Association of Realtors is the sixth largest spender on Tennessee politics, according to the Tennessee Lookout’s database, having spent $6.5 million on lobbying, campaign donations and other political expenditures since 2009.",Document,Tennessee Lookout’s database,null,null
"The Tennessee Association of Realtors has been Swann’s top funder since the start of 2009, according to the Tennessee Lookout, giving him $18,750.",Document,Tennessee Lookout,null,null
"It has also given Boyd $11,500 since 2009, making it his No. 6 funder.",Document,Tennessee Lookout,null,null
"During the subcommittee hearing, Shelby County Commissioner Erika Sugarmon and City of Memphis Division of Public Works director Robert Knecht endorsed it and two landlord representatives spoke against it.",Unnamed Group of People,landlord representatives,null,who spoke against the bill during the subcommittee hearing
