SourcedStatement,SourceType,Name,Title,Justification
A spokesperson for Southern California Edison on Monday said the power outages will impact some homes longer than others: They say 20 will be without power indefinitely and 38 will be without power for one to three weeks.,Named Organization Sources,Southern California Edison,,A spokesperson for Southern California Edison on Monday said the power outages will impact some homes longer than others.
"On Thursday, SoCalGas announced that it was shutting off gas service to additional 29 homes in the western Seaview area and another 25 homes in the Portuguese Bend Beach Club starting at 3 p.m. Friday.",Named Organization Sources,SoCalGas,,"On Thursday, SoCalGas announced that it was shutting off gas service to additional 29 homes."
"“The land movement has created a dangerous situation, and Edison is deciding to disconnect to keep that community safe,” said Jim Hanggi, a spokesperson for the utility.",Named Organization Sources,Southern California Edison,,"Jim Hanggi, a spokesperson for the utility."
“It is a fluid situation and we’re working on solutions to keep the power flowing but as conditions change we’ll need to adjust to keep the community safe.”,Named Organization Sources,Southern California Edison,,"Jim Hanggi, a spokesperson for the utility."
"In February, Rancho Palos Verdes Mayor John Cruikshank said a state of emergency declaration from the governor would allow them to bypass state permit requirements for repair efforts.",Named Person Sources,John Cruikshank,Mayor,Rancho Palos Verdes Mayor John Cruikshank.
"Leon said he and his neighbors are just trying to ""figure out how to survive.”",Named Person Sources,Gordon Leon,,"Leon doesn't want to leave his neighborhood because he loves its beauty and that he gets to look at the ocean every day, he said."
"Leon doesn't want to leave his neighborhood because he loves its beauty and that he gets to look at the ocean every day, he said.",Named Person Sources,Gordon Leon,,"Leon doesn't want to leave his neighborhood because he loves its beauty and that he gets to look at the ocean every day, he said."
Cruikshank said he’s working with private energy companies — and that he has even reached out to Elon Musk — to figure out how to shift those residents off the grid longer-term.,Named Person Sources,John Cruikshank,Mayor,Rancho Palos Verdes Mayor John Cruikshank.
"“We’re hearing that our residents want to stay in their homes, and we're doing everything we can to keep them in their homes,” Cruikshank said.",Named Person Sources,John Cruikshank,Mayor,Rancho Palos Verdes Mayor John Cruikshank.
“We're going to do everything we can to push the governor and the federal government to provide them funds.”,Named Person Sources,John Cruikshank,Mayor,Rancho Palos Verdes Mayor John Cruikshank.
"Impacted residents, many of whom are older, have disabilities and bought their homes decades ago, have experienced a range of difficult emotions as they’ve been displaced in recent months and watched their community dramatically change due to the land movement.",Unnamed Group of People,Impacted residents,,"Impacted residents, many of whom are older, have disabilities and bought their homes decades ago."
Some say they weren’t given sufficient warning about the power shutoffs and aren’t sure where to go.,Unnamed Group of People,Impacted residents,,"Impacted residents, many of whom are older, have disabilities and bought their homes decades ago."
"Some, he said, are getting ready to leave permanently.",Unnamed Group of People,Impacted residents,,"Impacted residents, many of whom are older, have disabilities and bought their homes decades ago."
