SourcedStatement,SourceType,Name,Title,Justification
The Poor People’s Campaign is planning simultaneous actions on March 2 at over 30 state capitols.,Named Organization Sources,Poor People’s Campaign,,The Poor People’s Campaign is planning simultaneous actions on March 2 at over 30 state capitols.
"This week in Washington at the National Press Club the Poor People’s Campaign, under the leadership of Barber and Rev. Dr. Liz Theoharis, announced their plans for a mass mobilization of 15 million poor and low-wealth voters nationwide ahead of November’s election.",Named Organization Sources,Poor People’s Campaign,,"The Poor People’s Campaign, under the leadership of Barber and Rev. Dr. Liz Theoharis, announced their plans for a mass mobilization of 15 million poor and low-wealth voters nationwide ahead of November’s election."
"Columbia University researcher Robert Paul Hartley found that only 46 percent of voters with household income less than twice the federal poverty rate cast a ballot in 2016, as compared to a 68 percent turnout rate for voters who had a household income more than twice the poverty line.",Named Person Sources,Robert Paul Hartley,Columbia University researcher,Columbia University researcher Robert Paul Hartley found that only 46 percent of voters with household income less than twice the federal poverty rate cast a ballot in 2016.
"“They’re saying that they’re not voting because people are not speaking to their issues and that they’re just not interested in those candidates,” Hartley, told the New York Times “But it’s not that they couldn’t be.”",Named Person Sources,Robert Paul Hartley,Columbia University researcher,Columbia University researcher Robert Paul Hartley found that only 46 percent of voters with household income less than twice the federal poverty rate cast a ballot in 2016.
"“In 2024, the election is going to be about mobilization,” Lake told reporters. “There is no question that the biggest contest between the two parties is going to be who can get their voters out to vote.",Named Person Sources,Celinda Lake,President of Lake Research Partners,"They were joined by respected pollster Celinda Lake, President of Lake Research Partners."
“Poor and low wage people have the power to determine and decide the 2024 elections and elections beyond. In the 2016 election there were 34 million poor and low wealth people eligible to vote but didn’t. These voters made up more than a quarter of the electorate.”,Named Person Sources,Rev. Dr. William Barber,Leader of the Poor People’s Campaign,Barber called out by name eight moderate U.S. Senate Democrats that in 2021 joined with the Republicans to defeat raising the minimum wage.
"“We are mobilizing, organizing, registering and educating people for a movement that votes, votes for healthcare and debt cancellation, votes for living wages and string anti-poverty programs and votes for fair taxes and the demilitarizing of our communities and world,” said Rev. Dr. Liz Theoharis.",Named Person Sources,Rev. Dr. Liz Theoharis,Leader of the Poor People’s Campaign,"The Poor People’s Campaign, under the leadership of Barber and Rev. Dr. Liz Theoharis, announced their plans for a mass mobilization of 15 million poor and low-wealth voters nationwide ahead of November’s election."
"“I work for MassHealth as a Personal Care Attendant, helping to take care of people with disabilities and who are sick and need help with their daily activities. But I do not have health insurance myself,” Guzman told reporters.",Named Person Sources,Janice Guzman,Organizer with the Massachusetts Poor People's Campaign and SEIU 1199,"Dozens of local leaders from the state chapters of the Poor People’s Campaign were on hand in person and virtually for the high spirited kick off including Janice Guzman, an organizer with the Massachusetts Poor People's Campaign and SEIU 1199."
"It’s the product of a perverse feedback loop that was flagged by a Columbia University study undertaken of the 2106 electorate with the support of the Poor People’s Campaign, which studied the low-wage voter cohort and found a majority of them did not vote and when they were surveyed they explained they didn’t turn out because they didn’t hear candidates discuss issues that had any relevancy to their lives.",Document Sources,Columbia University,,a Columbia University study undertaken of the 2106 electorate with the support of the Poor People’s Campaign.
"Dozens of local leaders from the state chapters of the Poor People’s Campaign were on hand in person and virtually for the high spirited kick off including Janice Guzman, an organizer with the Massachusetts Poor People's Campaign and SEIU 1199.",Unnamed Group of People,local leaders,,Dozens of local leaders from the state chapters of the Poor People’s Campaign were on hand in person and virtually for the high spirited kick off.
