SourcedStatement,SourceType,Name,Title,Justification
"Party-switching had “undermined the sanctity of Wyoming’s primary process,” Wyoming’s Republican secretary of state, Chuck Gray, said in a statement of approval.",Named Organization Sources,Wyoming Republican Secretary of State,,"The Wyoming Legislature, where the GOP controls over 90% of the seats, passed legislation last year banning voters from changing their party registration in the three months before the August primary."
"“Normally I just roll my eyes and walk away because I’m fighting a losing battle and I’m fully aware of that,” she said.",Named Person Sources,Becky Blackburn,null,"A paralegal for the Republican county attorney, Blackburn hears a lot of right-wing views around town."
"“Maybe that is why I’m well-liked, because I keep my mouth shut 10 times more than I want to.”",Named Person Sources,Becky Blackburn,null,"A paralegal for the Republican county attorney, Blackburn hears a lot of right-wing views around town."
"“I won two elections here. Even though that’s nonpartisan, people still knew I had left-leaning values,” she said.",Named Person Sources,Becky Blackburn,null,"A paralegal for the Republican county attorney, Blackburn hears a lot of right-wing views around town."
"“You feel skeevy and dirty when you do it. But you do it anyway and you change it back as soon as you can, because you don’t want to start getting the Republican mailings,” Blackburn said.",Named Person Sources,Becky Blackburn,null,"A paralegal for the Republican county attorney, Blackburn hears a lot of right-wing views around town."
"“How far are they going to go to limit one’s ability to vote? If it really comes down to purifying the party, on a voting level all the way up to the elected officials, pretty soon there isn’t going to be anyone left who’s pure enough to be in the party,” Diercks said.",Named Person Sources,Ross Diercks,null,"A former middle school English teacher, Diercks was a Republican before deciding the GOP didn’t do enough to support public education."
"“The best way to participate in meaningful change is to try to sway the dominant party,” said Jordan, who lives in Niobrara County.",Named Person Sources,Pat Jordan,null,"Truck driver Pat Jordan supports many left-leaning goals, including universal healthcare, but said he only registers as a Republican."
"“You know, we need to have a government that serves the people, all of them, not just Republicans and not just rural and not just urban and not just Democrats — and definitely not just the rich and the wealthy.”",Named Person Sources,Pat Jordan,null,"Truck driver Pat Jordan supports many left-leaning goals, including universal healthcare, but said he only registers as a Republican."
"“Most people don’t want to dive into those type of discussions,” he said. “They respect you for what you do, how you work.”",Named Person Sources,Ed Fullmer,null,"Fullmer coached the Tigers to their best record in a decade, 20-8."
"“I am who I am, and I have the views that I have,” she said. “And I don’t care if it bothers people or not.”",Named Person Sources,Becky Blackburn,null,"A paralegal for the Republican county attorney, Blackburn hears a lot of right-wing views around town."
