SourcedStatement,SourceType,Name,Title,Justification
"In Kansas, lawyers for the American Civil Liberties Union have drafted a letter reminding election workers that a gender marker on a person’s identification does not need to match or correspond to a voter’s gender expression.",Named Organization Sources,American Civil Liberties Union,,lawyers for the American Civil Liberties Union have drafted a letter reminding election workers
"In eight battleground states, the nonprofit VoteRiders is on the ground helping voters get the identification they need to cast ballots in the November election — and one that reflects who they are.",Named Organization Sources,VoteRiders,,helping voters get the identification they need to cast ballots in the November election
"Equality Florida, the state’s leading LGBTQ+ advocacy group, is holding “know your rights” trainings in the wake of new regulations barring many transgender voters from obtaining photo identification that reflects their gender.",Named Organization Sources,Equality Florida,,the state’s leading LGBTQ+ advocacy group
"At least nine states in the past two years have explicitly regulated gender in this way, according to a tally by the Movement Advancement Project (MAP), which tracks LGBTQ+ policy.",Named Organization Sources,Movement Advancement Project (MAP),,which tracks LGBTQ+ policy
"Nearly 21 million voting-eligible U.S. citizens do not have a current driver’s license, according to the Center for Democracy and Civic Engagement at the University of Maryland, whose research was partially supported by VoteRiders.",Named Organization Sources,Center for Democracy and Civic Engagement at the University of Maryland,,whose research was partially supported by VoteRiders
"“There is a chilling effect,” said Lauren Kunis, CEO and executive director of VoteRiders, which helps voters obtain identification.",Named Person Sources,Lauren Kunis,CEO and executive director of VoteRiders,which helps voters obtain identification
"“Trans votes count,” said Ankit Rastogi, director of research for the National Center for Transgender Equality, which conducted the survey and will soon be known as Advocates for Trans Equality Education Fund.",Named Person Sources,Ankit Rastogi,director of research for the National Center for Transgender Equality,which conducted the survey and will soon be known as Advocates for Trans Equality Education Fund
"“It’s a tactic that’s designed to splinter support for trans rights and suggest sort of who is harmed by protecting trans people — to frame that as cisgender women being the people harmed by protections for trans people,” said Rose Saxe, who is deputy project director for the ACLU’s LGBT & HIV Project.",Named Person Sources,Rose Saxe,deputy project director for the ACLU’s LGBT & HIV Project,null
"“Trans people, just like everyone else, want to be able to travel, start new jobs, open bank accounts, enroll in school, vote — all of those things require some form of ID. And so when a state goes out of its way to enforce its message about its belief about sex and gender on a license, and transgender people then have to publicize that when they show other people, it creates a dangerous environment,” he said.",Named Person Sources,Lucas Cameron-Vaughn,attorney for the ACLU of Tennessee,null
"“We saw it as a move to inflict maximum chaos and misunderstanding,” Diaz said. “And really to scare trans folks from even participating and getting the license if they needed to update it.”",Named Person Sources,Quinn Diaz,public policy associate at advocacy group Equality Florida,null
"“It really shows the resiliency of the trans community to ensure that our voices are heard and we have visibility at the ballot box,” she said.",Named Person Sources,Josie Caballero,director of voting and elections for the group that conducted the 2022 U.S. Transgender Survey,null
"“There’s nothing these laws will do to stop me from living my best life,” she said. “It just puts my energy and passion towards making this place better for me and other trans people.”",Named Person Sources,Hazel Krebs,null,"a 42-year-old transgender woman living in Kansas, one of the states with a new anti-trans law"
"An analysis released in August of respondents to the 2022 U.S. Transgender Survey, widely seen as the most comprehensive study of binary and nonbinary transgender Americans, found that voting-eligible trans people had cast ballots in the last presidential election at a higher rate than the U.S. population.",Document Sources,National Center for Transgender Equality,,widely seen as the most comprehensive study of binary and nonbinary transgender Americans
"The Williams Institute at the University of California, Los Angeles School of Law, estimated ahead of the 2022 midterm election that more than 200,000 voting-eligible transgender Americans may find it difficult to vote at the time because of voter ID laws.",Document Sources,"The Williams Institute at the University of California, Los Angeles School of Law",,estimated ahead of the 2022 midterm election
Some trans voters have expressed confusion and fear of discrimination at the ballot box that could discourage them from participating in public life.,Unnamed Group of People,trans voters,,trans voters have expressed confusion and fear of discrimination at the ballot box
Gender nonconforming people are already under such public scrutiny nationwide.,Unnamed Group of People,Gender nonconforming people,,Gender nonconforming people are already under such public scrutiny nationwide
"The full impact of these laws amid new and evolving voter identification laws is not yet clear, in part because of how recent they are — and that, experts say, could mask their harm.",Anonymous Sources,null,null,experts say
Such rhetoric could also be most dangerous in states where far-right groups are trying to recruit poll watchers.,Anonymous Sources,null,null,null
