SourcedStatement,SourceType,Name,Title,Justification
The Tennessee General Assembly just cut this buffer down to seven days.,Named Organization Sources,Tennessee General Assembly,,passed legislation reducing the continuance period for tenants.
"The Tennessee Association of Realtors is the sixth largest spender on Tennessee politics, according to the Tennessee Lookout’s database, having spent $6.5 million on lobbying, campaign donations and other political expenditures since 2009.",Named Organization Sources,Tennessee Association of Realtors,,is a major lobbying group influencing housing legislation.
"The Tennessee Association of Realtors has been Swann’s top funder since the start of 2009, according to the Tennessee Lookout, giving him $18,750.",Named Organization Sources,Tennessee Association of Realtors,,is a major lobbying group influencing housing legislation.
"“It just shortens the whole timeline in which a person can lose their home,” said Brian Rees, a staff attorney at The Works Inc. nonprofit who has represented hundreds of tenants in eviction proceedings in recent years.",Named Person Sources,Brian Rees,staff attorney at The Works Inc.,who has represented hundreds of tenants in eviction proceedings in recent years.
"“It’s disheartening to see them make a change that will affect families who are struggling,” Rees said.",Named Person Sources,Brian Rees,staff attorney at The Works Inc.,who has represented hundreds of tenants in eviction proceedings in recent years.
"“I really am happy to see that pass,” Rees said. “I think it’s important that tenants do have good quality contact information for their property manager or owner.”",Named Person Sources,Brian Rees,staff attorney at The Works Inc.,who has represented hundreds of tenants in eviction proceedings in recent years.
"“(TAR) has the connection with a lot of legislators, especially on the commerce committee, where this was going to be,” Thompson said. “(And) they were just ironclad.”",Named Person Sources,Dwayne Thompson,Representative (D-Cordova),who sponsored a bill to create a registry of all the city’s rental housing.
Thompson told the subcommittee that registration had worked well for Nashville but failed to convince them.,Named Person Sources,Dwayne Thompson,Representative (D-Cordova),who sponsored a bill to create a registry of all the city’s rental housing.
"The Tennessee Association of Realtors is the sixth largest spender on Tennessee politics, according to the Tennessee Lookout’s database, having spent $6.5 million on lobbying, campaign donations and other political expenditures since 2009.",Document Sources,Tennessee Lookout,,according to the Tennessee Lookout’s database.
"The Tennessee Association of Realtors has been Swann’s top funder since the start of 2009, according to the Tennessee Lookout, giving him $18,750.",Document Sources,Tennessee Lookout,,according to the Tennessee Lookout.
"In a sparsely populated room at the Hickory Hill Community Center in mid-April, Judge Deborah Henderson was quite candid with the renters gathered to learn about the eviction process.",Unnamed Group of People,renters,,gathered to learn about the eviction process.
"During the subcommittee hearing, Shelby County Commissioner Erika Sugarmon and City of Memphis Division of Public Works director Robert Knecht endorsed it and two landlord representatives spoke against it.",Unnamed Group of People,landlord representatives,,spoke against it during the subcommittee hearing.
"To Henderson, who judges thousands of eviction cases per year, the only explanation for such action was landlord lobbying.",Anonymous Sources,,,"Henderson said, it would have 'devastating' consequences for renters; House Bill 2267, which cut tenants’ right to a continuance in half, hadn’t yet been signed by Gov. Bill Lee."
"Often, landlords will either stop pursuing an eviction judgment or not enforce one they’ve received if the tenant catches up on rent.",Anonymous Sources,,,Rees said it can really matter for these renters since the pathways to avoiding eviction can take time to figure out.
