SourcedStatement,SourceType,Name,Title,Justification
"According to Mayor London Breed, the intention is to clean up sidewalks and force unhoused people into the city’s labyrinthine network of shelter and supportive housing programs.",Named Organization Sources,Mayor London Breed,,Mayor London Breed stated the intention to clean up sidewalks and force unhoused people into the city’s labyrinthine network of shelter and supportive housing programs.
"In a response to Gazetteer's questions about potential breaches in protocol, Public Works spokesperson Rachel Gordon only noted that ""the policy clearly spells out how soiled items can be handled and our crews follow the policy and consistently apply its terms.""",Named Organization Sources,Public Works,,Public Works spokesperson Rachel Gordon responded to Gazetteer's questions about potential breaches in protocol.
"Robinson’s last encampment was swept about a month ago, and “nearly everything” was taken, including his state ID card, he said.",Named Person Sources,Antonio Robinson,null,"The 38-year-old had chosen to set up camp near Palou Ave. and Griffith St. in Hunters Point, on a dead-end road surrounded by industrial buildings."
"“All they do is tell me to go back to the Hunters Point Navigation Center. And I don’t want to do that. I had bad experiences,” he said.",Named Person Sources,Antonio Robinson,null,"The 38-year-old had chosen to set up camp near Palou Ave. and Griffith St. in Hunters Point, on a dead-end road surrounded by industrial buildings."
"“I don’t understand,” O’Brien kept repeating.",Named Person Sources,Joey O’Brien,null,"Joey O’Brien, 46, tried to explain to police officers that he was camping on the sidewalk in Hunters Point while investigating a homicide that occurred while he was in jail."
"More than anything, however, he begged for officers to bring over his two neat backpacks, which had his best clothes, documents, and “bits of silver.”",Named Person Sources,Joey O’Brien,null,"Joey O’Brien, 46, tried to explain to police officers that he was camping on the sidewalk in Hunters Point while investigating a homicide that occurred while he was in jail."
"Between December 2022 and June of this year, a federal injunction prevented the city from penalizing people for sleeping on public property without an alternative offer for shelter.",Document Sources,null,,a federal injunction prevented the city from penalizing people for sleeping on public property without an alternative offer for shelter
"A federal survey released in May counted more than 8,000 unhoused people in the city, which has fewer than 4,000 shelter beds to offer.",Document Sources,null,,A federal survey released in May
"Dozens of people lined the sidewalks that had been swept just hours prior, fussing with their belongings, setting up new tents, and discreetly selling wares to one another.",Unnamed Group of People,Dozens of people,,"lined the sidewalks that had been swept just hours prior, fussing with their belongings, setting up new tents, and discreetly selling wares to one another"
"Despite promises from law enforcement and city officials that this property will be preserved, there is plenty of evidence that the city’s hasty process of clearing encampments has left people without immediate access to essential supplies and equipment; as a recent batch of public records secured by City Hall watchdog Hazel Williams shows, Public Works has bagged medications, wheelchairs, and even a mobility walker from unhoused people, taking them to the city’s storage facility on Cesar Chavez St.",Anonymous Sources,null,null,a recent batch of public records secured by City Hall watchdog Hazel Williams
"Instead, the city swooped down on the encampments at Sixth and Jessie streets earlier than scheduled, said Julian Highsmith, communications and policy director for the Coalition on Homelessness.",Anonymous Sources,null,null,"Julian Highsmith, communications and policy director for the Coalition on Homelessness, said the city swooped down on the encampments earlier than scheduled"
