SourcedStatement,SourceType,Name,Title,Justification
the power outages will impact some homes longer than others: They say 20 will be without power indefinitely and 38 will be without power for one to three weeks. The rest were slated to be without power for 24 hours.,Named Organization Sources,Southern California Edison,,utility
"it was shutting off gas service to additional 29 homes in the western Seaview area and another 25 homes in the Portuguese Bend Beach Club starting at 3 p.m. Friday. The shut-offs are expected to last indefinitely, the utility added.",Named Organization Sources,SoCalGas,,utility
"""The land movement has created a dangerous situation, and Edison is deciding to disconnect to keep that community safe,"" said Jim Hanggi, a spokesperson for the utility. ""It is a fluid situation and we're working on solutions to keep the power flowing but as conditions change we'll need to adjust to keep the community safe.""",Named Organization Sources,Southern California Edison,,utility
the utility is not providing generators because they feel the ground is too unstable for that to be a long-term solution.,Named Organization Sources,Southern California Edison,,utility
a state of emergency declaration from the governor would allow them to bypass state permit requirements for repair efforts.,Named Person Sources,John Cruikshank,Mayor,Rancho Palos Verdes Mayor
Southern California Edison should have done more earlier to transition residents off grid and prevent additional outages. Cruikshank said he's working with private energy companies — and that he has even reached out to Elon Musk — to figure out how to shift those residents off the grid longer-term.,Named Person Sources,John Cruikshank,Mayor,city's mayor
"""We're hearing that our residents want to stay in their homes, and we're doing everything we can to keep them in their homes,"" Cruikshank said. ""We're going to do everything we can to push the governor and the federal government to provide them funds.""",Named Person Sources,John Cruikshank,Mayor,city's mayor
"he plans to move into a tiny home on his property and bought four generators to power it. He said he's had no gas for weeks now, but water is still running. The power in his house has been shut off indefinitely, so his plan is to move off the grid.",Named Person Sources,Gordon Leon,,Impacted resident
"he and his neighbors are just trying to ""figure out how to survive."" Some, he said, are getting ready to leave permanently.",Named Person Sources,Gordon Leon,,Impacted resident
"Impacted residents, many of whom are older, have disabilities and bought their homes decades ago, have experienced a range of difficult emotions as they've been displaced in recent months and watched their community dramatically change due to the land movement. Some say they weren't given sufficient warning about the power shutoffs and aren't sure where to go.",Unnamed Group of People,residents,,"many of whom are older, have disabilities and bought their homes decades ago"
