SourcedStatement,SourceType,Name,Title,Justification
The proposed condemnation … serves a legitimate public purpose and is necessary for the proper accommodation of the business,Named Organization Sources,Georgia Public Service Commission,,a state regulatory authority
"I would like to say this has been a long, difficult case, and I want to thank all the parties, and especially thank our staff for the diligence, hard work, and all the parties for just the professionalism and decorum shown on this case.",Named Person Sources,Jason Shaw,chairman of the board,
We're determined to keep fighting against this attempt to take our ancestral land from us.,Named Person Sources,Blaine Smith,,a Black man who is one of the heirs of 600 acres that came into their family in the 1920s
"We want to keep our property whole, so we can pass it down to our children and they can continue to build generational wealth",Named Person Sources,Blaine Smith,,a Black man who is one of the heirs of 600 acres that came into their family in the 1920s
"As Black people, ownership of land and property is more valuable than a dollar amount because it allows a certain type of economic freedom that we are often deprived of. I don't know what is 'just' about replacing that economic liberty with a dollar amount that will not increase in value.",Named Person Sources,Sharika Robinson,attorney,
"Georgia law does not permit a private company to take land through eminent domain unless the land will be put to a public use. Building a rail spur that will only be used by a few private companies, and not the public at large, is not a public use. We look forward to making it clear to the court that the [Public Service Commission] made an error in considering Sandersville's land grab as a public use.",Named Person Sources,Bill Maurer,senior attorney for Institute for Justice,who represents the landowners
"The reality is if you've ever lived near a train, or you've ever ridden on a train or been near a train, it's not the same as trucks driving by. Even if the train is not going through your property, the fact that a train is near your property — all of the noise pollution, the vibrations of a train … all of that affects your property value, your peace of mind and your home.",Named Person Sources,Jamie Rush,senior staff attorney with the Southern Poverty Law Center's Economic Justice Project,"who represents the No Railroad In Our Community Coalition, a coalition of residents who aren't losing their property to the railroad but will be affected by the train"
"I truly hate to have to say this, but if David v. Goliath had been decided by the GA Public Service Commission, they'd have confiscated David's slingshot and handed it to the Philistines",Named Person Sources,Spencer Fyre,Georgia state Rep.,"sent a letter to the commission describing the land acquisition as a 'heist attempt,' where private businesses are looking to increase their profits by taking folks' land despite their resistance to sell"
"The petition of Sandersville Railroad, as amended, is granted.",Document Sources,Georgia Public Service Commission,,"a hearing officer with the Georgia Public Service Commission, approved Sandersville's request to move forward with condemning properties to construct their railroad spur"
Other residents told Capital B they feared potential damage to their homes from the train.,Unnamed Group of People,residents,,
