SourcedStatement,SourceType,Name,Title,Justification
"On Thursday, SoCalGas announced that it was shutting off gas service to additional 29 homes in the western Seaview area and another 25 homes in the Portuguese Bend Beach Club starting at 3 p.m. Friday. The shut-offs are expected to last indefinitely, the utility added.",Named Organization Sources,SoCalGas,,
"On Sunday, Southern California Edison indefinitely cut off electricity to about 140 homes in the Portuguese Bend area of Rancho Palos Verdes.",Named Organization Sources,Southern California Edison,,
"In February, Rancho Palos Verdes Mayor John Cruikshank said a state of emergency declaration from the governor would allow them to bypass state permit requirements for repair efforts.",Named Person Sources,John Cruikshank,Mayor,Rancho Palos Verdes Mayor
"Gordon Leon told LAist he plans to move into a tiny home on his property and bought four generators to power it. He said he’s had no gas for weeks now, but water is still running. The power in his house has been shut off indefinitely, so his plan is to move off the grid.",Named Person Sources,Gordon Leon,,
"Leon said he and his neighbors are just trying to ""figure out how to survive.” Some, he said, are getting ready to leave permanently.
Leon doesn't want to leave his neighborhood because he loves its beauty and that he gets to look at the ocean every day, he said.",Named Person Sources,Gordon Leon,,
"The city’s mayor, John Cruikshank, told LAist on Monday that Southern California Edison should have done more earlier to transition residents off grid and prevent additional outages. Cruikshank said he’s working with private energy companies — and that he has even reached out to Elon Musk — to figure out how to shift those residents off the grid longer-term.
“We’re hearing that our residents want to stay in their homes, and we're doing everything we can to keep them in their homes,” Cruikshank said. “We're going to do everything we can to push the governor and the federal government to provide them funds.”
Cruikshank has called on state and federal officials to declare a state of emergency — so far, that step has not been taken.",Named Person Sources,John Cruikshank,Mayor,The city’s mayor
"Impacted residents, many of whom are older, have disabilities and bought their homes decades ago, have experienced a range of difficult emotions as they’ve been displaced in recent months and watched their community dramatically change due to the land movement. Some say they weren’t given sufficient warning about the power shutoffs and aren’t sure where to go.",Unnamed Group of People,residents,,"Impacted residents, many of whom are older, have disabilities and bought their homes decades ago"
"Leon said he and his neighbors are just trying to ""figure out how to survive.” Some, he said, are getting ready to leave permanently.",Unnamed Group of People,neighbors,,neighbors
A spokesperson for Southern California Edison on Monday said the power outages will impact some homes longer than others: They say 20 will be without power indefinitely and 38 will be without power for one to three weeks.,Anonymous Sources,,Spokesperson,spokesperson for Southern California Edison
"“The land movement has created a dangerous situation, and Edison is deciding to disconnect to keep that community safe,” said Jim Hanggi, a spokesperson for the utility. “It is a fluid situation and we’re working on solutions to keep the power flowing but as conditions change we’ll need to adjust to keep the community safe.”",Anonymous Sources,,Spokesperson,spokesperson for the utility
Many impacted residents have purchased generators so they can stay on their properties despite power outages. A spokesperson for Southern California Edison told LAist that the utility is not providing generators because they feel the ground is too unstable for that to be a long-term solution.,Anonymous Sources,,Spokesperson,spokesperson for Southern California Edison
"On Sunday, Southern California Edison officials said they will provide a vehicle to serve people who need to charge devices or get information.",Anonymous Sources,,officials,Southern California Edison officials
