SourcedStatement,SourceType,Name,Title,Justification
She’s waited for more than two months to get a phone call back from the McKinley-Franklin and San Jose Unified school districts. She started filing Sergio’s paperwork over a year ago.,Named Organization Sources,McKinley-Franklin school district;San Jose Unified school districts,,
"“He’s a very smart kid,” Campa said. “He listens.”",Named Person Sources,Juanita Campa,,"After being evicted from her apartment, Juanita Campa was homeless for years, eventually coming to live with her 4-year-old son and his father in the Jungle, an encampment along the edge of San Jose’s Coyote Creek.;More recently, though, they moved into a hotel that serves as transitional housing for homeless children and their families.;Campa’s next goal? To get her son, Sergio, who has been diagnosed with autism spectrum disorder, enrolled in kindergarten.;Campa also hopes to move her family into a more permanent living situation. But until then, Sergio will be among the rapidly growing ranks of unhoused students in South Bay schools."
"“It goes back to economic hardships, loss of jobs, displacement. There’s just a number of reasons why our families are growing in our (homeless youth) population,” Almazan said. “And some of our families haven’t bounced back from that yet.”",Named Person Sources,Imee Almazan,Superintendent,In the Alum Rock district
"Adalat said district staff have seen many families facing unstable housing and multiple families living in a household. “We have students who are living in shelters. We actually have foster youth that are unhoused as well,” she said.",Named Person Sources,Maryam Adalat,director of student services at East Side Union High School District,
"“There are a number of kids that we knew who were homeless who would show up late. Before we brought them to the classroom, we bring them to the cafeteria and grab them something to eat and grab them some milk so that they can have something in their stomach before they went into the classroom,” she said.",Named Person Sources,Annya Artigas,director of Social Emotional Learning at the Alum Rock district,
"“They leave the home really traumatized to begin with, and then they end up on the streets,” Smith said.",Named Person Sources,Maureen Smith,professor,who teaches childhood adolescent development at San Jose State University;children experiencing homelessness without a guardian are also less likely to be enrolled in school;some children are forced to leave their homes because of domestic violence or because of their gender or sexual identity
She said some children are forced to leave their homes because of domestic violence or because of their gender or sexual identity.,Named Person Sources,Maureen Smith,professor,who teaches childhood adolescent development at San Jose State University;children experiencing homelessness without a guardian are also less likely to be enrolled in school
"“I felt like I wasn’t doing my job as a mom because we’re homeless,” she said “We were working but it wasn’t enough. ... I don’t want to be back here.”",Named Person Sources,Juanita Campa,,"After being evicted from her apartment, Juanita Campa was homeless for years, eventually coming to live with her 4-year-old son and his father in the Jungle, an encampment along the edge of San Jose’s Coyote Creek.;More recently, though, they moved into a hotel that serves as transitional housing for homeless children and their families.;Campa’s next goal? To get her son, Sergio, who has been diagnosed with autism spectrum disorder, enrolled in kindergarten.;Campa also hopes to move her family into a more permanent living situation. But until then, Sergio will be among the rapidly growing ranks of unhoused students in South Bay schools."
"Since 2020, the number of homeless students in Santa Clara County has almost doubled, according to the California Department of Education.",Document Sources,California Department of Education,,
"About 1,200 students in the East Side Union High School District and Alum Rock Union School District were reported to be homeless in 2024 — three times the number of homeless students in 2020.",Document Sources,,,
"Three other counties in the Bay Area — Alameda, Contra Costa and San Mateo — had between 2,100 and 4,700 homeless students enrolled in their schools in 2023. According to the state, 10% to 12% of those students were living in temporary shelters that year.",Document Sources,,,
"Out of the 1,974 homeless students enrolled at East Side in 2022-2023, 488 were living in temporary shelters, according to the state education department, while 75 students were living in hotels and motels, and 33 students were temporarily unsheltered or living in abandoned buildings, campgrounds, vehicles, trailer parks or train and bus stations.",Document Sources,state education department,,
