SourcedStatement,SourceType,Name,Title,Justification
"But Niobrara County’s Democrats, who account for just 2.6% of registered voters, are the most outnumbered by Republicans in the 30 states that track local party affiliation, according to Associated Press election data.",Named Organization Sources,Associated Press,,
"Nationwide, Democrats account for fewer than 3% of voters in three counties this year, up from one county in 2020 but down from seven in 2016. There were none with such a low percentage of Democratic registrations in the presidential election years of 2012, 2008 and 2004, according to the AP data.",Named Organization Sources,Associated Press,,
"In Niobrara County, Wyoming, the least-populated county in the least-populated state, Becky Blackburn is one of just 32 left.",Named Person Sources,Becky Blackburn,,
"Her neighbors call her “the crazy Democrat,” although it’s more a term of endearment than derision.",Named Person Sources,Becky Blackburn,,
"A paralegal for the Republican county attorney, Blackburn hears a lot of right-wing views around town.",Named Person Sources,Becky Blackburn,Paralegal,A paralegal for the Republican county attorney
"“Normally I just roll my eyes and walk away because I’m fighting a losing battle and I’m fully aware of that,” she said. “Maybe that is why I’m well-liked, because I keep my mouth shut 10 times more than I want to.”",Named Person Sources,Becky Blackburn,Paralegal,
"She flies an LGBTQ+ flag in support of her lesbian daughter at her house in Lusk, a ranching town of 1,500 and the Niobrara County seat.",Named Person Sources,Becky Blackburn,Paralegal,
"In political season, Blackburn stocks up on Democratic political signs to replace those that get swiped.",Named Person Sources,Becky Blackburn,Paralegal,
"She speaks approvingly of policing reform, taxation for government services and the transgender social media celebrity Dylan Mulvaney.",Named Person Sources,Becky Blackburn,Paralegal,
"Maybe because she’s open about those views — and far too outnumbered to put them into action — Blackburn really does seem well-liked in Lusk, where she recently served nine years on the Town Council.",Named Person Sources,Becky Blackburn,Paralegal;Town Council Member,recently served nine years on the Town Council
"“I won two elections here. Even though that’s nonpartisan, people still knew I had left-leaning values,” she said.",Named Person Sources,Becky Blackburn,Paralegal;Town Council Member,
"“You feel skeevy and dirty when you do it. But you do it anyway and you change it back as soon as you can, because you don’t want to start getting the Republican mailings,” Blackburn said.",Named Person Sources,Becky Blackburn,Paralegal;Town Council Member,
"Wyoming’s Republican secretary of state, Chuck Gray, said in a statement of approval.",Named Person Sources,Chuck Gray,Wyoming’s Republican secretary of state,
"Party-switching had “undermined the sanctity of Wyoming’s primary process,”",Named Person Sources,Chuck Gray,Wyoming’s Republican secretary of state,
"Yet the area had a Democratic state representative not too long ago: Ross Diercks, who is recognized and warmly greeted at the Outpost Cafe, a homey breakfast and lunch spot in Lusk.",Named Person Sources,Ross Diercks,Democratic state representative,Democratic state representative not too long ago
"A former middle school English teacher, Diercks was a Republican before deciding the GOP didn’t do enough to support public education. He beat a Republican incumbent in 1992 to launch an 18-year run in the Legislature.",Named Person Sources,Ross Diercks,former middle school English teacher;State Legislator,A former middle school English teacher;launched an 18-year run in the Legislature
"Knowing voters personally and keeping up on issues helped him hold office. When he got a C-minus on a National Rifle Association questionnaire, for example, he resolved to improve. For subsequent elections, he scored A’s on the survey.",Named Person Sources,Ross Diercks,former middle school English teacher;State Legislator,
"Many Republican lawmakers are friends. When one from just down the road died, he sang at his funeral.",Named Person Sources,Ross Diercks,former middle school English teacher;State Legislator,
"Then in 2022, Diercks temporarily switched parties to vote in the GOP primary against Harriet Hageman, who was challenging then-Rep. Liz Cheney for the state’s lone House seat. Hageman, the daughter of the lawmaker he sang for at his funeral, nonetheless won the race by a wide margin.",Named Person Sources,Ross Diercks,former middle school English teacher;State Legislator,
The new law keeping Diercks and others from switching their registration so easily has him exasperated with the GOP.,Named Person Sources,Ross Diercks,former middle school English teacher;State Legislator,
"“How far are they going to go to limit one’s ability to vote? If it really comes down to purifying the party, on a voting level all the way up to the elected officials, pretty soon there isn’t going to be anyone left who’s pure enough to be in the party,” Diercks said.",Named Person Sources,Ross Diercks,former middle school English teacher;State Legislator,
"Truck driver Pat Jordan supports many left-leaning goals, including universal healthcare, but said he only registers as a Republican.",Named Person Sources,Pat Jordan,Truck driver,Truck driver
"“The best way to participate in meaningful change is to try to sway the dominant party,” said Jordan, who lives in Niobrara County. “You know, we need to have a government that serves the people, all of them, not just Republicans and not just rural and not just urban and not just Democrats — and definitely not just the rich and the wealthy.”",Named Person Sources,Pat Jordan,Truck driver,who lives in Niobrara County
"Last winter, dozens of locals gathered outside to honk and cheer as one Democrat left town. But they weren’t cheering as Ed Fullmer was headed off for good.",Named Person Sources,Ed Fullmer,,
"Fullmer was on the high school boys basketball team bus as they left for the state championship. They lost, but Fullmer coached the Tigers to their best record in a decade, 20-8.",Named Person Sources,Ed Fullmer,Coach,coached the Tigers
He said people know his views but rarely put him on the spot about politics.,Named Person Sources,Ed Fullmer,Coach,
"“Most people don’t want to dive into those type of discussions,” he said. “They respect you for what you do, how you work.”",Named Person Sources,Ed Fullmer,Coach,
"Blackburn, for one, intends to hold her political ground, even as it shrinks around her.",Named Person Sources,Becky Blackburn,Paralegal;Town Council Member,
"“I am who I am, and I have the views that I have,” she said. “And I don’t care if it bothers people or not.”",Named Person Sources,Becky Blackburn,Paralegal;Town Council Member,
