SourcedStatement,SourceType,Name,Title,Justification
"A detailed Los Angeles Times investigation published in November 2023 reported a number of issues at AHF-owned properties, including apartments infested with cockroaches, exploding radiators, water shut-offs so regular that tenants had to defecate in wastebaskets, violent crime and drug dealing left unaddressed, and months-long elevator shut-offs that left disabled tenants stuck on upper floors or forced to sleep in the lobby.",Named Organization Sources,Los Angeles Times,,
"While many of these problems are common at residential hotels on Skid Row, AHF-managed properties were more frequently hit with code complaints and emergency calls than similar properties, reported the Times.",Named Organization Sources,Los Angeles Times,,
"More than 80% of housing properties that have received D.C. funding aren't bringing in enough rental income to pay their mortgages and maintenance costs, according to the District's Department of Housing and Community Development.",Named Organization Sources,District's Department of Housing and Community Development,,
"More than 80% of housing properties that have received D.C. funding aren't bringing in enough rental income to pay their mortgages and maintenance costs, according to the District's Department of Housing and Community Development.",Named Organization Sources,Bisnow,,
"The scale of the crisis is viewed as existential: 22,000 units that house 48,000 vulnerable residents are at risk of foreclosure today, according to DHCD.",Named Organization Sources,Bisnow,,
"Landlords are blaming the situation on a mix of higher operating costs and the housing court delays caused by D.C.'s pandemic-era eviction policies, which have allowed tenants to stay for years in their units without paying rent.",Named Organization Sources,Bisnow,,
"Delinquencies have risen dramatically, the report [ by Apartment and Office Building Association] concludes, because of D.C.'s pandemic-era policies that have tripled the length of the legal process required to evict nonpaying tenants.",Named Organization Sources,Bisnow,,report [ by
"Delinquencies have risen dramatically, the report [ by Apartment and Office Building Association] concludes, because of D.C.'s pandemic-era policies that have tripled the length of the legal process required to evict nonpaying tenants.",Named Organization Sources,Apartment and Office Building Association,,
"While cases have been delayed, many tenants continue living in units without paying rent and rack up tens of thousands of dollars in debts, a massive financial hole that is difficult to escape from. They have left landlords with substantially less revenue to maintain their operations and few options to generate more income.",Named Organization Sources,Bisnow,,
"Britain's new Labor government wants to build new towns to combat the country's housing cost crisis, reports The New York Times.",Named Organization Sources,The New York Times,,
"On Thursday, a group of Republican senators led by Sen. Tim Scott (R–S.C.) introduced the Renewing Opportunity in the American Dream (ROAD) to Housing Act, which proposes a grab bag of reforms to federal housing programs.",Named Person Sources,Tim Scott,Sen.; R–S.C.,a group of Republican senators led by
"""Housing policy is inherently local, and federal legislators should encourage local solutions to local problems,"" reads the press release on the bill.",Named Person Sources,Tim Scott,Sen.; R–S.C.,
That includes a repeal of the federal regulation requiring that manufactured housing sit on a permanent steel chassis.,Named Person Sources,Tim Scott,Sen.; R–S.C.,
"Scott's bill would also repeal the cap on the number of public housing units that can be ""converted"" to other types of subsidized affordable housing under HUD's Rent Assistance Demonstration (RAD) program.",Named Person Sources,Tim Scott,Sen.; R–S.C.,
RAD is intended to address the massive backlog of capital improvements needed at public housing complexes by shifting these units into other programs where funding is more dependable and private capital is available.,Named Person Sources,Tim Scott,Sen.; R–S.C.,
"Current law caps the number of public housing units that can be converted using the RAD program at 455,000 (or close to half of public housing units).",Named Person Sources,Tim Scott,Sen.; R–S.C.,
Kevin Erdmann on RealPage and its incoherent critics.,Named Person Sources,Kevin Erdmann,,
"HUD told me in a statement that AHF ""is part of a team that applied for these awards. The team is not only eligible, but the best qualified applicant.""",Named Person Sources,U.S. Department of Housing and Urban Development,,
"A former AHF employee described the living conditions at foundation properties as ""inhumane.""",Anonymous Sources,,,former AHF employee
