SourcedStatement,SourceType,Name,Title,Justification
Aaliyah Wilburn moved to Vermont two years ago and has faced more hair discrimination here than ever before.,Named Person Sources,Aaliyah Wilburn,,"A senior at North Country Union High School in Newport, Wilburn, 17; a leader with the Vermont Student Anti-Racism Network"
"Despite telling her not to touch it, Wilburn said the girl “grabbed” her hair.",Named Person Sources,Aaliyah Wilburn,,"A senior at North Country Union High School in Newport, Wilburn, 17; a leader with the Vermont Student Anti-Racism Network"
"“She then told me that I felt like a sheep and she imitated the noises of one,” said Wilburn, a leader with the Vermont Student Anti-Racism Network.",Named Person Sources,Aaliyah Wilburn,,"A senior at North Country Union High School in Newport, Wilburn, 17; a leader with the Vermont Student Anti-Racism Network"
"When she wore a headwrap another time, students said she looked like Marge Simpson and that she looked too African for their comfort.",Named Person Sources,Aaliyah Wilburn,,"A senior at North Country Union High School in Newport, Wilburn, 17; a leader with the Vermont Student Anti-Racism Network"
"“Later in the day, someone took it off me,” she said.",Named Person Sources,Aaliyah Wilburn,,"A senior at North Country Union High School in Newport, Wilburn, 17; a leader with the Vermont Student Anti-Racism Network"
"Wilburn and the student anti-racism network support a bill, which the Vermont House passed in a landslide vote on Wednesday, that would prohibit racial discrimination by hair types, textures and styles.",Named Person Sources,Aaliyah Wilburn,,"A senior at North Country Union High School in Newport, Wilburn, 17; a leader with the Vermont Student Anti-Racism Network"
"“I wouldn’t be scared of going out with a bonnet or a head wrap if this bill was in place at the time of these incidents,” she said in an email.",Named Person Sources,Aaliyah Wilburn,,"A senior at North Country Union High School in Newport, Wilburn, 17; a leader with the Vermont Student Anti-Racism Network"
"Addie Lentzner, executive director of the student anti-racism network, said she has seen hair discrimination in schools — not just in policies and norms but also in the form of microaggressions and racial bias.",Named Person Sources,Addie Lentzner,executive director,of the student anti-racism network
"“I think it’s a huge problem in our schools and this bill would help address it,” Lentzner said.",Named Person Sources,Addie Lentzner,executive director,of the student anti-racism network
"Modeled after language promoted as the CROWN Act and already enacted in 23 other states, including New York and Maine, the bill aims to prevent “an erasure and minimization of the experiences of marginalized people,” particularly Black and brown people, Rep. Saudia LaMont, D-Morristown, said during a preliminary vote on the bill Tuesday.",Named Person Sources,Saudia LaMont,"Rep., D-Morristown",
"For her daughter, she said, it first occurred in pre-school.",Named Person Sources,Saudia LaMont,"Rep., D-Morristown",
"While picking up her daughter one afternoon she said she was dismayed to find her wearing a stop sign on her chest that read, “Please ask to touch my hair.”",Named Person Sources,Saudia LaMont,"Rep., D-Morristown",
"A teacher explained that her daughter was reacting to several instances of students touching and petting her hair without her consent, LaMont continued.",Named Person Sources,Saudia LaMont,"Rep., D-Morristown",
"“So it was in fact my 4-year-old’s idea to make a sign as a signal to her peers to stop violating her body and personal space,” she said.",Named Person Sources,Saudia LaMont,"Rep., D-Morristown",
"In another incident, her daughter’s dance teacher asked to have her recently installed braids taken out so the child’s hair could be put up in a bun to look like the majority of the other white kids in the class.",Named Person Sources,Saudia LaMont,"Rep., D-Morristown",
LaMont outlined to her House colleagues on Tuesday the ways in which caring for Black hair is a process.,Named Person Sources,Saudia LaMont,"Rep., D-Morristown",
