SourcedStatement,SourceType,Name,Title,Justification
A spokesperson for Southern California Edison on Monday said the power outages will impact some homes longer than others:,Named Organization Sources,Southern California Edison,,
"On Thursday, SoCalGas announced that it was shutting off gas service to additional 29 homes in the western Seaview area and another 25 homes in the Portuguese Bend Beach Club starting at 3 p.m. Friday.",Named Organization Sources,SoCalGas,,
The city states on its website that it is working to identify “hotels and other accommodations that can offer discounted rates for residents.”,Named Organization Sources,the city,,
A spokesperson for Southern California Edison told LAist that the utility is not providing generators because they feel the ground is too unstable for that to be a long-term solution.,Named Organization Sources,Southern California Edison,,
"On Sunday, Southern California Edison officials said they will provide a vehicle to serve people who need to charge devices or get information.",Named Organization Sources,Southern California Edison,,
The city directs residents to rpvca.gov/landmovement and PVPready.gov.,Named Organization Sources,the city,,
"“The land movement has created a dangerous situation, and Edison is deciding to disconnect to keep that community safe,”",Named Person Sources,Jim Hanggi,spokesperson for Southern California Edison,a spokesperson for the utility
"“We’re hearing that our residents want to stay in their homes, and we're doing everything we can to keep them in their homes,”",Named Person Sources,John Cruikshank,Mayor,the city’s mayor
“We're going to do everything we can to push the governor and the federal government to provide them funds.”,Named Person Sources,John Cruikshank,Mayor,the city’s mayor
“It is a fluid situation and we’re working on solutions to keep the power flowing but as conditions change we’ll need to adjust to keep the community safe.”,Named Person Sources,Jim Hanggi,spokesperson for Southern California Edison,a spokesperson for the utility
Leon said he and his neighbors are just trying to “figure out how to survive.”,Named Person Sources,Gordon Leon,,
"Leon said he’s had no gas for weeks now, but water is still running.",Named Person Sources,Gordon Leon,,
"Leon doesn't want to leave his neighborhood because he loves its beauty and that he gets to look at the ocean every day, he said.",Named Person Sources,Gordon Leon,,
Cruikshank said he’s working with private energy companies — and that he has even reached out to Elon Musk — to figure out how to shift those residents off the grid longer-term.,Named Person Sources,John Cruikshank,Mayor,the city’s mayor
"Impacted residents, many of whom are older, have disabilities and bought their homes decades ago, have experienced a range of difficult emotions as they’ve been displaced in recent months and watched their community dramatically change due to the land movement.",Unnamed Group of People,Impacted residents,,"many of whom are older, have disabilities and bought their homes decades ago"
Some say they weren’t given sufficient warning about the power shutoffs and aren’t sure where to go.,Unnamed Group of People,Some,,
Others plan to stay.,Unnamed Group of People,Others,,
