SourcedStatement,SourceType,Name,Title,Justification
Lawyers for the American Civil Liberties Union have drafted a letter reminding election workers that a gender marker on a person’s identification does not need to match or correspond to a voter’s gender expression,Named Organization Sources,American Civil Liberties Union,,"In Kansas, lawyers for the American Civil Liberties Union have drafted a letter reminding election workers that a gender marker on a person’s identification does not need to match or correspond to a voter’s gender expression; Staff for the organization have also held clinics elsewhere to prepare trans Americans for the identification requirements they will have to navigate"
The nonprofit VoteRiders is on the ground helping voters get the identification they need to cast ballots in the November election — and one that reflects who they are,Named Organization Sources,VoteRiders,,"In eight battleground states, the nonprofit VoteRiders is on the ground helping voters get the identification they need to cast ballots in the November election — and one that reflects who they are; VoteRiders is conducting year-round voter education"
"Equality Florida, the state’s leading LGBTQ+ advocacy group, is holding “know your rights” trainings in the wake of new regulations barring many transgender voters from obtaining photo identification that reflects their gender",Named Organization Sources,Equality Florida,,"Equality Florida, the state’s leading LGBTQ+ advocacy group, is holding “know your rights” trainings in the wake of new regulations barring many transgender voters from obtaining photo identification that reflects their gender; The failure of most anti-LGBTQ+ bills introduced in this year’s legislative session showed that the tide in Florida is turning"
"The ACLU sued the agency for discrimination, claiming the rule was adopted illegally because it didn’t follow proper administrative procedure",Named Organization Sources,ACLU,,"Last year, Tennessee Gov. Bill Lee, a Republican, signed a bill into law that defines sex as “determined by anatomy and genetics existing at the time of birth”; The ACLU sued the agency for discrimination, claiming the rule was adopted illegally because it didn’t follow proper administrative procedure"
"The National Center for Transgender Equality, which conducted the survey and will soon be known as Advocates for Trans Equality Education Fund",Named Organization Sources,National Center for Transgender Equality,,"Ankit Rastogi, director of research for the National Center for Transgender Equality, which conducted the survey and will soon be known as Advocates for Trans Equality Education Fund; I think the big takeaway is that our community is really trying to come out and make a difference through the democratic process"
“There is a chilling effect”,Named Person Sources,Lauren Kunis,CEO and executive director of VoteRiders,"Lauren Kunis, CEO and executive director of VoteRiders, which helps voters obtain identification; There is an unsafe and intimidating environment around existing as trans in society, and definitely in being able to go to the polls safely and cast a ballot"
“A lot is falling on poll workers to correctly enforce the law”,Named Person Sources,Lauren Kunis,CEO and executive director of VoteRiders,"Lauren Kunis, CEO and executive director of VoteRiders, which helps voters obtain identification; A lot is falling on poll workers to correctly enforce the law"
“Trans votes count”,Named Person Sources,Ankit Rastogi,director of research for the National Center for Transgender Equality,"Ankit Rastogi, director of research for the National Center for Transgender Equality, which conducted the survey and will soon be known as Advocates for Trans Equality Education Fund; I think the big takeaway is that our community is really trying to come out and make a difference through the democratic process"
"“Trans people, just like everyone else, want to be able to travel, start new jobs, open bank accounts, enroll in school, vote — all of those things require some form of ID”",Named Person Sources,Lucas Cameron-Vaughn,attorney for the ACLU of Tennessee,"Lucas Cameron-Vaughn, an attorney for the ACLU of Tennessee; Forcing a person to show identification that does not align with their gender identity could out them to people in their community"
“It’s a tactic that’s designed to splinter support for trans rights and suggest sort of who is harmed by protecting trans people — to frame that as cisgender women being the people harmed by protections for trans people”,Named Person Sources,Rose Saxe,deputy project director for the ACLU’s LGBT & HIV Project,"Rose Saxe, who is deputy project director for the ACLU’s LGBT & HIV Project; It’s a tactic that’s designed to splinter support for trans rights and suggest sort of who is harmed by protecting trans people — to frame that as cisgender women being the people harmed by protections for trans people"
