SourcedStatement,SourceType,Name,Title,Justification
"HUD told me in a statement that AHF “is part of a team that applied for these awards. The team is not only eligible, but the best qualified applicant.”",Named Organization Sources,HUD,,HUD told me in a statement
"The AIDS Healthcare Foundation (AHF), along with the Massachusetts Alliance of HUD Tenants, a $10 million grant which they will jointly distribute to tenant associations at privately owned, federally subsidized multifamily housing.",Named Organization Sources,AIDS Healthcare Foundation (AHF),,"The AIDS Healthcare Foundation (AHF), along with the Massachusetts Alliance of HUD Tenants"
"“We find that new construction differentially declined in the upzoned, affordability-mandated areas,” they write. “Developers intentionally avoided MHA-zoned areas – despite their upzoning– opting instead to build on nearby blocks without affordability requirements.”",Named Person Sources,Jacob Krimmel and Betty X. Wang,researchers,they write
"“Housing policy is inherently local, and federal legislators should encourage local solutions to local problems,” reads the press release on the bill.",Named Person Sources,Tim Scott,Sen.,reads the press release on the bill
A former AHF employee described the living conditions at foundation properties as “inhumane.”,Named Person Sources,,former AHF employee,A former AHF employee described the living conditions at foundation properties
"More than 80% of housing properties that have received D.C. funding aren't bringing in enough rental income to pay their mortgages and maintenance costs, according to the District's Department of Housing and Community Development.",Document Sources,District's Department of Housing and Community Development,,according to the District's Department of Housing and Community Development
"The scale of the crisis is viewed as existential: 22,000 units that house 48,000 vulnerable residents are at risk of foreclosure today, according to DHCD.",Document Sources,DHCD,,according to DHCD
"Delinquencies have risen dramatically, the report [ by Apartment and Office Building Association] concludes, because of D.C.'s pandemic-era policies that have tripled the length of the legal process required to evict nonpaying tenants.",Document Sources,Apartment and Office Building Association,,the report [ by Apartment and Office Building Association] concludes
"A detailed Los Angeles Times investigation published in November 2023 reported a number of issues at AHF-owned properties, including apartments infested with cockroaches, exploding radiators, water shut-offs so regular that tenants had to defecate in wastebaskets, violent crime and drug dealing left unaddressed, and months-long elevator shut-offs that left disabled tenants stuck on upper floors or forced to sleep in the lobby.",Document Sources,Los Angeles Times,,A detailed Los Angeles Times investigation published in November 2023 reported
"Landlords are blaming the situation on a mix of higher operating costs and the housing court delays caused by D.C.'s pandemic-era eviction policies, which have allowed tenants to stay for years in their units without paying rent.",Unnamed Group of People,landlords,,Landlords are blaming the situation on a mix of higher operating costs and the housing court delays caused by D.C.'s pandemic-era eviction policies
"While cases have been delayed, many tenants continue living in units without paying rent and rack up tens of thousands of dollars in debts, a massive financial hole that is difficult to escape from.",Unnamed Group of People,tenants,,"While cases have been delayed, many tenants continue living in units without paying rent"
