SourcedStatement,SourceType,Name,Title,Justification
Republican Gov. Jim Pillen’s office did not immediately respond to messages Thursday by The Associated Press asking whether he would sign the bill into law.,Named Organization Sources,Republican Gov. Jim Pillen’s office,,"office of the Governor, relevant to the bill's potential signing"
"Following that, an election police unit championed by Republican Gov. Ron DeSantis arrested 20 former felons.",Named Organization Sources,Republican Gov. Ron DeSantis’s election police unit,,context of Florida's voter-approved constitutional amendment and subsequent arrests
"In Tennessee, lawmakers on Wednesday killed a bipartisan bill for the year that would have let residents convicted of felonies apply to vote again without also restoring their gun rights.",Named Organization Sources,Tennessee lawmakers,,relevant to the bill's status in Tennessee
means everything for the thousands of people who have not been full participants in society,Named Person Sources,TJ King,Nebraska-based outreach specialist with the advocacy group Black and Pink,was unable to vote in the 2022 general election after coming off probation for drug and theft convictions three months earlier
the bill’s passage is the final layer in his ability to be civically engaged and “have a full voice and complete connection to the community.”,Named Person Sources,TJ King,Nebraska-based outreach specialist with the advocacy group Black and Pink,was unable to vote in the 2022 general election after coming off probation for drug and theft convictions three months earlier
"Studies have shown that if you allow people to engage in their community upon being released, the recidivism rate drops",Named Person Sources,Justin Wayne,Omaha state Sen.,introduced the bill to restore voting rights for felons
"We spend on average $42,000 a year on prisoners, of which we have around a 30 percent recidivism rate. One year, I brought in a little chart that says if we just cut it by 10 percent, we’re saving around $5 million a year.",Named Person Sources,Justin Wayne,Omaha state Sen.,introduced the bill to restore voting rights for felons
voting rights have been restored to over 2 million people,Named Person Sources,Nicole Porter,senior director of advocacy at The Sentencing Project,"part of The Sentencing Project, a nonprofit sentencing advocacy group"
"As of October 2023, 26 states and the District of Columbia had expanded voting rights to people living with felony convictions, according to The Sentencing Project, a nonprofit sentencing advocacy group that studies criminal justice policy.",Document Sources,The Sentencing Project,,nonprofit sentencing advocacy group that studies criminal justice policy
"voting rights have been restored to over 2 million people, said Nicole Porter, senior director of advocacy at The Sentencing Project.",Document Sources,The Sentencing Project,,nonprofit sentencing advocacy group that studies criminal justice policy
Several of them said they were confused by the arrests because they had been allowed to register to vote.,Unnamed Group of People,former felons,,context of Florida's voter-approved constitutional amendment and subsequent arrests
