SourcedStatement,SourceType,Name,Title,Justification
"The cash didn’t make it to MALS until February 2024, due to problems with how the County Commission resolution was originally drafted, Henderson said.",Named Organization Sources,Shelby County Commission,,Involved in the allocation and disbursement of funds for the pilot program.
MALS wasn’t able to launch the program in earnest until June.,Named Organization Sources,Memphis Area Legal Services (MALS),,Implementing the pre-litigation mediation program for landlord-tenant disputes.
"MLK50: Justice Through Journalism, a nonprofit newsroom focused on poverty, power and policy in Memphis.",Named Organization Sources,MLK50: Justice Through Journalism,,"Publisher of the article, providing context on their focus areas."
"Recently, MALS worked with a woman who was living in a house that 'should not be lived in by anyone' and was starting to fall behind on rent, Henderson said. It seemed like a case headed toward an eviction for the tenant, a code violation for the landlord or both. But with MALS’ help, the landlord is making repairs, and the tenant is using some leftover rental assistance funds to catch up on rent.",Named Person Sources,Deborah Henderson,"Judge, General Sessions Civil Court","One of the court’s judges who secured $240,000 in the county budget to pilot a pre-litigation mediation program for landlord-tenant disputes."
"“There are no income limits or income requirements,” Henderson told a WLOK-AM audience earlier this summer. “If you’re a tenant who is having trouble with your landlord, you need to give us a call. … If you’re a landlord and you have a troublesome tenant … give us a call.”",Named Person Sources,Deborah Henderson,"Judge, General Sessions Civil Court",Promoting the landlord-tenant mediation program on a radio show.
"“We could have drafted a document that ensured the landlord (followed the verbal agreement),” she said.",Named Person Sources,Deborah Henderson,"Judge, General Sessions Civil Court",Reflecting on the potential of the mediation program in cases like Woods'.
Henderson believes the program will require a much longer pilot period before it’s able to produce the proof necessary to create a housing court.,Named Person Sources,Deborah Henderson,"Judge, General Sessions Civil Court",Sharing her perspective on the program's future.
Henderson has been happy with the results since then.,Named Person Sources,Deborah Henderson,"Judge, General Sessions Civil Court",Providing an assessment of the program's initial outcomes.
"Nicole Grida, the new MALS CEO, said her team has started creating marketing materials for the program, building partnerships with local nonprofits and screening folks who call in for other services to see if they will fit the program’s criteria, which has resulted in many promising leads.",Named Person Sources,Nicole Grida,"CEO, Memphis Area Legal Services (MALS)",Updating on the program's development and outreach efforts.
"For the program to succeed, Grida said raising greater awareness will be key, as most Memphians it could help don’t yet know it exists.",Named Person Sources,Nicole Grida,"CEO, Memphis Area Legal Services (MALS)",Highlighting the importance of awareness for the program's success.
"“If you’re a tenant who is having trouble with your landlord, you need to give us a call. … If you’re a landlord and you have a troublesome tenant … give us a call.” (quoted in context with Henderson)",Named Person Sources,Cedric Harris,"Attorney, MALS (leading the program)",Co-promoting the landlord-tenant mediation program with Henderson.
None,Named Person Sources,Erika Sugarmon,Shelby County Commissioner,"Involved in securing $240,000 in the county budget for the pilot program."
None,Named Person Sources,Cindy Ettingoff,"then-CEO, Memphis Area Legal Services","Involved in securing $240,000 in the county budget for the pilot program."
None,Named Person Sources,Loyce Lambert Ryan,"Interim Executive Director, MALS (at the time of the program's delay)",Mentioned in the context of MALS dealing with the fallout of a major cyber attack.
"About nine months ago, the two men agreed he could withhold rent until repairs were made, he said.",Named Person Sources,Bryant Woods,,Sharing his personal experience with rental disputes and the challenges faced.
