SourcedStatement,SourceType,Name,Title,Justification
The Alameda County Registrar is scheduled to send the final ballot for printing on Friday.,Named Organization Sources,Alameda County Registrar,,Relevant authority responsible for the printing and distribution of ballots; providing context on the timeline for the election process.
The message was cheered on by several community members and organizations such as the East Oakland Collective nonprofit.,Named Organization Sources,East Oakland Collective nonprofit,,Organization showing support for Love’s campaign; highlighting the campaign’s impact on the community.
"Love’s lawyers, from the political law firm Kaufman Legal Group, said in their petition that Love had gathered 67 signatures in total and that three of the signatures were unfairly disqualified.",Named Organization Sources,Kaufman Legal Group,,Law firm representing Love; providing context on the petition and the disputed signatures.
"“While we are disappointed by the court’s decision not to place us on the ballot in November, I remain undeterred in my commitment to serving Oakland and our communities,” she wrote.",Named Person Sources,Tonya Love,District 7 council candidate and chief of staff for Councilmember Carroll Fife,Candidate directly affected by the court’s decision; providing her reaction and commitment to the community.
"My understanding is that there are other candidates for this particular district city council who would’ve liked the opportunity to have more time to gather and submit signatures, and the process needs to be uniform,” he said.",Named Person Sources,Judge Michael Markman,Alameda County Superior Court Judge,Authority figure ruling on the case; explaining his reasoning for the decision.
"In an interview with The Oaklandside last week, Newton was resigned to his failure to gather enough signatures–he picked up 37–but said he would work with whoever came out ahead in the race to help improve the community.",Named Person Sources,David Newton,,Candidate who also attempted to run for the district seat; providing context on the challenges of gathering signatures and his commitment to the community.
"Under the Voter’s Choice Act, registered voters on Election Day can cast their ballots at any vote center in Alameda County.",Document Sources,Voter’s Choice Act,,Relevant law governing voting procedures in Alameda County; cited to support Love’s lawyers argument for signature validation.
The county attorneys countered in a brief that the state election code deems signatures on a nomination form invalid if they don’t include a signature and a printed name and if the address of the candidate’s supporter is not consistent with their voter registration form.,Document Sources,state election code,,Relevant law governing nomination form requirements; cited by county attorneys to counter Love’s petition.
"“The protestors said this” statement not found, but community members and organizations such as the East Oakland Collective nonprofit cheered on Love's message.",Unnamed Group of People,community members and organizations,,They cheered on Love's message; showing support for her campaign committed to fighting for equity and social justice for their community in District 7.
"A few other candidates in the last-minute scramble were able to gather enough signatures to qualify for the ballot, among them Ken Houston.",Unnamed Group of People,candidates,,Part of the group affected by the last-minute decision by sitting Councilmember Treva Reid not to run for reelection; showing the impact of the decision on prospective candidates.
