SourcedStatement,SourceType,Name,Title,Justification
The Currys announced Thursday a commitment to raise and invest $25 million over the next five years devoted to literacy programs that will provide one-on-one tutoring for children who are at least two grade levels behind in reading.,Named Organization Sources,Currys’ foundation (Eat.Learn.Play. Foundation),,expanding its reach in Oakland Unified School District after efforts last year included the revitalization of six schoolyards
These students have been part of a pilot tutoring program through the Currys’ foundation that is again expanding its reach in Oakland Unified School District after efforts last year included the revitalization of six schoolyards.,Named Organization Sources,Oakland Unified School District,,partnering with the Currys’ foundation for the pilot tutoring program
"“Everything happens for a reason and the journey gives you all type of different experiences along the way,”",Named Person Sources,Stephen Curry,,reflecting on the highs and lows of his year after winning an Olympic gold medal and the addition of his fourth child
"“But this summer’s been amazing, just coming off a tough NBA year to experience what we did and get a win in the Olympics and some of the things I look forward to every year especially around our foundation and the work that we’re doing here in Oakland. ... It puts everything into perspective of what basketball has done for me and the doors that it’s opened and trying to take full advantage of it.”",Named Person Sources,Stephen Curry,,reflecting on the highs and lows of his year after winning an Olympic gold medal and the addition of his fourth child
"“It’s the same way I appreciate all the things I get to do on and off the court where it’s all connected,”",Named Person Sources,Stephen Curry,,on his foundation work and its connection to his basketball career
"“Me having fun going and winning a gold medal raised the platform to then be able to talk about stuff that matters even more. Being able to share those experiences with my family, the (foundation) team, they know especially while they were working tirelessly every day to make sure a day like today is executed and make sure our plan is locked in, I’m representing everybody out there on the court doing what I do.”",Named Person Sources,Stephen Curry,,on his foundation work and its connection to his basketball career
"“Working on it,”",Named Person Sources,Stephen Curry,,"regarding the trademark of his signature catchphrase “night, night”"
"“What’s interesting is it’s never been a one and done and we’ve always slow rolled things out because we love to build a model that kind of proves itself and can stand on its own,”",Named Person Sources,Ayesha Curry,,on the Currys’ foundation work and its approach to expanding its reach
Those children from Burckhalter Elementary School in Oakland were thrilled to have such a special field trip to Stanford Golf Course.,Unnamed Group of People,children,,part of a pilot tutoring program through the Currys’ foundation
"Wade, an 8-year-old in third grade, said she would remember this day golfing with Curry “for 15 years,” and that her favorite part of the visit was “everything.”",Unnamed Group of People,elementary-school students,,part of a pilot tutoring program through the Currys’ foundation; from Burckhalter Elementary School in Oakland
