SourcedStatement,SourceType,Name,Title,Justification
"At least 14 states have introduced proposals this year focused on restoration of voting rights, according to the Brennan Center for Justice.",Named Organization Sources,Brennan Center for Justice,,
"More than 4.6 million people are disenfranchised in the United States because of felony convictions, according to the Sentencing Project, which studies the issue and advocates for restoration of voting rights for former felons.",Named Organization Sources,Sentencing Project,,which studies the issue and advocates for restoration of voting rights for former felons
"TJ King had candidates and causes to support, but couldn’t vote in Nebraska’s last election.",Named Person Sources,TJ King,Outreach specialist,"An outreach specialist with the Nebraska AIDS Project, King came off probation in August after serving time for drug and theft convictions."
"Voting, King said in an interview, gives “a little bit of your strength back and a little bit of your voice back.",Named Person Sources,TJ King,Outreach specialist,"An outreach specialist with the Nebraska AIDS Project, King came off probation in August after serving time for drug and theft convictions."
"Being able to vote, being able to have a say in what happens in your society, in your state, is extremely important.”",Named Person Sources,TJ King,Outreach specialist,"An outreach specialist with the Nebraska AIDS Project, King came off probation in August after serving time for drug and theft convictions."
"“Restoring voting rights really is an issue where we’ve seen bipartisan momentum,” said Patrick Berry, counsel for the Democracy program at the Brennan Center.",Named Person Sources,Patrick Berry,Counsel for the Democracy program at the Brennan Center,
"In Nebraska, nearly 18,000 people are unable to vote because of felony convictions, said the Sentencing Project’s director of advocacy, Nicole Porter.",Named Person Sources,Nicole Porter,"Director of advocacy, Sentencing Project",
"Steve Smith of Civic Nebraska, part of a large coalition of groups supporting the measure, said the wait creates a group of taxpayers who can’t choose their representatives.",Named Person Sources,Steve Smith,,"of Civic Nebraska, part of a large coalition of groups supporting the measure"
"“You’re civically dead and you can’t vote for the people who are levying those taxes,” he said.",Named Person Sources,Steve Smith,,"of Civic Nebraska, part of a large coalition of groups supporting the measure"
"The bill’s author, Democratic state Sen. Justin Wayne, said he was going door to door in his first election in 2016 and was told by would-be constituents that they could not vote.",Named Person Sources,Justin Wayne,Democratic state Sen.,The bill’s author
"Much of the reason was confusion over the law’s waiting period, he said.",Named Person Sources,Justin Wayne,Democratic state Sen.,The bill’s author
"Wayne, who represents parts of Omaha with strong minority populations, said reconnecting people to the voting process is integral to successful reentry.",Named Person Sources,Justin Wayne,Democratic state Sen.,The bill’s author; who represents parts of Omaha with strong minority populations
"“When people get out of our system, they’ve got to feel engaged in their community, and the number one way for a person to feel engaged in their community is to be able to vote for the leadership of that community,” he said.",Named Person Sources,Justin Wayne,Democratic state Sen.,The bill’s author; who represents parts of Omaha with strong minority populations
"Kathy Wilcot, a member of the University of Nebraska Board of Regents, was the lone dissenter from among the nearly 20 witnesses who spoke on Wayne’s bill.",Named Person Sources,Kathy Wilcot,Member of the University of Nebraska Board of Regents,was the lone dissenter from among the nearly 20 witnesses who spoke on Wayne’s bill
Wilcot stressed she was speaking as an individual and not on behalf of the university.,Named Person Sources,Kathy Wilcot,Member of the University of Nebraska Board of Regents,was the lone dissenter from among the nearly 20 witnesses who spoke on Wayne’s bill
"“I do think that hopefully the waiting period reinforces the fact that voting is something very special, and hopefully that will be part of the things that an individual would consider if they’re tempted to break the law again,” she said.",Named Person Sources,Kathy Wilcot,Member of the University of Nebraska Board of Regents,was the lone dissenter from among the nearly 20 witnesses who spoke on Wayne’s bill
"King, 51, fought addiction for years and spent five years in prison after being convicted of possessing the party drug Ecstasy and theft by deception, ending probation last August.",Named Person Sources,TJ King,Outreach specialist,"51, fought addiction for years and spent five years in prison after being convicted of possessing the party drug Ecstasy and theft by deception, ending probation last August"
"King works in the HIV/AIDS field and volunteers at various organizations, but said voting is still the most direct way to be involved and became tearful when talking about being unable to vote.",Named Person Sources,TJ King,Outreach specialist,"51, fought addiction for years and spent five years in prison after being convicted of possessing the party drug Ecstasy and theft by deception, ending probation last August; works in the HIV/AIDS field and volunteers at various organizations"
