SourcedStatement,SourceType,Name,Title,Justification
"Chris Chike is, by most accounts, the greatest Dance Dance Revolution player in the world.",Named Person Sources,Chris Chike,,
Being the GOAT at two video game simulations of real-life activities (both of which have all but vanished outside of Dave & Buster’s and Round1 arcades) is a “pretty niche” thing to devote your life to.,Named Person Sources,Chris Chike,,
"“It wasn't anything serious,” he told Gazetteer SF over FaceTime from his home in Hayward. “I wasn't extremely good at the game or anything.”",Named Person Sources,Chris Chike,,
"“I don’t think I would have any other reason to take it so seriously if it wasn’t for the community and the competition,” he said. “You discover this group of people who’s really like-minded. It’s a really rare thing, because out in the normal world, there’s not a lot of people who think like me or have similar hobbies or have the grinder mentality for video games like me.”",Named Person Sources,Chris Chike,,
"“I was, like, I get to quit and have severance at the same time — it was almost a win-win, ‘cause I was already a little bit checked out,” he said.",Named Person Sources,Chris Chike,,
"Chike told Gazetteer he’s saved enough to keep him afloat for a few years, helped along by the occasional brand deal.",Named Person Sources,Chris Chike,,
"He did an ad spot for Taco Bell in 2021, operating at maybe a fifth of his full skill.",Named Person Sources,Chris Chike,,
"“I don't think I can physically do this forever,” he said. “I'm getting up there, I just turned 33 this week. So I'm just taking advantage of it while I can.”",Named Person Sources,Chris Chike,,
"“He's the GOAT,” according to friend Roger Clark, a San Francisco programmer and longtime DDR enthusiast. “Everybody knows it. No one would deny it.”",Named Person Sources,Roger Clark,,friend; a San Francisco programmer and longtime DDR enthusiast
"“How someone can even have the physical stamina to do that let alone have the mental fortitude to continue when one tiny mistake is the end of the run … it’s hard to even come up with words for this kind of thing,” Clark said. “It's literally Olympics level, astronaut level.”",Named Person Sources,Roger Clark,,
"“Whenever you meet someone who plays DDR, you kind of don't really care that much what they're doing outside of the game, right?” Clark said.",Named Person Sources,Roger Clark,,
"“This is the best that anyone in the human race could possibly achieve at this thing,” Clark told Gazetteer.",Named Person Sources,Roger Clark,,
telling the New York Times he wanted to buy a multi-thousand dollar DDR arcade cabinet,Named Person Sources,Chris Chike,,
"“We’re learning to pay for things when we have the money,” his mom, who reportedly managed those deals, told the outlet.",Named Person Sources,Chris Chike's mom,mom,who reportedly managed those deals
"“I had no idea he could do shit like that,” someone uttered in the crowd, in awe, in a video of his display.",Named Person Sources,someone,,in the crowd
