SourcedStatement,SourceType,Name,Title,Justification
Sam Altman called an OpenAI board member’s research paper a danger to the company weeks before he was ousted as its chief executive.,Named Person Sources,Sam Altman,chief executive,
"At one point, Mr. Altman, the chief executive, made a move to push out one of the board’s members because he thought a research paper she had co-written was critical of the company.",Named Person Sources,Sam Altman,chief executive,
"The news that he was being pushed out came in a videoconference on Friday afternoon, when Mr. Sutskever, who had worked closely with Mr. Altman at OpenAI for eight years, read him a statement.",Named Person Sources,Ilya Sutskever,,who had worked closely with Mr. Altman at OpenAI for eight years
"Mr. Altman complained that the research paper seemed to criticize OpenAI’s efforts to keep its A.I. technologies safe while praising the approach taken by Anthropic, a company that has become OpenAI’s biggest rival, according to an email that Mr. Altman wrote to colleagues and that was viewed by The New York Times.",Named Person Sources,Sam Altman,,
"In the email, Mr. Altman said that he had reprimanded Ms. Toner for the paper and that it was dangerous to the company, particularly at a time, he added, when the Federal Trade Commission was investigating OpenAI over the data used to build its technology.",Named Person Sources,Sam Altman,,
"“I did not feel we’re on the same page on the damage of all this,” he wrote in the email. “Any amount of criticism from a board member carries a lot of weight.”",Named Person Sources,Sam Altman,,
"Helen Toner, an OpenAI board member, defended the research paper she co-wrote.",Named Person Sources,Helen Toner,an OpenAI board member;director of strategy at Georgetown University’s Center for Security and Emerging Technology,
Ms. Toner defended it as an academic paper that analyzed the challenges that the public faces when trying to understand the intentions of the countries and companies developing A.I.,Named Person Sources,Helen Toner,,
"“After a series of reasonably amicable negotiations, the co-founders of Anthropic were able to negotiate their exit on mutually agreeable terms,” an Anthropic spokeswoman, Sally Aldous, said.",Named Person Sources,Sally Aldous,an Anthropic spokeswoman,
"In a second statement, Anthropic added that there was “no attempt to ‘oust’ Sam Altman at the time the founders of Anthropic left OpenAI.”",Named Person Sources,Anthropic,,
"During the call, Jason Kwon, OpenAI’s chief strategy officer, said the board was endangering the future of the company by pushing out Mr. Altman.",Named Person Sources,Jason Kwon,OpenAI’s chief strategy officer,
"This, he said, violated the members’ responsibilities.",Named Person Sources,Jason Kwon,,
"Ms. Toner disagreed. The board’s mission was to ensure that the company creates artificial intelligence that “benefits all of humanity,” and if the company was destroyed, she said, that could be consistent with its mission. In the board’s view, OpenAI would be stronger without Mr. Altman.",Named Person Sources,Helen Toner,,
"At 5:15 a.m. on Monday, he posted on X, formerly Twitter, that “I deeply regret my participation in the board’s actions.”",Named Person Sources,Ilya Sutskever,,
"They said that the subsidiary would be controlled by the nonprofit board and that each director’s fiduciary duty would be to “humanity, not OpenAI investors,” the company said on its website.",Document Sources,OpenAI,,its website
"Mr. Altman complained that the research paper seemed to criticize OpenAI’s efforts to keep its A.I. technologies safe while praising the approach taken by Anthropic, a company that has become OpenAI’s biggest rival, according to an email that Mr. Altman wrote to colleagues and that was viewed by The New York Times.",Document Sources,,,an email that Mr. Altman wrote to colleagues and that was viewed by The New York Times
"Nearly all of OpenAI’s 800 employees had threatened to follow Mr. Altman to Microsoft, which asked him to lead an A.I. lab with Greg Brockman, who quit his roles as OpenAI’s president and board chairman in solidarity with Mr. Altman.",Unnamed Group of People,employees,,OpenAI’s 800 employees
"Another member, Ilya Sutskever, thought Mr. Altman was not always being honest when talking with the board.",Anonymous Sources,,,
And some board members worried that Mr. Altman was too focused on expansion while they wanted to balance that growth with A.I. safety.,Anonymous Sources,,,
"Senior OpenAI leaders, including Mr. Sutskever, who is deeply concerned that A.I. could one day destroy humanity, later discussed whether Ms. Toner should be removed",Anonymous Sources,,,
"But shortly after those discussions, Mr. Sutskever did the unexpected: He sided with board members to oust Mr. Altman, according to two people familiar with the board’s deliberations.",Anonymous Sources,,,familiar with the board’s deliberations
The statement he read to Mr. Altman said that Mr. Altman was being fired because he wasn’t “consistently candid in his communications with the board.”,Anonymous Sources,,,
That scientist and other researchers went to the board to try to push Mr. Altman out.,Anonymous Sources,,,familiar with the attempt to push Mr. Altman out
"After vetting four candidates for one position, the remaining directors couldn’t agree on who should fill it",Anonymous Sources,,,familiar with the board’s deliberations
"Hours after Mr. Altman was ousted, OpenAI executives confronted the remaining board members during a video call, according to three people who were on the call.",Anonymous Sources,,,who were on the call
"On Sunday, Mr. Sutskever was urged at OpenAI’s office to reverse course by Mr. Brockman’s wife, Anna, according to two people familiar with the exchange.",Anonymous Sources,,,familiar with the exchange
