SourcedStatement,SourceType,Name,Title,Justification
"Los Angeles and Sacramento counties are the two other most popular California destinations, according to SF’s Department of Homelessness and Supportive Housing and the Human Services Agency.",Named Organization Sources,SF’s Department of Homelessness and Supportive Housing and the Human Services Agency,,
"When asked for comment, the San Francisco mayor’s office said it had not received the letter.",Named Organization Sources,San Francisco mayor’s office,,
"Paul Boden, a homeless advocate with the Western Regional Advocacy Project, said the strategy of busing unhoused people out of town dates back to the 1960s, when welfare agencies offered bus tickets to previously institutionalized people in exchange for a signed pledge not to return for a year — a process that was known as “Greyhound therapy.”",Named Person Sources,Paul Boden,,a homeless advocate with the Western Regional Advocacy Project
“The aim isn’t to achieve a goal.,Named Person Sources,Paul Boden,,a homeless advocate with the Western Regional Advocacy Project
"It’s to get you out of our town, and it’s cheaper than arresting you,” Boden said.",Named Person Sources,Paul Boden,,a homeless advocate with the Western Regional Advocacy Project
“The No. 1 answer to homelessness is to make them disappear.,Named Person Sources,Paul Boden,,a homeless advocate with the Western Regional Advocacy Project
Then mayors write letters back and forth: ‘Stop sending your people here.’,Named Person Sources,Paul Boden,,a homeless advocate with the Western Regional Advocacy Project
Then it turns out they’re sending their people here.,Named Person Sources,Paul Boden,,a homeless advocate with the Western Regional Advocacy Project
It shows the ridiculousness of us not trying to address why people are on the streets.”,Named Person Sources,Paul Boden,,a homeless advocate with the Western Regional Advocacy Project
"“Our TAP program works really well, and hopefully San Francisco can go back to more — not just dumping — but assisting and actually helping people get help,” Humboldt Supervisor Rex Bohn said at Tuesday’s board meeting.",Named Person Sources,Rex Bohn,Humboldt Supervisor,
"“We were dismayed to learn that our small, rural county was among the top three destinations in the state where people experiencing homelessness were sent by the program,” states a draft of the letter to San Francisco Mayor London Breed that can be seen on the Humboldt County website.",Document Sources,Humboldt County,,a draft of the letter to San Francisco Mayor London Breed that can be seen on the Humboldt County website
"“We are concerned that providing bus tickets to other jurisdictions without verifying access to housing, family support or employment does not alleviate homelessness; it simply shifts the person to another county,” Humboldt’s letter says.",Document Sources,Humboldt County,,Humboldt’s letter
“We urge you to ensure that Journey Home participants have the support they need to obtain housing and employment before they receive transportation assistance to Humboldt County.,Document Sources,Humboldt County,,Humboldt’s letter
Let’s act together in partnership to alleviate homelessness throughout our state.”,Document Sources,Humboldt County,,Humboldt’s letter
