SourcedStatement,SourceType,Name,Title,Justification
"The Tennessee Association of Realtors is the sixth largest spender on Tennessee politics, according to the Tennessee Lookout’s database, having spent $6.5 million on lobbying, campaign donations and other political expenditures since 2009.",Named Organization Sources,Tennessee Lookout,,a database
"The Tennessee Association of Realtors has been Swann’s top funder since the start of 2009, according to the Tennessee Lookout, giving him $18,750.",Named Organization Sources,Tennessee Lookout,,a database
"It has also given Boyd $11,500 since 2009, making it his No. 6 funder.",Named Organization Sources,Tennessee Lookout,,a database
"“It just shortens the whole timeline in which a person can lose their home,”",Named Person Sources,Brian Rees,staff attorney at The Works Inc. nonprofit,who has represented hundreds of tenants in eviction proceedings in recent years
"“Things (can now) happen very, very quickly.”",Named Person Sources,Brian Rees,staff attorney at The Works Inc. nonprofit,who has represented hundreds of tenants in eviction proceedings in recent years
"“Landlords have always had a very strong lobbying group,”",Named Person Sources,Deborah Henderson,Judge,who judges thousands of eviction cases per year
"“It’s disheartening to see them make a change that will affect families who are struggling,”",Named Person Sources,Brian Rees,staff attorney at The Works Inc. nonprofit,who has represented hundreds of tenants in eviction proceedings in recent years
"“(TAR) has the connection with a lot of legislators, especially on the commerce committee, where this was going to be,”",Named Person Sources,Dwayne Thompson,Rep.,who sponsored the legislation
“(And) they were just ironclad.”,Named Person Sources,Dwayne Thompson,Rep.,who sponsored the legislation
"“How are you going to find the (bad actors)? It looks to me like the good people will do it but the bad people aren’t going to change,”",Named Person Sources,Pat Marsh,Rep.,who opposed the bill
"“I really am happy to see that pass,”",Named Person Sources,Brian Rees,staff attorney at The Works Inc. nonprofit,who has represented hundreds of tenants in eviction proceedings in recent years
“I think it’s important that tenants do have good quality contact information for their property manager or owner.”,Named Person Sources,Brian Rees,staff attorney at The Works Inc. nonprofit,who has represented hundreds of tenants in eviction proceedings in recent years
