SourcedStatement,SourceType,Name,Title,Justification
"“After a series of reasonably amicable negotiations, the co-founders of Anthropic were able to negotiate their exit on mutually agreeable terms,” an Anthropic spokeswoman, Sally Aldous, said.",Named Organization Sources,Anthropic,,an Anthropic spokeswoman
"“After a series of reasonably amicable negotiations, the co-founders of Anthropic were able to negotiate their exit on mutually agreeable terms,” an Anthropic spokeswoman, Sally Aldous, said.",Named Person Sources,Sally Aldous,Anthropic spokeswoman,an Anthropic spokeswoman
"“I deeply regret my participation in the board’s actions,” Mr. Sutskever posted on X, formerly Twitter.",Named Person Sources,Ilya Sutskever,null,"Mr. Sutskever posted on X, formerly Twitter"
"Nearly all of OpenAI’s 800 employees had threatened to follow Mr. Altman to Microsoft, which asked him to lead an A.I. lab with Greg Brockman, who quit his roles as OpenAI’s president and board chairman in solidarity with Mr. Altman.",Unnamed Group of People,OpenAI employees,,Nearly all of OpenAI’s 800 employees
"Senior OpenAI leaders, including Mr. Sutskever, who is deeply concerned that A.I. could one day destroy humanity, later discussed whether Ms. Toner should be removed, a person involved in the conversations said.",Anonymous Sources,null,null,a person involved in the conversations
"But shortly after those discussions, Mr. Sutskever did the unexpected: He sided with board members to oust Mr. Altman, according to two people familiar with the board’s deliberations.",Anonymous Sources,null,null,two people familiar with the board’s deliberations
"That scientist and other researchers went to the board to try to push Mr. Altman out. After they failed, they gave up and departed, according to three people familiar with the attempt to push Mr. Altman out.",Anonymous Sources,null,null,three people familiar with the attempt to push Mr. Altman out
"After vetting four candidates for one position, the remaining directors couldn’t agree on who should fill it, said the two people familiar with the board’s deliberations.",Anonymous Sources,null,null,two people familiar with the board’s deliberations
"Hours after Mr. Altman was ousted, OpenAI executives confronted the remaining board members during a video call, according to three people who were on the call.",Anonymous Sources,null,null,three people who were on the call
"On Sunday, Mr. Sutskever was urged at OpenAI’s office to reverse course by Mr. Brockman’s wife, Anna, according to two people familiar with the exchange.",Anonymous Sources,null,null,two people familiar with the exchange
