SourcedStatement,SourceType,Name,Title,Justification
Reuters/Ipsos poll published on Thursday showed the vice president sparking new enthusiasm among voters and shaking up the race ahead of the Nov. 5 election.,Named Organization Sources,Reuters/Ipsos,,Conducted the poll; Provides data on the presidential race
"She the People, a liberal group that aims to grow the numbers of women of color in elected office.",Named Organization Sources,She the People,,Context for Aimee Allison's quote; Illustrates the group's mission
Bloomberg News/Morning Consult poll published later on Thursday showed that Harris was either leading or tied with Trump in each of those states.,Named Organization Sources,Bloomberg News/Morning Consult,,Conducted an independent poll; Provides additional context for the state-by-state race
"It's obvious that running against Harris is more challenging for Trump given the shift in these numbers, but it's certainly not insurmountable,",Named Person Sources,Matt Wolking,Republican campaign strategist,Worked on Trump's 2020 campaign; Provides analysis on the challenges of running against Harris
"We see it in this poll that people are more motivated about the future than the past,",Named Person Sources,Aimee Allison,Founder of She the People,Leader of a liberal group aiming to grow the numbers of women of color in elected office; Provides analysis on voter motivation
"Across four Reuters/Ipsos polls conducted in July, Harris had a 9 point lead among women and a 6 point lead among Hispanics.",Document Sources,Reuters/Ipsos polls,,Previous polls conducted by Reuters/Ipsos; Used to provide context for Harris' lead among women and Hispanics
A separate Bloomberg News/Morning Consult poll published later on Thursday showed that Harris was either leading or tied with Trump in each of those states.,Document Sources,Bloomberg News/Morning Consult poll,,Independent poll published by Bloomberg News/Morning Consult; Used to provide additional context for the state-by-state race
Some 73% of Democratic registered voters in the Reuters/Ipsos poll said they were more excited about voting in November after Harris entered the race.,Unnamed Group of People,Democratic registered voters,,Respondents to the Reuters/Ipsos poll; Used to illustrate enthusiasm among Democratic voters after Harris entered the race
"And while a March Reuters/Ipsos poll found that 61% respondents who intended to vote for Biden were doing so mainly to stop Trump, 52% of Harris voters in the August poll were voting to support her as a candidate rather than primarily to oppose Trump.",Unnamed Group of People,Respondents to the Reuters/Ipsos poll,,Respondents to the Reuters/Ipsos poll; Used to compare voting motivations between Biden and Harris supporters
"Voters picked Trump as having a better approach to managing the U.S. economy, 45% to 36%, a wider margin than Trump had in another Reuters/Ipsos poll this week.",Unnamed Group of People,Voters,,Respondents to the Reuters/Ipsos poll; Used to compare opinions on economic management between Trump and Harris
Some 41% of voters in the poll - and 70% of Democrats - said they were worried the next president might sign a national ban on abortions.,Unnamed Group of People,Voters; Democrats,,Respondents to the Reuters/Ipsos poll; Used to illustrate concerns about abortion policy
