SourcedStatement,SourceType,Name,Title,Justification
"Groundworks Collaborative, for example, helps local people without permanent housing (its outreach team reports contact with 159 such individuals so far this year).",Named Organization Sources,Groundworks Collaborative,,"local social service provider, context for no-trespass issues"
"Turning Point of Windham County... “We are so straight out, working our tails off — and we can’t do this without the police.”",Named Organization Sources,Turning Point of Windham County,,"local social service provider, emphasizing collaboration with police"
Southeastern Vermont Community Action... Daniel Quipp attended the providers’ meeting as chair of the selectboard and a staff member of the antipoverty agency,Named Organization Sources,Southeastern Vermont Community Action,,"local antipoverty agency, context for staff member's dual role"
"Vermont State Police... Jim Baker, a consultant for a state public safety enhancement initiative, recounted at a recent public meeting.",Named Organization Sources,Vermont State Police,,"state law enforcement, context for consultant's expertise"
Brattleboro Police Department is creating a Hotspot Evaluation and Analysis Team,Named Organization Sources,Brattleboro Police Department,,"local law enforcement, initiative for data-driven collaboration"
"“Jaws dropped,” Jim Baker, a consultant for a state public safety enhancement initiative, recounted at a recent public meeting.",Named Person Sources,Jim Baker,Consultant for State Public Safety Enhancement Initiative,"expertise in public safety, former commander of the Vermont State Police and one-time Rutland City police chief"
"“The 20 people that are consuming a lot of resources clearly need some, but they’re not getting the right ones,” Brattleboro Assistant Police Chief Jeremy Evans recently told the town selectboard.",Named Person Sources,Jeremy Evans,Assistant Police Chief,authority on local policing and resource allocation
"“This is something that we see in a lot of different jurisdictions,” Robin Joy, the Crime Research Group’s statistical director, told local leaders at another meeting.",Named Person Sources,Robin Joy,"Statistical Director, Crime Research Group",expertise in crime statistics and research
"“We need to consider our own boundaries around increasing safety and reducing risks,” Groundworks executive director Libby Bennett said upon this April’s first anniversary of the death.",Named Person Sources,Libby Bennett,"Executive Director, Groundworks Collaborative","leadership in local social services, responding to a significant incident"
"“All of us area agencies, we are doing everything humanly possible that we can do,” Christine Allen, executive director of Turning Point of Windham County, said.",Named Person Sources,Christine Allen,"Executive Director, Turning Point of Windham County","leadership in local social services, representing collective effort"
Daniel Quipp attended the providers’ meeting as chair of the selectboard and a staff member of the antipoverty agency Southeastern Vermont Community Action.,Named Person Sources,Daniel Quipp,"Chair of the Selectboard; Staff Member, Southeastern Vermont Community Action","dual role in local governance and social services, facilitating collaboration"
"municipal statistics show... Most calls about the top 20 didn’t involve criminal behavior, but instead disorderly conduct, disputes and disturbances often linked to alcohol and drug use or mental health issues",Document Sources,Municipal Statistics (publishing organization not specified),,official data providing insight into police call patterns
"A study by the Vermont nonprofit Crime Research Group shows Brattleboro police are dispatched most to the local Quality Inn... as well as to such downtown locations as the Whetstone path park, the Groundworks Collaborative shelter and Transportation Center parking garage",Document Sources,Crime Research Group,,nonprofit research providing data on police dispatch patterns
"“The disorder we are witnessing, especially in our downtown area, has many causes and impacts,”",Unnamed Group of People,null,,referring to the community witnessing disorder in the downtown area
"“All of us area agencies, we are doing everything humanly possible that we can do,”",Unnamed Group of People,area agencies,,representing the collective effort of local agencies
"“We were looking at real information that made us have some quite difficult conversations,”",Unnamed Group of People,meeting attendees (providers and selectboard),,participating in a meeting to discuss the issue
