SourcedStatement,SourceType,Name,Title,Justification
"Around 6,800 homeless students were enrolled in Santa Clara County in 2023",Named Organization Sources,"Bay Area News Group (publisher, but likely citing Santa Clara County or California Department of Education data)",,news organization reporting on local statistics
"About 1,200 students in the East Side Union High School District and Alum Rock Union School District were reported to be homeless in 2024 — three times the number of homeless students in 2020.",Named Organization Sources,East Side Union High School District and Alum Rock Union School District,,school districts with firsthand data on homeless students
"“It goes back to economic hardships, loss of jobs, displacement. There’s just a number of reasons why our families are growing in our (homeless youth) population.”",Named Person Sources,Imee Almazan,"Superintendent, Alum Rock Union School District",district administrator with insight into the population's challenges
“We have students who are living in shelters. We actually have foster youth that are unhoused as well.”,Named Person Sources,Maryam Adalat,"Director of Student Services, East Side Union High School District",district administrator with direct knowledge of student living situations
“There are a number of kids that we knew who were homeless who would show up late...”,Named Person Sources,Annya Artigas,"Director of Social Emotional Learning, Alum Rock district",district administrator with experience supporting homeless students
"“They leave the home really traumatized to begin with, and then they end up on the streets.”",Named Person Sources,Maureen Smith,"Professor, Childhood Adolescent Development, San Jose State University",expert in childhood and adolescent development
“He’s a very smart kid. He listens.”,Named Person Sources,Juanita Campa,,"parent of a homeless child with autism, sharing personal experience"
"Since 2020, the number of homeless students in Santa Clara County has almost doubled, according to the California Department of Education.",Document Sources,California Department of Education,,official education statistics provider
"Out of the 1,974 homeless students enrolled at East Side in 2022-2023, 488 were living in temporary shelters, according to the state education department, while 75 students were living in hotels and motels, and 33 students were temporarily unsheltered or living in abandoned buildings, campgrounds, vehicles, trailer parks or train and bus stations.",Document Sources,California Department of Education,,official education statistics provider
"That same year, a majority of homeless students in the district were unable to pass the Smarter Balanced Summative Assessments, standardized tests for mathematics and language arts.",Document Sources,Smarter Balanced Summative Assessments (likely from California Department of Education or related entity),,official standardized test results
"There are a number of kids that we knew who were homeless who would show up late. Before we brought them to the classroom, we bring them to the cafeteria and grab them something to eat and grab them some milk so that they can have something in their stomach before they went into the classroom.",Unnamed Group of People,homeless children,,"experiencing homelessness, struggling to find timely transportation to school, relying on school lunch as their only meal"
"Many come to school sleepy, tired and hungry, impacting their ability to function in the classroom.",Unnamed Group of People,homeless children,,"experiencing homelessness, struggling with basic needs; experiencing stressors that impact their ability to engage in the classroom"
"They leave the home really traumatized to begin with, and then they end up on the streets.",Unnamed Group of People,children experiencing homelessness without a guardian,,"experiencing homelessness without a guardian, often due to domestic violence, gender or sexual identity issues"
