SourcedStatement,SourceType,Name,Title,Justification
,Named Organization Sources,Republican National Convention,,Nearly half of the speakers who mentioned Harris’s first name mispronounced it during the 2024 convention
,Named Organization Sources,Goya Foods,,"Its CEO, Bob Unanue, mocked Kamala Harris's name"
,Named Organization Sources,The Daily Show,,Conducted a 2020 interview with Kamala Harris where she addressed the mispronunciation of her name
"“That the highest elected leaders should conduct themselves like they did when they were children on the playground, it speaks poorly of their appreciation for the responsibility of the role that they have,”",Named Person Sources,Kamala Harris,Vice President of the United States,During a 2020 interview with Trevor Noah on The Daily Show
"“I don’t pay attention to the name-calling, Trevor. There’s some of us who have lived a lifetime of being called names. It is predictable, it is childish, and it will not distract me.”",Named Person Sources,Kamala Harris,Vice President of the United States,"During a 2020 interview with Trevor Noah on The Daily Show; Her response underscores the importance of respecting the cultural significance behind names, especially for those in leadership positions."
,Named Person Sources,Joe W. Bowers Jr.,,Author of the opinion piece for California Black Media
,Named Person Sources,Trevor Noah,Host of The Daily Show,Conducted a 2020 interview with Kamala Harris
,Named Person Sources,Donald Trump,Former President,Repeatedly mispronounced Kamala Harris's name
,Named Person Sources,Elon Musk,,Mispronounced Kamala Harris's name
,Named Person Sources,Bob Unanue,CEO of Goya Foods,Mocked Kamala Harris's name by calling her 'Que-mala'
,Named Person Sources,Shyamala Gopalan,,"Kamala Harris's mother, whose cultural heritage is the origin of Harris's first name"
