SourcedStatement,SourceType,Name,Title,Justification
"The Democrats’ party platform hasn’t veered from the messaging President Joe Biden had — reducing mass incarceration, holding police accountable, and keeping students safe while they’re in school.",Named Organization Sources,Democratic Party,,describing the party’s stance on criminal justice reform
"At a rally in Charlotte, North Carolina, former President Donald Trump pledged to combat police violence by giving police “back their power,” in part by limiting federal oversight over local police departments and strengthening qualified immunity.",Named Organization Sources,"Republican Party (implied, via former President Donald Trump’s stance)",,contrasting the Republican approach to police reform
"Although robust policing reforms have stalled on the federal level, local governments across the country have turned proposals such as banning choke holds into law.",Named Organization Sources,local governments (across the US),,highlighting progress on policing reforms at the local level
"When Taylor’s family settled their lawsuit against the city of Louisville and the officers who opened fire for $12 million, the settlement included agreed upon police reforms such as limiting the use of no-knock warrants",Named Organization Sources,City of Louisville,,detailing the outcome of the lawsuit and associated reforms
“I was just thinking about her mother [Tamika Palmer] in regards to how she would interpret that particular ruling by the judge.”,Named Person Sources,Christopher 2X,"longtime community organizer, and friend of Taylor’s family",providing a personal perspective on the ruling’s impact on Taylor’s family
"“It’s just more pain on top of pain, and unfortunately, that’s the way the court system goes,” he said.",Named Person Sources,Christopher 2X,"longtime community organizer, and friend of Taylor’s family",expressing frustration with the court system
"“With this ruling by Judge Simpson, the conversation of police reform keeps going on. There’s no backtracking in this conversation. People can, in the most civil way, have the conversation, debate about it, [especially] when these incidents are right in front of your face, the ruling is right in front of your face, the conversation doesn’t stop,” Christopher 2X said.",Named Person Sources,Christopher 2X,"longtime community organizer, and friend of Taylor’s family",emphasizing the need for ongoing police reform conversations
"“She’s a former prosecutor. I believe, respectfully, that she should talk about it (police reform) with force, and with great understanding of the atmosphere that’s still asking for that conversation,” Christopher 2X said, adding, “She should be willing and ready to address this whole issue that still, there’s no answers to.”",Named Person Sources,Christopher 2X,"longtime community organizer, and friend of Taylor’s family; founder of Game Changers",calling for Vice President Kamala Harris to address police reform
"“it would prevent the necessity for cases like Breonna Taylor’s because we would be attacking the root cause of crime, which brings down crime rates,” Newsome said, adding, “Less crime means politicians are less likely to allow illegal and overzealous policing.”",Named Person Sources,Hawk Newsome,co-founder of Black Lives Matter of Greater New York and Black Opportunities,explaining the potential impact of the Black Agenda 2024 on policing
"Since 2020, the number of people, especially Black people, killed by the police has continued to rise, according to the Mapping Police Violence database.",Document Sources,Mapping Police Violence database,,providing statistical evidence of rising police violence
"Researchers behind Mapping Police Violence released a new database Wednesday that focuses on nonfatal police encounters in the United States between 2017 and 2022, the Guardian first reported.",Document Sources,Mapping Police Violence database; The Guardian,,introducing new research on nonfatal police encounters; citing the original reporting source
"People can, in the most civil way, have the conversation, debate about it, [especially] when these incidents are right in front of your face, the ruling is right in front of your face, the conversation doesn’t stop.",Unnamed Group of People,people,,referring to the general public engaging in conversations about police reform
"Black people are more susceptible to nonfatal police violence than being killed by police, the report found.",Unnamed Group of People,Black people,,statistical comparison from the Mapping Police Violence database
"people who don’t attend your churches or community meetings, engage in local politics, or take your polls.",Unnamed Group of People,people,,describing the target audience for the Black Agenda 2024
