SourcedStatement,SourceType,Name,Title,Justification
,Named Organization Sources,Institute for Justice,,representing the landowners in the case (mentioned in the context of Bill Maurer’s statements)
,Named Organization Sources,Sandersville Railroad Co.,,proponent of the rail spur project
,Named Organization Sources,Georgia Public Service Commission,,regulatory authority that approved the rail spur project
,Named Organization Sources,Heidelberg Materials,,"owner of Hanson Quarry, beneficiary of the rail spur project"
,Named Organization Sources,Southern Poverty Law Center’s Economic Justice Project,,representing the No Railroad In Our Community Coalition
“We’re determined to keep fighting against this attempt to take our ancestral land from us.”,Named Person Sources,Blaine Smith,,heir of 600 acres of land in the family since the 1920s
"“We want to keep our property whole, so we can pass it down to our children and they can continue to build generational wealth,”",Named Person Sources,Blaine Smith,,heir of 600 acres of land in the family since the 1920s
"“As Black people, ownership of land and property is more valuable than a dollar amount because it allows a certain type of economic freedom that we are often deprived of,”",Named Person Sources,Sharika Robinson,attorney,expertise in legal aspects related to land ownership
“I don’t know what is ‘just’ about replacing that economic liberty with a dollar amount that will not increase in value.”,Named Person Sources,Sharika Robinson,attorney,expertise in legal aspects related to land ownership
"“Georgia law does not permit a private company to take land through eminent domain unless the land will be put to a public use,”",Named Person Sources,Bill Maurer,senior attorney for Institute for Justice,representing the landowners in the case
"“Building a rail spur that will only be used by a few private companies, and not the public at large, is not a public use. We look forward to making it clear to the court that the [Public Service Commission] made an error in considering Sandersville’s land grab as a public use.”",Named Person Sources,Bill Maurer,senior attorney for Institute for Justice,representing the landowners in the case
"“The reality is if you’ve ever lived near a train, or you’ve ever ridden on a train or been near a train, it’s not the same as trucks driving by,”",Named Person Sources,Jamie Rush,senior staff attorney with the Southern Poverty Law Center’s Economic Justice Project,representing the No Railroad In Our Community Coalition
"“Even if the train is not going through your property, the fact that a train is near your property — all of the noise pollution, the vibrations of a train … all of that affects your property value, your peace of mind and your home.”",Named Person Sources,Jamie Rush,senior staff attorney with the Southern Poverty Law Center’s Economic Justice Project,representing the No Railroad In Our Community Coalition
"“I would like to say this has been a long, difficult case, and I want to thank all the parties, and especially thank our staff for the diligence, hard work, and all the parties for just the professionalism and decorum shown on this case.”",Named Person Sources,Jason Shaw,chairman of the Georgia Public Service Commission,presiding over the commission’s decision
"“The proposed condemnation … serves a legitimate public purpose and is necessary for the proper accommodation of the business,” Bond wrote. “The petition of Sandersville Railroad, as amended, is granted.”",Document Sources,Georgia Public Service Commission (petition approval document),,official document approving the condemnation request
"“I truly hate to have to say this, but if David v. Goliath had been decided by the GA Public Service Commission, they’d have confiscated David’s slingshot and handed it to the Philistines,” Fyre wrote.",Document Sources,Letter from Georgia state Rep. Spencer Fyre,,official correspondence to the commission expressing opposition
"The construction would also have an impact on other Black residents in the community, who believe it would affect their quality of life.",Unnamed Group of People,Black residents in the community,,residing in the community where the construction would take place
Other residents told Capital B they feared potential damage to their homes from the train.,Unnamed Group of People,residents,,residing in the area where the train would pass
