SourcedStatement,SourceType,Name,Title,Justification
"The U.S. Army was making 14,000 artillery shells a month prior to the conflict. Now, officials at the plant told Morning Edition that the army is producing 36,000 shells a month, up from 24,000 just six months ago.",Named Organization Sources,U.S. Army,,mentioned as the entity responsible for the production increase
"The Biden administration announced this month it would be sending an additional $250 million dollars worth of new military aid to Ukraine, including air defense missiles and 155mm howitzer rounds.",Named Organization Sources,The Biden Administration,,mentioned as the entity providing additional military aid to Ukraine
The Tobyhanna Army Depot... estimates that the company has a $2.4 billion dollar impact on the area and that it is the largest industrial employer in the region.,Named Organization Sources,Tobyhanna Army Depot,,mentioned as a major contributor to the local economy
"Lockheed Martin... (implied, not directly quoted, but mentioned as part of the regional economy)",Named Organization Sources,Lockheed Martin,,mentioned as part of the defense industry in Northeastern Pennsylvania
"We’re all about quality jobs, and that’s a quality organization.",Named Person Sources,Bob Durkin,President and Chief Executive Officer of the Scranton Chamber of Commerce,quoted on the importance of the defense industry for Scranton's economy
"It’s not $277 million that stays here. But, you know, it’s a good chunk of it. And it’s important that we keep that work coming.",Named Person Sources,Congressman Matt Cartwright,"Member of the House Appropriations Committee, Representative for Northeastern Pennsylvania",quoted on the economic impact of defense contracts in the region
I don’t really think that people dwell or concentrate on anything that’s going on outside of their sphere of influence. We’re kind of busy concentrating on what’s going on in Scranton.,Named Person Sources,Rich Hansen,Commander’s Representative at the Scranton Army Ammunition Plant,quoted on the focus of workers at the Scranton Army Ammunition Plant
"With the Ukraine support, you know, one day I was sitting there thinking about what needs to be done, and it kind of hit me that what we were doing directly affects whether people live or die.",Named Person Sources,Jim Jarick,Senior Technology Center Engineer at the Tobyhanna Army Depot,quoted on the personal impact of working on Ukraine support
"At the height of last year’s counteroffensive, the Ukrainians were firing about 6,000 a day. The Russians are [firing] probably about 10,000 a day.",Named Person Sources,Mark Cancian,Senior Advisor at the Center for Strategic and International Studies,quoted on the comparison of Ukraine and Russia's artillery firing rates
"Our first task is to save our people. Without artillery, we cannot do this.",Named Person Sources,Col. Olksandr Popov,Commander of a Ukrainian Artillery Unit,quoted on the importance of artillery for Ukraine's defense
"We had a job fair... (same as above, but duplicate removed for brevity)",Named Person Sources,Danielle Weinschenk,Lead Public Affairs Specialist at the Tobyhanna Army Depot,quoted on the demand for jobs at the Tobyhanna Army Depot
"We had a job fair in the middle of a heat wave and there was still a line going out of the door. We had another one when it was pouring rain, and the same thing happened.",Unnamed Group of People,Job Fair Attendees,,used to illustrate demand for jobs at the Tobyhanna Army Depot
