SourcedStatement,SourceType,Name,Title,Justification
"According to Mayor London Breed, the intention is to clean up sidewalks and force unhoused people into the city’s labyrinthine network of shelter and supportive housing programs.",Named Organization Sources,Office of the Mayor (London Breed),,official stance on the purpose of the sweeps
"In order to bring public attention to the moral question of sweeps, the Coalition on Homelessness and other unhoused advocates planned to crash an encampment sweep in SoMa last Thursday, which had been scheduled for 12:30 p.m.",Named Organization Sources,Coalition on Homelessness,,organizer of a protest against the sweeps
"as a recent batch of public records secured by City Hall watchdog Hazel Williams shows, Public Works has bagged medications, wheelchairs, and even a mobility walker from unhoused people, taking them to the city’s storage facility on Cesar Chavez St.",Named Organization Sources,City Hall (watchdog Hazel Williams),,provider of public records highlighting breaches in protocol
There were 178 people on the Department of Homelessness and Supportive Housing’s online waitlist for shelter on Monday afternoon.,Named Organization Sources,Department of Homelessness and Supportive Housing,,maintainer of the online waitlist for shelter
"All they do is tell me to go back to the Hunters Point Navigation Center. And I don’t want to do that. I had bad experiences,” he said.",Named Person Sources,Antonio Robinson,,"resident of the encampment, sharing personal experience"
"he begged for officers to bring over his two neat backpacks, which had his best clothes, documents, and “bits of silver.”",Named Person Sources,Joey O’Brien,,"resident of the encampment, interacting with law enforcement"
"I personally think it’s a little suspicious to do the sweep earlier. It doesn’t seem like the city wants attention on the encampment sweeps, and I don’t think they want people to see what happens during that process,” he said.",Named Person Sources,Julian Highsmith,Communications and Policy Director for the Coalition on Homelessness,expertise on the city's sweep protocols and advocate for the unhoused
“the policy clearly spells out how soiled items can be handled and our crews follow the policy and consistently apply its terms.”,Named Person Sources,Rachel Gordon,Public Works Spokesperson,official response to questions about potential breaches in protocol
"Between December 2022 and June of this year, a federal injunction prevented the city from penalizing people for sleeping on public property without an alternative offer for shelter.",Document Sources,Federal Court (injunction),,relevant to the city's policy change on penalizing people for sleeping on public property
"A federal survey released in May counted more than 8,000 unhoused people in the city, which has fewer than 4,000 shelter beds to offer.",Document Sources,Federal Survey (May),,provides data on the number of unhoused people and shelter beds in the city
"According to Public Works policy, staff are supposed to provide the resident of an encampment a “reasonable amount of time (approximately 30 minutes)” to sort through and collect their belongings before the camp is torn down.",Document Sources,Public Works Policy,,outlines the protocol for encampment sweeps
"as a recent batch of public records secured by City Hall watchdog Hazel Williams shows, Public Works has bagged medications, wheelchairs, and even a mobility walker from unhoused people, taking them to the city’s storage facility on Cesar Chavez St.",Document Sources,Public Records (secured by Hazel Williams),,provides evidence of breaches in protocol by Public Works
There were 178 people on the Department of Homelessness and Supportive Housing’s online waitlist for shelter on Monday afternoon.,Document Sources,Department of Homelessness and Supportive Housing’s online waitlist,,provides data on the demand for shelter in the city
"Dozens of people lined the sidewalks that had been swept just hours prior, fussing with their belongings, setting up new tents, and discreetly selling wares to one another.",Unnamed Group of People,people,,witnessed by Gazetteer SF after the rally at Jessie and Sixth streets in SoMa
"Many unhoused people, including Robinson, say it can be challenging to identify and retrieve their belongings at the facility.",Unnamed Group of People,unhoused people,,shared experience with the challenge of retrieving belongings at the storage facility
