SourcedStatement,SourceType,Name,Title,Justification
Republican Gov. Jim Pillen’s office did not immediately respond to messages Thursday by The Associated Press asking whether he would sign the bill into law.,Named Organization Sources,Republican Gov. Jim Pillen’s office,,Republican Gov. Jim Pillen’s office did not immediately respond to messages Thursday by The Associated Press asking whether he would sign the bill into law
"In Florida, lawmakers weakened a 2018 voter-approved constitutional amendment to restore the voting rights of most convicted felons.",Named Organization Sources,Florida lawmakers,,"In Florida, lawmakers weakened a 2018 voter-approved constitutional amendment to restore the voting rights of most convicted felons"
"Following that, an election police unit championed by Republican Gov. Ron DeSantis arrested 20 former felons.",Named Organization Sources,an election police unit championed by Republican Gov. Ron DeSantis,,"Following that, an election police unit championed by Republican Gov. Ron DeSantis arrested 20 former felons"
"In Tennessee, lawmakers on Wednesday killed a bipartisan bill for the year that would have let residents convicted of felonies apply to vote again without also restoring their gun rights.",Named Organization Sources,Tennessee lawmakers,,"In Tennessee, lawmakers on Wednesday killed a bipartisan bill for the year that would have let residents convicted of felonies apply to vote again without also restoring their gun rights"
"The bill, introduced for years by Omaha state Sen. Justin Wayne, passed by a wide margin in the last year of Wayne’s second term.",Named Person Sources,Justin Wayne,Omaha state Sen.,introduced for years by Omaha state Sen. Justin Wayne
"The passage of the bill “means everything for the thousands of people who have not been full participants in society,” said TJ King, a Nebraska-based outreach specialist with the advocacy group Black and Pink who was unable to vote in the 2022 general election after coming off probation for drug and theft convictions three months earlier.",Named Person Sources,TJ King,Nebraska-based outreach specialist with the advocacy group Black and Pink,a Nebraska-based outreach specialist with the advocacy group Black and Pink who was unable to vote in the 2022 general election after coming off probation for drug and theft convictions three months earlier
King said the bill’s passage is the final layer in his ability to be civically engaged and “have a full voice and complete connection to the community.”,Named Person Sources,TJ King,Nebraska-based outreach specialist with the advocacy group Black and Pink,a Nebraska-based outreach specialist with the advocacy group Black and Pink who was unable to vote in the 2022 general election after coming off probation for drug and theft convictions three months earlier
"“Studies have shown that if you allow people to engage in their community upon being released, the recidivism rate drops,” Wayne said during a public hearing for the bill last year.",Named Person Sources,Justin Wayne,Omaha state Sen.,introduced for years by Omaha state Sen. Justin Wayne
"“We spend on average $42,000 a year on prisoners, of which we have around a 30 percent recidivism rate.",Named Person Sources,Justin Wayne,Omaha state Sen.,introduced for years by Omaha state Sen. Justin Wayne
"“One year, I brought in a little chart that says if we just cut it by 10 percent, we’re saving around $5 million a year.”",Named Person Sources,Justin Wayne,Omaha state Sen.,introduced for years by Omaha state Sen. Justin Wayne
"As a result, voting rights have been restored to over 2 million people, said Nicole Porter, senior director of advocacy at The Sentencing Project.",Named Person Sources,Nicole Porter,senior director of advocacy at The Sentencing Project,senior director of advocacy at The Sentencing Project
"As of October 2023, 26 states and the District of Columbia had expanded voting rights to people living with felony convictions, according to The Sentencing Project, a nonprofit sentencing advocacy group that studies criminal justice policy.",Document Sources,The Sentencing Project,,a nonprofit sentencing advocacy group that studies criminal justice policy
