SourcedStatement,SourceType,Name,Title,Justification
"The Wyoming Legislature, where the GOP controls over 90% of the seats, passed legislation last year banning voters from changing their party registration in the three months before the August primary.",Named Organization Sources,Wyoming Legislature,,The Wyoming Legislature passed legislation last year banning voters from changing their party registration in the three months before the August primary.
"Her neighbors call her “the crazy Democrat,” although it’s more a term of endearment than derision.",Named Person Sources,Becky Blackburn,Paralegal for the Republican county attorney,"Becky Blackburn is one of just 32 Democrats left in Niobrara County, Wyoming."
"“Normally I just roll my eyes and walk away because I’m fighting a losing battle and I’m fully aware of that,” she said. “Maybe that is why I’m well-liked, because I keep my mouth shut 10 times more than I want to.”",Named Person Sources,Becky Blackburn,Paralegal for the Republican county attorney,"Becky Blackburn is one of just 32 Democrats left in Niobrara County, Wyoming."
"“I won two elections here. Even though that’s nonpartisan, people still knew I had left-leaning values,” she said.",Named Person Sources,Becky Blackburn,Paralegal for the Republican county attorney,"Becky Blackburn is one of just 32 Democrats left in Niobrara County, Wyoming."
"“You feel skeevy and dirty when you do it. But you do it anyway and you change it back as soon as you can, because you don’t want to start getting the Republican mailings,” Blackburn said.",Named Person Sources,Becky Blackburn,Paralegal for the Republican county attorney,"Becky Blackburn is one of just 32 Democrats left in Niobrara County, Wyoming."
"“I am who I am, and I have the views that I have,” she said. “And I don’t care if it bothers people or not.”",Named Person Sources,Becky Blackburn,Paralegal for the Republican county attorney,"Becky Blackburn is one of just 32 Democrats left in Niobrara County, Wyoming."
"Party-switching had “undermined the sanctity of Wyoming’s primary process,” Wyoming’s Republican secretary of state, Chuck Gray, said in a statement of approval.",Named Person Sources,Chuck Gray,Wyoming’s Republican secretary of state,Chuck Gray is Wyoming’s Republican secretary of state.
"“How far are they going to go to limit one’s ability to vote? If it really comes down to purifying the party, on a voting level all the way up to the elected officials, pretty soon there isn’t going to be anyone left who’s pure enough to be in the party,” Diercks said.",Named Person Sources,Ross Diercks,Former middle school English teacher,Ross Diercks was a Democratic state representative in Wyoming.
"“The best way to participate in meaningful change is to try to sway the dominant party,” said Jordan, who lives in Niobrara County. “You know, we need to have a government that serves the people, all of them, not just Republicans and not just rural and not just urban and not just Democrats — and definitely not just the rich and the wealthy.”",Named Person Sources,Pat Jordan,Truck driver,Pat Jordan is a truck driver who supports many left-leaning goals.
"“Most people don’t want to dive into those type of discussions,” he said. “They respect you for what you do, how you work.”",Named Person Sources,Ed Fullmer,High school boys basketball coach,Ed Fullmer coached the Tigers to their best record in a decade.
"Niobrara County’s Democrats, who account for just 2.6% of registered voters, are the most outnumbered by Republicans in the 30 states that track local party affiliation, according to Associated Press election data.",Document Sources,Associated Press,,Associated Press election data
"Nationwide, Democrats account for fewer than 3% of voters in three counties this year, up from one county in 2020 but down from seven in 2016. There were none with such a low percentage of Democratic registrations in the presidential election years of 2012, 2008 and 2004, according to the AP data.",Document Sources,Associated Press,,AP data
