SourcedStatement,SourceType,Name,Title,Justification
"In Kansas, lawyers for the American Civil Liberties Union have drafted a letter reminding election workers that a gender marker on a person’s identification does not need to match or correspond to a voter’s gender expression.",Named Organization Sources,American Civil Liberties Union,,lawyers for the American Civil Liberties Union have drafted a letter reminding election workers
Staff for the organization have also held clinics elsewhere to prepare trans Americans for the identification requirements they will have to navigate.,Named Organization Sources,American Civil Liberties Union,,Staff for the organization have also held clinics elsewhere
"In eight battleground states, the nonprofit VoteRiders is on the ground helping voters get the identification they need to cast ballots in the November election — and one that reflects who they are.",Named Organization Sources,VoteRiders,,the nonprofit VoteRiders is on the ground helping voters get the identification they need
"Equality Florida, the state’s leading LGBTQ+ advocacy group, is holding “know your rights” trainings in the wake of new regulations barring many transgender voters from obtaining photo identification that reflects their gender.",Named Organization Sources,Equality Florida,,the state’s leading LGBTQ+ advocacy group
"The ACLU sued the agency for discrimination, claiming the rule was adopted illegally because it didn’t follow proper administrative procedure.",Named Organization Sources,ACLU,,"sued the agency for discrimination, claiming the rule was adopted illegally"
"The ACLU, which is tracking some of these laws and rules, has tried to prepare election workers on how to process trans voters who come into their polling sites.",Named Organization Sources,ACLU,,which is tracking some of these laws and rules
VoteRiders is conducting year-round voter education.,Named Organization Sources,VoteRiders,,conducting year-round voter education
"“There is a chilling effect,” said Lauren Kunis, CEO and executive director of VoteRiders, which helps voters obtain identification. “There is an unsafe and intimidating environment around existing as trans in society, and definitely in being able to go to the polls safely and cast a ballot.”",Named Person Sources,Lauren Kunis,CEO and executive director of VoteRiders,which helps voters obtain identification
"“A lot is falling on poll workers to correctly enforce the law,” Kunis added. “And I would argue that is less of a solid protection in states where anti-trans rhetoric is skyrocketing.”",Named Person Sources,Lauren Kunis,CEO and executive director of VoteRiders,which helps voters obtain identification
"“Trans votes count,” said Ankit Rastogi, director of research for the National Center for Transgender Equality, which conducted the survey and will soon be known as Advocates for Trans Equality Education Fund. “I think the big takeaway is that our community is really trying to come out and make a difference through the democratic process.”",Named Person Sources,Ankit Rastogi,director of research for the National Center for Transgender Equality,which conducted the survey and will soon be known as Advocates for Trans Equality Education Fund
"“Trans people, just like everyone else, want to be able to travel, start new jobs, open bank accounts, enroll in school, vote — all of those things require some form of ID. And so when a state goes out of its way to enforce its message about its belief about sex and gender on a license, and transgender people then have to publicize that when they show other people, it creates a dangerous environment,” he said.",Named Person Sources,Lucas Cameron-Vaughn,attorney for the ACLU of Tennessee,
"“It’s a tactic that’s designed to splinter support for trans rights and suggest sort of who is harmed by protecting trans people — to frame that as cisgender women being the people harmed by protections for trans people,” said Rose Saxe, who is deputy project director for the ACLU’s LGBT & HIV Project.",Named Person Sources,Rose Saxe,deputy project director for the ACLU’s LGBT & HIV Project,
"“We saw it as a move to inflict maximum chaos and misunderstanding,” Diaz said. “And really to scare trans folks from even participating and getting the license if they needed to update it.”",Named Person Sources,Quinn Diaz,public policy associate at advocacy group Equality Florida,
"“With these laws in Florida, you’re forced to choose between living authentically and just not really participating in public life,” Diaz said.",Named Person Sources,Quinn Diaz,public policy associate at advocacy group Equality Florida,
"“I can imagine that a lot of trans folks in Florida who might not have access ... to an accurate and affirming ID might not want to engage in that process at all, especially in such a heightened political environment,” Diaz said.",Named Person Sources,Quinn Diaz,public policy associate at advocacy group Equality Florida,
"“Gender nonconforming people are already under such public scrutiny nationwide,” Diaz said. “That’s when you’re gonna see the convergence of those two elements. It really seems like it would only result in more discrimination, more discomfort for trans people, more interrogation and potentially just being turned away.”",Named Person Sources,Quinn Diaz,public policy associate at advocacy group Equality Florida,
"“They won’t stop me, but I can see how it would stop others,” she said. “It is almost certainly stopping some people from showing up at the polls.”",Named Person Sources,Hazel Krebs,,"a 42-year-old transgender woman living in Kansas, one of the states with a new anti-trans law"
"“Something that’s very frustrating for us at VoteRiders is you will never be able to capture the number of people who do not feel safe voting, and who therefore stay home. And you also won’t be able to capture the people who are trans and show up to try and vote and are turned away.” Kunis said. “And we know that is happening, but it is difficult to quantify.”",Named Person Sources,Lauren Kunis,CEO and executive director of VoteRiders,which helps voters obtain identification
"“There are definitely the physical dangers, the dangers for harassment, discrimination — but also ultimately, voter suppression,” he said.",Named Person Sources,Lucas Cameron-Vaughn,attorney for the ACLU of Tennessee,
"“It really shows the resiliency of the trans community to ensure that our voices are heard and we have visibility at the ballot box,” she said.",Named Person Sources,Josie Caballero,director of voting and elections for the group that conducted the 2022 U.S. Transgender Survey,
"“There’s nothing these laws will do to stop me from living my best life,” she said. “It just puts my energy and passion towards making this place better for me and other trans people.”",Named Person Sources,Hazel Krebs,,"a 42-year-old transgender woman living in Kansas, one of the states with a new anti-trans law"
"At least nine states in the past two years have explicitly regulated gender in this way, according to a tally by the Movement Advancement Project (MAP), which tracks LGBTQ+ policy.",Document Sources,Movement Advancement Project (MAP),,which tracks LGBTQ+ policy
"An analysis released in August of respondents to the 2022 U.S. Transgender Survey, widely seen as the most comprehensive study of binary and nonbinary transgender Americans, found that voting-eligible trans people had cast ballots in the last presidential election at a higher rate than the U.S. population.",Document Sources,2022 U.S. Transgender Survey,,widely seen as the most comprehensive study of binary and nonbinary transgender Americans
"Nearly 21 million voting-eligible U.S. citizens do not have a current driver’s license, according to the Center for Democracy and Civic Engagement at the University of Maryland, whose research was partially supported by VoteRiders.",Document Sources,Center for Democracy and Civic Engagement at the University of Maryland,,whose research was partially supported by VoteRiders
"The Williams Institute at the University of California, Los Angeles School of Law, estimated ahead of the 2022 midterm election that more than 200,000 voting-eligible transgender Americans may find it difficult to vote at the time because of voter ID laws.",Document Sources,"The Williams Institute at the University of California, Los Angeles School of Law",,estimated ahead of the 2022 midterm election
"The ripple effect could extend beyond trans people, these advocates warn. Regulations around gender impact cisgender people, particularly women and women of color.",Unnamed Group of People,advocates,,these advocates warn
America’s decentralized elections system relies on a temporary workforce tasked with enforcing varying policies around identification rules.,Unnamed Group of People,temporary workforce,,tasked with enforcing varying policies around identification rules
"In states that require voters to “reasonably resemble” the picture on their ID, like North Carolina and Wisconsin, the results could ensnare anyone at the ballot box who doesn’t fit the binary concept of masculinity and femininity traits.",Unnamed Group of People,voters,,who doesn’t fit the binary concept of masculinity and femininity traits
"Since 2020, many Republican-controlled states have passed laws expanding the authority of those temporary election observers who work elections under certain rules and may feel compelled to stop someone from voting under the guise of stopping widespread election fraud, which has been repeatedly debunked.",Unnamed Group of People,temporary election observers,,who work elections under certain rules and may feel compelled to stop someone from voting under the guise of stopping widespread election fraud
