SourcedStatement,SourceType,Name,Title,Justification
"According to Mayor London Breed, the intention is to clean up sidewalks and force unhoused people into the city’s labyrinthine network of shelter and supportive housing programs.",Named Organization Sources,Mayor London Breed,,Mayor London Breed’s office is responsible for the city’s policies on encampment sweeps.
"In a response to Gazetteer's questions about potential breaches in protocol, Public Works spokesperson Rachel Gordon only noted that ""the policy clearly spells out how soiled items can be handled and our crews follow the policy and consistently apply its terms.""",Named Organization Sources,Public Works,,Public Works is responsible for the city’s encampment sweeps and property handling policies.
Gordon said claims for lost property can be filed with the City Attorney's office.,Named Organization Sources,City Attorney's office,,The City Attorney's office handles claims for lost property from encampment sweeps.
"In order to bring public attention to the moral question of sweeps, the Coalition on Homelessness and other unhoused advocates planned to crash an encampment sweep in SoMa last Thursday, which had been scheduled for 12:30 p.m.",Named Organization Sources,Coalition on Homelessness,,The Coalition on Homelessness is an advocacy group for unhoused people.
"Robinson’s last encampment was swept about a month ago, and “nearly everything” was taken, including his state ID card, he said.",Named Person Sources,Antonio Robinson,null,"Robinson had chosen to set up camp near Palou Ave. and Griffith St. in Hunters Point, on a dead-end road surrounded by industrial buildings."
"“All they do is tell me to go back to the Hunters Point Navigation Center. And I don’t want to do that. I had bad experiences,” he said.",Named Person Sources,Antonio Robinson,null,"Robinson had chosen to set up camp near Palou Ave. and Griffith St. in Hunters Point, on a dead-end road surrounded by industrial buildings."
"Joey O’Brien, 46, tried to explain to police officers that he was camping on the sidewalk in Hunters Point while investigating a homicide that occurred while he was in jail.",Named Person Sources,Joey O’Brien,null,O’Brien was camping on the sidewalk in Hunters Point while investigating a homicide that occurred while he was in jail.
"“I don’t understand,” O’Brien kept repeating.",Named Person Sources,Joey O’Brien,null,O’Brien was camping on the sidewalk in Hunters Point while investigating a homicide that occurred while he was in jail.
"“I personally think it’s a little suspicious to do the sweep earlier. It doesn’t seem like the city wants attention on the encampment sweeps, and I don’t think they want people to see what happens during that process,” he said.",Named Person Sources,Julian Highsmith,communications and policy director for the Coalition on Homelessness,Highsmith is the communications and policy director for the Coalition on Homelessness.
"According to Public Works policy, staff are supposed to provide the resident of an encampment a “reasonable amount of time (approximately 30 minutes)” to sort through and collect their belongings before the camp is torn down.",Document Sources,Public Works,,"Public Works policy and procedure for documenting, bagging, and tagging most belongings."
"A federal survey released in May counted more than 8,000 unhoused people in the city, which has fewer than 4,000 shelter beds to offer.",Document Sources,federal survey,,A federal survey released in May.
"Instead, a small group of protesters regrouped at City Hall for a series of chants and short speeches, holding a symbolic police citation for Breed that accused her of violating human rights.",Unnamed Group of People,protesters,,"The group planned live performances, speeches, and outreach, to take place at the same time as SFPD and Department of Public Works enforcement."
"Dozens of people lined the sidewalks that had been swept just hours prior, fussing with their belongings, setting up new tents, and discreetly selling wares to one another.",Unnamed Group of People,people,,A visit to Jessie and Sixth streets in SoMa after the rally showed how futile these sweeps can be.
