SourcedStatement,SourceType,Name,Title,Justification
"Wilburn and the student anti-racism network support a bill, which the Vermont House passed in a landslide vote on Wednesday, that would prohibit racial discrimination by hair types, textures and styles.",Named Organization Sources,student anti-racism network,,"Wilburn and the student anti-racism network support a bill, which the Vermont House passed in a landslide vote on Wednesday, that would prohibit racial discrimination by hair types, textures and styles."
"H.363 would expand the state’s anti-discrimination statute, which forbids discrimination at public places such as schools, stores and restaurants, in housing, and its fair employment practices law, which covers discrimination in the workplace. The bill was approved 132-5 in the House and will now head to the Senate.",Named Organization Sources,Vermont House,,"H.363 would expand the state’s anti-discrimination statute, which forbids discrimination at public places such as schools, stores and restaurants, in housing, and its fair employment practices law, which covers discrimination in the workplace. The bill was approved 132-5 in the House and will now head to the Senate."
Aaliyah Wilburn moved to Vermont two years ago and has faced more hair discrimination here than ever before.,Named Person Sources,Aaliyah Wilburn,leader with the Vermont Student Anti-Racism Network,"Aaliyah Wilburn, a leader with the Vermont Student Anti-Racism Network, has faced more hair discrimination in Vermont than ever before."
"“She then told me that I felt like a sheep and she imitated the noises of one,” said Wilburn, a leader with the Vermont Student Anti-Racism Network.",Named Person Sources,Aaliyah Wilburn,leader with the Vermont Student Anti-Racism Network,"Aaliyah Wilburn, a leader with the Vermont Student Anti-Racism Network, has faced more hair discrimination in Vermont than ever before."
"Once, when she was wearing a head covering because she was in the midst of braiding her hair, Wilburn said a student pulled it off and ran away in the school hall.",Named Person Sources,Aaliyah Wilburn,leader with the Vermont Student Anti-Racism Network,"Aaliyah Wilburn, a leader with the Vermont Student Anti-Racism Network, has faced more hair discrimination in Vermont than ever before."
"When she wore a headwrap another time, students said she looked like Marge Simpson and that she looked too African for their comfort. “Later in the day, someone took it off me,” she said.",Named Person Sources,Aaliyah Wilburn,leader with the Vermont Student Anti-Racism Network,"Aaliyah Wilburn, a leader with the Vermont Student Anti-Racism Network, has faced more hair discrimination in Vermont than ever before."
"“I wouldn’t be scared of going out with a bonnet or a head wrap if this bill was in place at the time of these incidents,” she said in an email.",Named Person Sources,Aaliyah Wilburn,leader with the Vermont Student Anti-Racism Network,"Aaliyah Wilburn, a leader with the Vermont Student Anti-Racism Network, has faced more hair discrimination in Vermont than ever before."
"Addie Lentzner, executive director of the student anti-racism network, said she has seen hair discrimination in schools — not just in policies and norms but also in the form of microaggressions and racial bias.",Named Person Sources,Addie Lentzner,executive director of the student anti-racism network,"Addie Lentzner, executive director of the student anti-racism network, has seen hair discrimination in schools."
"“I think it’s a huge problem in our schools and this bill would help address it,” Lentzner said.",Named Person Sources,Addie Lentzner,executive director of the student anti-racism network,"Addie Lentzner, executive director of the student anti-racism network, has seen hair discrimination in schools."
"Modeled after language promoted as the CROWN Act and already enacted in 23 other states, including New York and Maine, the bill aims to prevent “an erasure and minimization of the experiences of marginalized people,” particularly Black and brown people, Rep. Saudia LaMont, D-Morristown, said during a preliminary vote on the bill Tuesday.",Named Person Sources,Rep. Saudia LaMont,D-Morristown,"Rep. Saudia LaMont, D-Morristown, said during a preliminary vote on the bill Tuesday that the bill aims to prevent 'an erasure and minimization of the experiences of marginalized people,' particularly Black and brown people."
"For her daughter, she said, it first occurred in pre-school. While picking up her daughter one afternoon she said she was dismayed to find her wearing a stop sign on her chest that read, “Please ask to touch my hair.”",Named Person Sources,Rep. Saudia LaMont,D-Morristown,"Rep. Saudia LaMont, D-Morristown, said during a preliminary vote on the bill Tuesday that the bill aims to prevent 'an erasure and minimization of the experiences of marginalized people,' particularly Black and brown people."
"A teacher explained that her daughter was reacting to several instances of students touching and petting her hair without her consent, LaMont continued. “So it was in fact my 4-year-old’s idea to make a sign as a signal to her peers to stop violating her body and personal space,” she said.",Named Person Sources,Rep. Saudia LaMont,D-Morristown,"Rep. Saudia LaMont, D-Morristown, said during a preliminary vote on the bill Tuesday that the bill aims to prevent 'an erasure and minimization of the experiences of marginalized people,' particularly Black and brown people."
"In another incident, her daughter’s dance teacher asked to have her recently installed braids taken out so the child’s hair could be put up in a bun to look like the majority of the other white kids in the class.",Named Person Sources,Rep. Saudia LaMont,D-Morristown,"Rep. Saudia LaMont, D-Morristown, said during a preliminary vote on the bill Tuesday that the bill aims to prevent 'an erasure and minimization of the experiences of marginalized people,' particularly Black and brown people."
"LaMont outlined to her House colleagues on Tuesday the ways in which caring for Black hair is a process. It can take a day to wash, dry and detangle and protective styling, such as box braids or twists, can involve 8 to 22 hours of work.",Named Person Sources,Rep. Saudia LaMont,D-Morristown,"Rep. Saudia LaMont, D-Morristown, said during a preliminary vote on the bill Tuesday that the bill aims to prevent 'an erasure and minimization of the experiences of marginalized people,' particularly Black and brown people."
