SourcedStatement,SourceType,Name,Title,Justification
"The pilot program will allow researchers to track its impact in a large, diverse region, said Sean Kline, director of the Stanford Basic Income Lab, which studies guaranteed income programs across the country.",Named Organization Sources,Stanford Basic Income Lab,,The Stanford Basic Income Lab studies guaranteed income programs across the country.
"Researchers at the University of Pennsylvania are surveying the 1,000 Breathe participants, along with a control group of people not receiving funds.",Named Organization Sources,University of Pennsylvania,,"Researchers at the University of Pennsylvania are surveying the 1,000 Breathe participants, along with a control group of people not receiving funds."
"The program’s coaches, provided through Wilmington-based Strength Based Community Change, personally support participants as their lives change.",Named Organization Sources,Strength Based Community Change,,"The program’s coaches, provided through Wilmington-based Strength Based Community Change, personally support participants as their lives change."
"""With all the struggling I was doing, my attitude took a hit,"" Kahlia said. ""The more you witness yourself being down and out, the more you feel down and out, and the more stuck you feel.""",Named Person Sources,Kipp Kahlia,null,"Kipp Kahlia, a Long Beach guitarist, was selected as one of 1,000 participants in L.A. County’s guaranteed income program, called Breathe."
"""Whenever L.A. city or county or Chicago or New York do something bold like this, it’s a really important signal that this big policy idea found its footing during COVID and represents a possible way forward in terms of supporting low income people across America,"" Kline said.",Named Person Sources,Sean Kline,Director of the Stanford Basic Income Lab,"Sean Kline, director of the Stanford Basic Income Lab, which studies guaranteed income programs across the country."
"""There is so much we don’t know yet,"" Castro said. ""We don’t know how long people need to receive cash to create what level of change.""",Named Person Sources,Amy Castro,Director of Penn’s Center for Guaranteed Income Research,"Amy Castro, director of Penn’s Center for Guaranteed Income Research, is surveying the 1,000 Breathe participants, along with a control group of people not receiving funds."
"""I’m probably getting more comfortable with spending money,"" she said. ""Just learning to say yes to stuff. There’s some stuff that, at the beginning of the program I felt was, you know, almost extravagant. And now I’m like ‘Oh my god, I really needed that for my business to move forward.’""",Named Person Sources,Kipp Kahlia,null,"Kipp Kahlia, a Long Beach guitarist, was selected as one of 1,000 participants in L.A. County’s guaranteed income program, called Breathe."
"""People need help with normal, everyday interactions that may be easy for some individuals,"" he said. ""But for others, they don’t have any prior experience with them.""",Named Person Sources,Brian Arredondo,Coach for program participants,"Brian Arredondo, a coach for program participants, regularly checks in with about 300 participants."
"""It can’t just be the money,"" Fournier said. ""It’s the opportunity and the access to experiences sometimes that really make a big difference when there is even a little bit more resources folks can have.""",Named Person Sources,Ely Fournier,Overseer of the program coaches at Strength Based Community Change,"Ely Fournier, who oversees the program coaches at Strength Based Community Change, stresses how no-strings-attached cash not only improves peoples’ financial situations, but gives them peace of mind and improves mental health."
"Participants report feeling more free to spend money on self care, outings with family members or sharing their wealth with community members.",Unnamed Group of People,Participants,,"Participants in the Breathe program report feeling more free to spend money on self care, outings with family members or sharing their wealth with community members."
