SourcedStatement,SourceType,Name,Title,Justification
"Los Angeles and Sacramento counties are the two other most popular California destinations, according to SF’s Department of Homelessness and Supportive Housing and the Human Services Agency.",Named Organization Sources,SF’s Department of Homelessness and Supportive Housing and the Human Services Agency,,according to SF’s Department of Homelessness and Supportive Housing and the Human Services Agency
"When asked for comment, the San Francisco mayor’s office said it had not received the letter.",Named Organization Sources,San Francisco mayor’s office,,"When asked for comment, the San Francisco mayor’s office said it had not received the letter."
"“We were dismayed to learn that our small, rural county was among the top three destinations in the state where people experiencing homelessness were sent by the program,” states a draft of the letter to San Francisco Mayor London Breed that can be seen on the Humboldt County website.",Named Person Sources,Humboldt County officials,County officials,Humboldt County officials voted Tuesday to send a letter raising the alarm about San Francisco’s plans to bus homeless people out of the city.
"“We are concerned that providing bus tickets to other jurisdictions without verifying access to housing, family support or employment does not alleviate homelessness; it simply shifts the person to another county,” Humboldt’s letter says.",Named Person Sources,Humboldt County officials,County officials,Humboldt County officials voted Tuesday to send a letter raising the alarm about San Francisco’s plans to bus homeless people out of the city.
“We urge you to ensure that Journey Home participants have the support they need to obtain housing and employment before they receive transportation assistance to Humboldt County. Let’s act together in partnership to alleviate homelessness throughout our state.”,Named Person Sources,Humboldt County officials,County officials,Humboldt County officials voted Tuesday to send a letter raising the alarm about San Francisco’s plans to bus homeless people out of the city.
"“The aim isn’t to achieve a goal. It’s to get you out of our town, and it’s cheaper than arresting you,” Boden said.",Named Person Sources,Paul Boden,Homeless advocate with the Western Regional Advocacy Project,"Paul Boden, a homeless advocate with the Western Regional Advocacy Project"
“The No. 1 answer to homelessness is to make them disappear. Then mayors write letters back and forth: ‘Stop sending your people here.’ Then it turns out they’re sending their people here. It shows the ridiculousness of us not trying to address why people are on the streets.”,Named Person Sources,Paul Boden,Homeless advocate with the Western Regional Advocacy Project,"Paul Boden, a homeless advocate with the Western Regional Advocacy Project"
"“Our TAP program works really well, and hopefully San Francisco can go back to more — not just dumping — but assisting and actually helping people get help,” Humboldt Supervisor Rex Bohn said at Tuesday’s board meeting.",Named Person Sources,Rex Bohn,Humboldt Supervisor,Humboldt Supervisor Rex Bohn said at Tuesday’s board meeting
But new data obtained by The Standard from Humboldt’s own relocation program show that the county’s homeless people were bused to San Francisco on four occasions between October and March.,Document Sources,Humboldt’s own relocation program,,new data obtained by The Standard from Humboldt’s own relocation program
"According to the program’s website, social services staffers verify that those who use TAP will be received at their destination by a relative, friend, or appropriate agency.",Document Sources,Humboldt’s Transportation Assistance Program,,According to the program’s website
