SourcedStatement,SourceType,Name,Title,Justification
"The answer: Police, as confirmed by a 16% rise in dispatch calls.",Named Organization Sources,Police,,"The answer: Police, as confirmed by a 16% rise in dispatch calls"
That’s why the state is helping local leaders study and share information in Brattleboro — as well as in Bennington and Springfield — so authorities and agencies can collaborate on how to address disorderly conduct among the most-cited offenders.,Named Organization Sources,the state,,the state is helping local leaders study and share information in Brattleboro — as well as in Bennington and Springfield — so authorities and agencies can collaborate on how to address disorderly conduct among the most-cited offenders
"Groundworks Collaborative, for example, helps local people without permanent housing (its outreach team reports contact with 159 such individuals so far this year).",Named Organization Sources,Groundworks Collaborative,,"Groundworks Collaborative, for example, helps local people without permanent housing"
"To that end, the Brattleboro Police Department is creating a Hotspot Evaluation and Analysis Team to extend “in-depth data related to trends, problem locations, safety concerns, and high-volume users of town services,” Evans said in his memo.",Named Organization Sources,Brattleboro Police Department,,"the Brattleboro Police Department is creating a Hotspot Evaluation and Analysis Team to extend “in-depth data related to trends, problem locations, safety concerns, and high-volume users of town services”"
"“Jaws dropped,” Jim Baker, a consultant for a state public safety enhancement initiative, recounted at a recent public meeting.",Named Person Sources,Jim Baker,consultant for a state public safety enhancement initiative,"Jim Baker, a consultant for a state public safety enhancement initiative, recounted at a recent public meeting"
"“The 20 people that are consuming a lot of resources clearly need some, but they’re not getting the right ones,” Brattleboro Assistant Police Chief Jeremy Evans recently told the town selectboard.",Named Person Sources,Jeremy Evans,Brattleboro Assistant Police Chief,Brattleboro Assistant Police Chief Jeremy Evans recently told the town selectboard
"“Compared to communities your size, you are consistently higher,” Baker, former commander of the Vermont State Police and one-time Rutland City police chief, recently told local leaders of their figures.",Named Person Sources,Baker,former commander of the Vermont State Police and one-time Rutland City police chief,"Baker, former commander of the Vermont State Police and one-time Rutland City police chief, recently told local leaders of their figures"
"“The disorder we are witnessing, especially in our downtown area, has many causes and impacts,” Evans wrote the selectboard in a recent memorandum.",Named Person Sources,Evans,Brattleboro Assistant Police Chief,Evans wrote the selectboard in a recent memorandum
"“You have a lot of people looking for help,” Evans said, “but there’s a small percentage that, for whatever reason, are unable or unwilling to accept it.”",Named Person Sources,Evans,Brattleboro Assistant Police Chief,Evans said
"“Unfortunately, many of those are providers,” Evans said, “which creates a huge, huge problem.”",Named Person Sources,Evans,Brattleboro Assistant Police Chief,Evans said
"“This is something that we see in a lot of different jurisdictions,” Robin Joy, the Crime Research Group’s statistical director, told local leaders at another meeting.",Named Person Sources,Robin Joy,Crime Research Group’s statistical director,"Robin Joy, the Crime Research Group’s statistical director, told local leaders at another meeting"
"“This is where the community service providers can really help,” she said of the latter percentage.",Named Person Sources,Robin Joy,Crime Research Group’s statistical director,"Robin Joy, the Crime Research Group’s statistical director, told local leaders at another meeting"
"“We need to consider our own boundaries around increasing safety and reducing risks,” Groundworks executive director Libby Bennett said upon this April’s first anniversary of the death.",Named Person Sources,Libby Bennett,Groundworks executive director,Groundworks executive director Libby Bennett said upon this April’s first anniversary of the death
"“All of us area agencies, we are doing everything humanly possible that we can do,” said Christine Allen, executive director of Turning Point of Windham County.",Named Person Sources,Christine Allen,executive director of Turning Point of Windham County,"Christine Allen, executive director of Turning Point of Windham County, said"
"“It was an epiphany,” Baker said. “When you have 20 people who account for some 5% of calls for service and they’re getting passed from one agency to another, there’s not a level of accountability that needs to happen.”",Named Person Sources,Baker,former commander of the Vermont State Police and one-time Rutland City police chief,Baker said
"“We were looking at real information that made us have some quite difficult conversations,” Quipp said following the session.",Named Person Sources,Quipp,chair of the selectboard and a staff member of the antipoverty agency Southeastern Vermont Community Action,Quipp said following the session
"“Here’s the name of this person who has trespassed at this place, this place, this place, this place, this place and we know that they need these kinds of services. What can we do as a group of people who are working together to try to make a better, safer Brattleboro to actually meet that person’s needs?”",Named Person Sources,Quipp,chair of the selectboard and a staff member of the antipoverty agency Southeastern Vermont Community Action,Quipp said following the session
"“This points to a need,” Joy said, “to collaborate beyond your borders.”",Named Person Sources,Joy,Crime Research Group’s statistical director,Joy said
"When local police studied the nearly 29,000 calls they’ve received in the past three years, they discovered the 20 people most cited for problems accounted for 1,700 — or 6% — of all complaints.",Document Sources,local police,,"local police studied the nearly 29,000 calls they’ve received in the past three years"
"A study by the Vermont nonprofit Crime Research Group shows Brattleboro police are dispatched most to the local Quality Inn, where the state is housing people otherwise without shelter (authorities received 181 calls there in the first half of this year), as well as to such downtown locations as the Whetstone path park (112 calls so far in 2024), the Groundworks Collaborative shelter (93) and Transportation Center parking garage (57).",Document Sources,Vermont nonprofit Crime Research Group,,"A study by the Vermont nonprofit Crime Research Group shows Brattleboro police are dispatched most to the local Quality Inn, where the state is housing people otherwise without shelter"
"But when authorities identified the offenders to area social service agencies, both groups saw that many on the list faced no-trespass notices at the programs that could help them.",Unnamed Group of People,authorities,,authorities identified the offenders to area social service agencies
"The providers recognized those folks and came to the realization that if they’re falling through the cracks in their system, who ends up dealing with them?",Unnamed Group of People,providers,,"The providers recognized those folks and came to the realization that if they’re falling through the cracks in their system, who ends up dealing with them?"
"Those who spoke said providers and police had yet to find an answer to the no-trespass question, although all expressed hope they could figure out ways to collaborate.",Unnamed Group of People,providers and police,,"Those who spoke said providers and police had yet to find an answer to the no-trespass question, although all expressed hope they could figure out ways to collaborate."
