SourcedStatement,SourceType,Name,Title,Justification
"The property owners are represented by the nonprofit Institute for Justice, a public interest law firm.",Named Organization Sources,Institute for Justice,,The Institute for Justice is the legal representative for the landowners.
"The railroad project involves constructing a 4.5-mile rail spur to connect the Hanson Quarry, a rock mine owned by Heidelberg Materials, to a main train line along a nearby highway.",Named Organization Sources,Heidelberg Materials,,"Heidelberg Materials is the owner of the Hanson Quarry, which is directly involved in the railroad project."
"Benjamin Tarbutton III, the owner of Sandersville Railroad, has contended this development is expected to create 20 temporary construction jobs, a dozen permanent jobs with an average salary and benefits package of $90,000, and generate over $1.5 million annually for Hancock County.",Named Organization Sources,Sandersville Railroad,,Sandersville Railroad is the company seeking to acquire the land through eminent domain.
"Blaine Smith, a Black man who is one of the heirs of 600 acres that came into their family in the 1920s, said in a statement: “We’re determined to keep fighting against this attempt to take our ancestral land from us.”",Named Person Sources,Blaine Smith,heir,Blaine Smith is directly affected by the decision and is a key stakeholder in the case.
"“We want to keep our property whole, so we can pass it down to our children and they can continue to build generational wealth,” Smith added.",Named Person Sources,Blaine Smith,heir,Blaine Smith is directly affected by the decision and is a key stakeholder in the case.
"“Georgia law does not permit a private company to take land through eminent domain unless the land will be put to a public use,” said Bill Maurer, senior attorney for Institute for Justice who represents the landowners.",Named Person Sources,Bill Maurer,senior attorney,Bill Maurer is the legal representative for the landowners and provides expert legal opinion.
"“The reality is if you’ve ever lived near a train, or you’ve ever ridden on a train or been near a train, it’s not the same as trucks driving by,” Rush said last year. “Even if the train is not going through your property, the fact that a train is near your property — all of the noise pollution, the vibrations of a train … all of that affects your property value, your peace of mind and your home.”",Named Person Sources,Jamie Rush,senior staff attorney,Jamie Rush represents the No Railroad In Our Community Coalition and provides expert legal and environmental opinion.
"“I truly hate to have to say this, but if David v. Goliath had been decided by the GA Public Service Commission, they’d have confiscated David’s slingshot and handed it to the Philistines,” Fyre wrote.",Named Person Sources,Spencer Fyre,Georgia state Rep.,Spencer Fyre is a state representative who has publicly criticized the decision.
"The proposed condemnation … serves a legitimate public purpose and is necessary for the proper accommodation of the business,” Bond wrote. “The petition of Sandersville Railroad, as amended, is granted.",Document Sources,Georgia Public Service Commission,,The statement is a direct quote from the hearing officer's decision document.
"The decision disappointed the landowners, who were not allowed to speak at the meeting but issued a statement vowing to continue fighting to keep their land by appealing in court.",Unnamed Group of People,landowners,,The landowners were directly affected by the decision and are the primary stakeholders in the case.
Other residents told Capital B they feared potential damage to their homes from the train.,Unnamed Group of People,residents,,These residents are part of the community affected by the railroad project.
