SourcedStatement,SourceType,Name,Title,Justification
"The L.A. City Council, which sets policy, has been at the center of that tension.",Named Organization Sources,L.A. City Council,,The L.A. City Council is the governing body responsible for setting rent control policies.
The council approved that motion and called for a study to “conclude within 3 months.”,Named Organization Sources,L.A. City Council,,The L.A. City Council is the governing body responsible for setting rent control policies.
"This May, the Economic Roundtable, the nonprofit research organization the city commissioned to carry out the study, submitted its report to the L.A. Housing Department.",Named Organization Sources,Economic Roundtable,,The Economic Roundtable is the organization commissioned to conduct the study on rent control policies.
LAist obtained the report through a public records request.,Named Organization Sources,LAist,,LAist is the news organization that obtained and published the report.
LAist has published the full report here (and you can also read it below).,Named Organization Sources,LAist,,LAist is the news organization that obtained and published the report.
LAist shared the report with advocates for landlords and tenants.,Named Organization Sources,LAist,,LAist is the news organization that obtained and published the report.
"Daniel Yukelson with the Apartment Association of Greater Los Angeles pointed to recent data from the National Apartment Association, a trade group for property owners, concluding that California landlords earn 7 cents of profit on average for every dollar of rent.",Named Organization Sources,Apartment Association of Greater Los Angeles,,The Apartment Association of Greater Los Angeles is a representative organization for landlords.
"“Small landlords are able to maintain their profits and draw income above their expenses — they haven't been overly burdened by rent stabilization,” said Christina Boyar, a legal fellow with Public Counsel and a member of the Keep L.A. Housed coalition.",Named Organization Sources,Public Counsel,,Public Counsel is a legal advocacy organization representing tenant interests.
"“The report shows that rent costs exceeding what tenants can pay is a primary cause of homelessness,” Boyar said. “We are obviously in a homelessness crisis in L.A., and if this formula isn't updated soon, more folks will just fall into homelessness.”",Named Organization Sources,Public Counsel,,Public Counsel is a legal advocacy organization representing tenant interests.
"Sharon Sandow, a spokesperson for the L.A. Housing Department, told LAist last week the document was still a “draft report,” and they didn't have a specific date lined up for its release.",Named Organization Sources,L.A. Housing Department,,The L.A. Housing Department is the city agency responsible for housing policies and the release of the report.
"“There are several rounds of revisions left to go before this report is considered final,” Sandow said in an email. “Economic Roundtable is under contract to complete this report through January 2025 — though clearly we hope to have it finalized before then.”",Named Organization Sources,L.A. Housing Department,,The L.A. Housing Department is the city agency responsible for housing policies and the release of the report.
"Last October, Councilmembers Bob Blumenfield and Hugo Soto-Martinez put forward a motion calling for a fresh look at the city’s decades-old formula for setting annual limits on rent hikes.",Named Person Sources,Bob Blumenfield,Councilmember,Blumenfield is one of the council members who initiated the motion for the study.
"Last October, Councilmembers Bob Blumenfield and Hugo Soto-Martinez put forward a motion calling for a fresh look at the city’s decades-old formula for setting annual limits on rent hikes.",Named Person Sources,Hugo Soto-Martinez,Councilmember,Soto-Martinez is one of the council members who initiated the motion for the study.
"Daniel Yukelson with the Apartment Association of Greater Los Angeles pointed to recent data from the National Apartment Association, a trade group for property owners, concluding that California landlords earn 7 cents of profit on average for every dollar of rent.",Named Person Sources,Daniel Yukelson,"Executive Director, Apartment Association of Greater Los Angeles",Yukelson is a representative of landlord advocates and provides their perspective on the report.
"“What [the report] is trying to do is make a PR effort to lay the groundwork to chip away at what little ability landlords have in L.A. to be able to raise rents and be able to keep up with their costs,” Yukelson said.",Named Person Sources,Daniel Yukelson,"Executive Director, Apartment Association of Greater Los Angeles",Yukelson is a representative of landlord advocates and provides their perspective on the report.
"“There are plenty of owners out there who have had their renters in place for many years,” Yukelson said. “They're way below market. And they're having trouble today keeping up with the growing costs of insurance, maintenance and supplies.”",Named Person Sources,Daniel Yukelson,"Executive Director, Apartment Association of Greater Los Angeles",Yukelson is a representative of landlord advocates and provides their perspective on the report.
"“Small landlords are able to maintain their profits and draw income above their expenses — they haven't been overly burdened by rent stabilization,” said Christina Boyar, a legal fellow with Public Counsel and a member of the Keep L.A. Housed coalition.",Named Person Sources,Christina Boyar,"Legal Fellow, Public Counsel",Boyar is a tenant advocate and provides their perspective on the report.
"“The report shows that rent costs exceeding what tenants can pay is a primary cause of homelessness,” Boyar said. “We are obviously in a homelessness crisis in L.A., and if this formula isn't updated soon, more folks will just fall into homelessness.”",Named Person Sources,Christina Boyar,"Legal Fellow, Public Counsel",Boyar is a tenant advocate and provides their perspective on the report.
"Daniel Flaming, president of the Economic Roundtable and a co-author of the report, said he didn’t have a good answer for why the report was kept under wraps.",Named Person Sources,Daniel Flaming,"President, Economic Roundtable",Flaming is the co-author of the report and provides insights into its findings and the delay in its release.
"“I think when it's a politically contentious issue, there are attempts to manage the conversation,” Flaming said. “The substance of the report is final. It was submitted as a final report and accepted by the city as a final work product.”",Named Person Sources,Daniel Flaming,"President, Economic Roundtable",Flaming is the co-author of the report and provides insights into its findings and the delay in its release.
"Sharon Sandow, a spokesperson for the L.A. Housing Department, told LAist last week the document was still a “draft report,” and they didn't have a specific date lined up for its release.",Named Person Sources,Sharon Sandow,"Spokesperson, L.A. Housing Department",Sandow provides the city’s perspective on the status of the report.
"“There are several rounds of revisions left to go before this report is considered final,” Sandow said in an email. “Economic Roundtable is under contract to complete this report through January 2025 — though clearly we hope to have it finalized before then.”",Named Person Sources,Sharon Sandow,"Spokesperson, L.A. Housing Department",Sandow provides the city’s perspective on the status of the report.
"In an email reacting to the Economic Roundtable report, Soto-Martínez told LAist, “As we await the finalized version of this report, it’s heartening to see so much data supporting the policy changes that renters have been demanding — especially when it comes to preventing excessive rent increases that can devastate working families.”",Named Person Sources,Hugo Soto-Martinez,Councilmember,Soto-Martinez is one of the council members who initiated the motion for the study and reacts to its findings.
The independent analysis found some of the city’s rules governing rent increases have favored landlords over tenants.,Document Sources,Economic Roundtable,,The report was commissioned by the L.A. City Council to analyze the city’s rent control policies.
"The report recommends changes that could lower the rent hikes tenants face each year, setting up what is sure to be a fierce debate at city hall.",Document Sources,Economic Roundtable,,The report was commissioned by the L.A. City Council to analyze the city’s rent control policies.
"About 35% of the rent L.A. tenants pay goes to operating expenses for apartment buildings, on average.",Document Sources,Economic Roundtable,,The report was commissioned by the L.A. City Council to analyze the city’s rent control policies.
"From January 2020 through January 2023, 4 in 10 rent-controlled L.A. apartments became vacant.",Document Sources,Economic Roundtable,,The report was commissioned by the L.A. City Council to analyze the city’s rent control policies.
"Many expenses have risen sharply for landlords in recent years, outpacing inflation.",Document Sources,Economic Roundtable,,The report was commissioned by the L.A. City Council to analyze the city’s rent control policies.
About one-fifth of L.A. renters are living below the federal poverty line.,Document Sources,Economic Roundtable,,The report was commissioned by the L.A. City Council to analyze the city’s rent control policies.
The city’s current range of allowable annual rent increases — anywhere from 3% to 8% depending on inflation — is higher than the increases permitted in most other California cities with rent control.,Document Sources,Economic Roundtable,,The report was commissioned by the L.A. City Council to analyze the city’s rent control policies.
"Either eliminate a provision allowing landlords to raise rents an extra 1% per year if they pay for a tenant’s gas, plus another 1% if they pay for electricity — or replace it.",Document Sources,Economic Roundtable,,The report was commissioned by the L.A. City Council to analyze the city’s rent control policies.
Change how annual rent increases are calculated.,Document Sources,Economic Roundtable,,The report was commissioned by the L.A. City Council to analyze the city’s rent control policies.
