SourcedStatement,SourceType,Name,Title,Justification
"The pilot program will allow researchers to track its impact in a large, diverse region, said Sean Kline, director of the Stanford Basic Income Lab, which studies guaranteed income programs across the country.",Named Organization Sources,Stanford Basic Income Lab,,Studies guaranteed income programs across the country
"Researchers at the University of Pennsylvania are surveying the 1,000 Breathe participants, along with a control group of people not receiving funds.",Named Organization Sources,University of Pennsylvania,,Conducting research on the Breathe program
"The program’s coaches, provided through Wilmington-based Strength Based Community Change, personally support participants as their lives change.",Named Organization Sources,Strength Based Community Change,,Provides coaches for the Breathe program participants
"“With all the struggling I was doing, my attitude took a hit,” Kahlia said. “The more you witness yourself being down and out, the more you feel down and out, and the more stuck you feel.”",Named Person Sources,Kipp Kahlia,null,Participant in the Breathe program
"“Whenever L.A. city or county or Chicago or New York do something bold like this, it’s a really important signal that this big policy idea found its footing during COVID and represents a possible way forward in terms of supporting low income people across America,” Kline said.",Named Person Sources,Sean Kline,Director of the Stanford Basic Income Lab,"Director of the Stanford Basic Income Lab, which studies guaranteed income programs across the country"
"“There is so much we don’t know yet,” Castro said. “We don’t know how long people need to receive cash to create what level of change.”",Named Person Sources,Amy Castro,Director of Penn’s Center for Guaranteed Income Research,Director of Penn’s Center for Guaranteed Income Research
"“I’m probably getting more comfortable with spending money,” she said. “Just learning to say yes to stuff. There’s some stuff that, at the beginning of the program I felt was, you know, almost extravagant. And now I’m like ‘Oh my god, I really needed that for my business to move forward.’”",Named Person Sources,Kipp Kahlia,null,Participant in the Breathe program
"“People need help with normal, everyday interactions that may be easy for some individuals,” he said. “But for others, they don’t have any prior experience with them.”",Named Person Sources,Brian Arredondo,Coach for program participants,"Coach for program participants, provided through Wilmington-based Strength Based Community Change"
"“It can’t just be the money,” Fournier said. “It’s the opportunity and the access to experiences sometimes that really make a big difference when there is even a little bit more resources folks can have. ”",Named Person Sources,Ely Fournier,null,Oversees the program coaches at Strength Based Community Change
"While there were positive impacts on mental health and wellbeing the first year, when the pandemic broke out, the benefits were less pronounced, according to Penn’s research.",Document Sources,Penn’s research,,Research findings from the University of Pennsylvania
"Participants report feeling more free to spend money on self care, outings with family members or sharing their wealth with community members.",Unnamed Group of People,Participants,,Participants in the Breathe program
