SourcedStatement,SourceType,Name,Title,Justification
"The Poor People’s Campaign is planning simultaneous actions on March 2 at over 30 state capitols to launch “the campaign and highlight the policies being promulgated in state houses across the country that are hurting the poor or distracting from addressing the real issues facing poor and low-wealth people,” according to the PPC.",Named Organization Sources,Poor People’s Campaign,,"The Poor People’s Campaign is planning simultaneous actions on March 2 at over 30 state capitols to launch “the campaign and highlight the policies being promulgated in state houses across the country that are hurting the poor or distracting from addressing the real issues facing poor and low-wealth people,” according to the PPC."
"Columbia University researcher Robert Paul Hartley found that only 46 percent of voters with household income less than twice the federal poverty rate cast a ballot in 2016, as compared to a 68 percent turnout rate for voters who had a household income more than twice the poverty line.",Named Person Sources,Robert Paul Hartley,Columbia University researcher,"Columbia University researcher Robert Paul Hartley found that only 46 percent of voters with household income less than twice the federal poverty rate cast a ballot in 2016, as compared to a 68 percent turnout rate for voters who had a household income more than twice the poverty line."
"In 2024, the election is going to be about mobilization,” Lake told reporters.",Named Person Sources,Celinda Lake,President of Lake Research Partners,"They were joined by respected pollster Celinda Lake, President of Lake Research Partners."
Poor and low wage people have the power to determine and decide the 2024 elections and elections beyond.,Named Person Sources,William Barber,Rev. Dr.,"This week in Washington at the National Press Club the Poor People’s Campaign, under the leadership of Barber and Rev. Dr. Liz Theoharis, announced their plans for a mass mobilization of 15 million poor and low-wealth voters nationwide ahead of November’s election."
"We are mobilizing, organizing, registering and educating people for a movement that votes, votes for healthcare and debt cancellation, votes for living wages and string anti-poverty programs and votes for fair taxes and the demilitarizing of our communities and world,” said Rev. Dr. Liz Theoharis who noted that since the last presidential election close to 1,000 voter suppression bills have been introduced “that impacts poor and low income people the most.",Named Person Sources,Liz Theoharis,Rev. Dr.,"This week in Washington at the National Press Club the Poor People’s Campaign, under the leadership of Barber and Rev. Dr. Liz Theoharis, announced their plans for a mass mobilization of 15 million poor and low-wealth voters nationwide ahead of November’s election."
"This is why I am organizing with the Massachusetts Poor People's Campaign. We have got to get our power as people, get back the mic, raise our voices and register voters. Forward together!",Named Person Sources,Janice Guzman,organizer with the Massachusetts Poor People's Campaign and SEIU 1199,"Dozens of local leaders from the state chapters of the Poor People’s Campaign were on hand in person and virtually for the high spirited kick off including Janice Guzman, an organizer with the Massachusetts Poor People's Campaign and SEIU 1199."
"It’s the product of a perverse feedback loop that was flagged by a Columbia University study undertaken of the 2106 electorate with the support of the Poor People’s Campaign, which studied the low-wage voter cohort and found a majority of them did not vote and when they were surveyed they explained they didn’t turn out because they didn’t hear candidates discuss issues that had any relevancy to their lives.",Document Sources,Columbia University study,,"It’s the product of a perverse feedback loop that was flagged by a Columbia University study undertaken of the 2106 electorate with the support of the Poor People’s Campaign, which studied the low-wage voter cohort and found a majority of them did not vote and when they were surveyed they explained they didn’t turn out because they didn’t hear candidates discuss issues that had any relevancy to their lives."
"980,000 low-wage voters did not turn out.",Unnamed Group of People,low-wage voters,,"In 2016, in key rust belt states where unions were part of the historic Democratic base like Michigan, Trump won thanks to depressed African American voter turnout and the lack of engagement of the multi-racial cohort of economically struggling voters that polls show overwhelming support for reproductive rights, a living wage and universal healthcare."
"920,000 poor and low-wealth voters sat it out.",Unnamed Group of People,poor and low-wealth voters,,"In North Carolina, Trump’s margin of victory was 170,000 votes while 920,000 poor and low-wealth voters sat it out."
"In 2016, in a ‘proof of concept’, the Poor People’s Campaign targeted specific low wealth and low wage voters in several states including in Georgia where they identified and mobilized 36,000 previously unengaged voters that helped produce the margin of victory in the pivotal U.S. Senate races won by Rev. Raphael Warner (D-GA) and Jon Ossoff (D-GA).",Unnamed Group of People,low wealth and low wage voters,,"In 2016, in a ‘proof of concept’, the Poor People’s Campaign targeted specific low wealth and low wage voters in several states including in Georgia where they identified and mobilized 36,000 previously unengaged voters that helped produce the margin of victory in the pivotal U.S. Senate races won by Rev. Raphael Warner (D-GA) and Jon Ossoff (D-GA)."
