SourcedStatement,SourceType,Name,Title,Justification
"Party-switching had “undermined the sanctity of Wyoming’s primary process,” Wyoming’s Republican secretary of state, Chuck Gray, said in a statement of approval.",Named Organization Sources,Wyoming’s Republican secretary of state,,"Wyoming’s Republican secretary of state, Chuck Gray, said in a statement of approval"
"Her neighbors call her “the crazy Democrat,” although it’s more a term of endearment than derision.",Named Person Sources,Becky Blackburn,paralegal for the Republican county attorney,"Her neighbors call her “the crazy Democrat,” although it’s more a term of endearment than derision."
"“Normally I just roll my eyes and walk away because I’m fighting a losing battle and I’m fully aware of that,” she said. “Maybe that is why I’m well-liked, because I keep my mouth shut 10 times more than I want to.”",Named Person Sources,Becky Blackburn,paralegal for the Republican county attorney,"A paralegal for the Republican county attorney, Blackburn hears a lot of right-wing views around town."
"Not that she’s politically shy. She flies an LGBTQ+ flag in support of her lesbian daughter at her house in Lusk, a ranching town of 1,500 and the Niobrara County seat.",Named Person Sources,Becky Blackburn,paralegal for the Republican county attorney,"Not that she’s politically shy. She flies an LGBTQ+ flag in support of her lesbian daughter at her house in Lusk, a ranching town of 1,500 and the Niobrara County seat."
"In political season, Blackburn stocks up on Democratic political signs to replace those that get swiped. She speaks approvingly of policing reform, taxation for government services and the transgender social media celebrity Dylan Mulvaney.",Named Person Sources,Becky Blackburn,paralegal for the Republican county attorney,"In political season, Blackburn stocks up on Democratic political signs to replace those that get swiped. She speaks approvingly of policing reform, taxation for government services and the transgender social media celebrity Dylan Mulvaney."
"“I won two elections here. Even though that’s nonpartisan, people still knew I had left-leaning values,” she said.",Named Person Sources,Becky Blackburn,paralegal for the Republican county attorney,"Blackburn really does seem well-liked in Lusk, where she recently served nine years on the Town Council."
"“You feel skeevy and dirty when you do it. But you do it anyway and you change it back as soon as you can, because you don’t want to start getting the Republican mailings,” Blackburn said.",Named Person Sources,Becky Blackburn,paralegal for the Republican county attorney,"“You feel skeevy and dirty when you do it. But you do it anyway and you change it back as soon as you can, because you don’t want to start getting the Republican mailings,” Blackburn said."
"“I am who I am, and I have the views that I have,” she said. “And I don’t care if it bothers people or not.”",Named Person Sources,Becky Blackburn,paralegal for the Republican county attorney,"Blackburn, for one, intends to hold her political ground, even as it shrinks around her."
"“How far are they going to go to limit one’s ability to vote? If it really comes down to purifying the party, on a voting level all the way up to the elected officials, pretty soon there isn’t going to be anyone left who’s pure enough to be in the party,” Diercks said.",Named Person Sources,Ross Diercks,former middle school English teacher,The new law keeping Diercks and others from switching their registration so easily has him exasperated with the GOP.
"“The best way to participate in meaningful change is to try to sway the dominant party,” said Jordan, who lives in Niobrara County. “You know, we need to have a government that serves the people, all of them, not just Republicans and not just rural and not just urban and not just Democrats — and definitely not just the rich and the wealthy.”",Named Person Sources,Pat Jordan,truck driver,"Truck driver Pat Jordan supports many left-leaning goals, including universal healthcare, but said he only registers as a Republican."
"“Most people don’t want to dive into those type of discussions,” he said. “They respect you for what you do, how you work.”",Named Person Sources,Ed Fullmer,high school boys basketball coach,He said people know his views but rarely put him on the spot about politics.
"According to Associated Press election data, Niobrara County’s Democrats, who account for just 2.6% of registered voters, are the most outnumbered by Republicans in the 30 states that track local party affiliation.",Document Sources,Associated Press,,According to Associated Press election data
"Nationwide, Democrats account for fewer than 3% of voters in three counties this year, up from one county in 2020 but down from seven in 2016. There were none with such a low percentage of Democratic registrations in the presidential election years of 2012, 2008 and 2004, according to the AP data.",Document Sources,Associated Press,,according to the AP data
